Complexity,Loss,Equation
1,8164.348,"340.27826"
3,4758.903,"x5 * 3.9490979"
5,4351.0503,"(-36911.746 / x5) + 773.1489"
6,4333.5044,"sqrtabs((x5 * 3546.4612) + -188120.98)"
7,3234.3208,"(x3 * -29.989399) + (x5 * 12.692439)"
9,2818.1606,"(x5 * 14.439833) + ((19830.078 / x3) + -1706.0022)"
11,2674.1936,"((x5 * 14.833449) + ((243138.36 / x3) / x3)) + -1342.1345"
13,2041.5297,"((x5 * 12.404196) + (-251963.61 / (x5 - (x0 * x3)))) + -1178.6925"
15,1937.7021,"(-1113.3291 + ((-257415.02 / (x5 - (x0 * x3))) - x8)) + (x5 * 12.873984)"
17,1581.8801,"(-173191.8 / (148.48126 - (x0 * x3))) + (((x5 / (-128.12401 - x8)) * -4021.238) + -1441.6869)"
20,1579.4009,"(-173191.8 / (148.48126 - (x0 * x3))) + ((((x5 / (-128.12401 - x8)) * -4021.238) + sin(x8)) + -1441.6869)"
30,1574.03,"((-173191.8 / (148.48126 - (x0 * x3))) + ((((x5 / (-128.12401 - x8)) * -4021.238) + sin(((-128.12401 - (x0 * -146.9011)) - -257353.98) / -128.12401)) + -1441.6869)) + -0.16332355"
