Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,340.27826,1,8164.349896891496,6932.314659004186,8164.349896891496,6932.314659004186,-7.206446550611645e-10,-0.0035364542854721126
1,powabs((x5; 1.3063948),3,4443.230803188118,3481.003610589465,4443.230803188118,3481.003610589465,0.4557765330364112,0.49608259397335464
2,powabs((x5; 1.3620483) - x2,5,4190.470134631284,3202.945508333184,4190.470134631284,3202.945508333184,0.4867356016617308,0.5363348698363921
3,powabs(((x2 - x5) - x5; 1.352819),7,3627.258215779245,2672.1212942413454,3627.258215779245,2672.1212942413454,0.5557198963539944,0.6131780998197116
4,powabs(((sin(x11) - (x5 - x2)) - x5; 1.352819),10,3536.1704935709085,2595.5358328441966,3536.1704935709085,2595.5358328441966,0.5668766600185036,0.6242647723325476
5,powabs((x5 - ((sin(x15) - (x5 - x2)) - 1.352819); 1.3521178),12,3521.425482419835,2656.0168875322092,3521.425482419835,2656.0168875322092,0.5686826839331955,0.6155094076154803
6,powabs((((x0 * 3.2061923) - 31.846043) - (3.2061923 - (-32.42056 - x5)); 1.3746648),13,3336.1465463699196,2532.317702153166,3336.1465463699196,2532.317702153166,0.591376338482957,0.6334163619300899
7,powabs((((x0 * 3.2061923) - 31.846043) - (log(x17) - (-32.42056 - x5)); 1.3746648),14,3310.6349294662646,2508.008656014075,3310.6349294662646,2508.008656014075,0.5945010963931678,0.6369353905907118
8,powabs((((x0 * 3.2061923) - 31.846043) - (sqrtabs(x1) - (-32.42056 - (x5 - 1.3746648))); 1.3746648),16,3223.0610749363977,2459.061060517116,3223.0610749363977,2459.061060517116,0.6052274684496028,0.6440211474911168
9,powabs((((x0 * 3.2061923) - 31.846043) - (sqrtabs(x1) - (-32.42056 - ((sin(x5) + x5) - 1.3746648))); 1.3746648),19,3180.0709206807683,2461.480942285808,3180.0709206807683,2461.480942285808,0.6104930627503786,0.6436708403153182
10,powabs((((x0 * 3.2061923) - 31.846043) - (sqrtabs(x1) - (-32.42056 - ((sin(sin(x5 + x5)) + x5) - 1.3746648))); 1.3746648),22,3167.8702876247194,2444.297871598614,3167.8702876247194,2444.297871598614,0.6119874417540867,0.6461582977778507
