Complexity,Loss,Equation
1,1277.9684,"71.75035"
3,197.50706,"24036.633 / x0"
5,63.342216,"(35186.316 / x0) + -38.396507"
7,58.53916,"(-60797.57 / (-92.19271 - x0)) + -73.47538"
9,51.15653,"(((x1 * 6.1384177) - -33347.797) / x0) + -38.396046"
11,33.601707,"((-39.384808 / powabs(-1.0651156, x1)) + -37.183933) - (-35270.96 / x0)"
13,16.23202,"(((3.7456218e6 / ((x1 * -32.72338) - 150.19176)) - -36138.7) / x0) + -38.39616"
15,4.780142,"(((8.804405e6 / ((x1 * (177.90572 - x0)) - 374.94327)) - -38670.363) / x0) + -46.158684"
17,4.552593,"((((1.1641514e7 / ((x1 * (174.61374 - x0)) - 506.3083)) - x1) - -39326.164) / x0) + -46.80524"
19,3.4527864,"((((1.1282133e7 - (x1 * -83076.89)) / (((164.80057 - x0) * x1) - 429.72156)) - -41452.336) / x0) + -52.042484"
21,3.4527335,"(((((1.1282021e7 - (x1 * -83053.32)) / ((x1 * (164.81323 - x0)) - 429.54468)) - -41454.3) / x0) + -52.048176) - -3.7933823e-5"
23,3.3506315,"((((1.1724293e7 - (x1 * -83058.055)) / (((163.54697 - x0) * x1) - 445.3064)) - -41276.79) / x0) + (-51.540924 - sin(sqrtabs(x0)))"
24,3.1991673,"(((((1.1641514e7 - (x1 * -83053.29)) / ((x1 * (164.34155 - x0)) - 446.426)) - -41443.055) / x0) + -51.989323) - sin(-51.988815 * x0)"
26,2.8630688,"(((((1.1641514e7 - (x1 * -83053.32)) / ((x1 * (165.96335 - x0)) - 451.40994)) - -41441.188) / x0) + -52.06307) - sin(x1 / (-41441.188 / x0))"
28,2.6161952,"(((((1.1641514e7 - (x1 * -83052.97)) / ((x1 * (165.96335 - x0)) - 453.5137)) - -41441.188) / x0) + -52.06307) - sin(x1 - ((451.40994 * 1.1641514e7) - x0))"
29,2.5090988,"(((((1.1282133e7 - (x1 * -83028.195)) / ((x1 * (168.01526 - x0)) - 426.0836)) - -42642.78) / x0) + -56.033302) - ((x1 - x0) / (2.3282864e7 / (x0 * x0)))"
31,2.406488,"((((1.1282133e7 - (x1 * -83053.29)) / ((x1 * (168.01526 - x0)) - 426.0836)) - -42642.78) / x0) + (-56.033302 - ((x1 - x0) / (2.3282864e7 / ((x0 * x0) - 35078.703))))"
35,2.2200553,"(((((1.1641514e7 - (x1 * -83039.11)) / ((x1 * (166.2457 - x0)) - 451.40994)) - -42076.062) / x0) + -54.423298) - ((x1 - x0) / ((445.58243 - 1.147527e7) / (((166.2457 - x0) * 453.5137) - -47591.477)))"
37,2.0571573,"(-53.822834 - (((x1 - (-42935.33 / x0)) - x0) / (-1.1641295e7 / (871.50134 - ((289.1882 - x0) * -629.4528))))) + ((((1.1641459e7 - (x1 * -99551.92)) / (((165.52827 - x0) * x1) - 445.58243)) - -42088.64) / x0)"
39,2.0567982,"(-53.822834 - (((x1 - (-42935.33 / x0)) - x0) / (-1.1641295e7 / ((871.50134 - ((289.1882 - x0) * -629.4528)) - x1)))) + ((((1.1641459e7 - (x1 * -99551.92)) / (((165.52827 - x0) * x1) - 445.58243)) - -42088.64) / x0)"
41,2.0565953,"(-53.822834 - (((x1 - (-42935.33 / x0)) - x0) / (-1.1641295e7 / (((871.50134 - ((289.1882 - x0) * -629.4528)) - x1) - x1)))) + ((((1.1641459e7 - (x1 * -99551.92)) / (((165.52827 - x0) * x1) - 445.58243)) - -42088.64) / x0)"
