-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,15516,5,-3270.6987,-3098.603,-3270.6987,-3209.5486,48.33894,12.811295,-3098.603,8.953089e-5,0.00013709275,0.60610855,0.09886581,22,"(((sin((0.007628705 * X8)) - -0.24529648) - (((-3.6236253 + (-1.1067836 * X3)) + (2.2282705 * X6)) * (-0.006176831 * X1))) - 0.14134888) NeoGP.GaussianLikelihood{Float32} Float32[0.009462076]"
2,29430,6,-3270.6987,-3105.5962,-3270.6987,-3214.4045,43.944492,12.349496,-3105.5962,8.9530884e-5,0.00013709714,0.60610855,0.0988369,20,"((sin((0.0076286336 * X8)) - -0.103948474) - (((-3.6382833 + (-1.11118 * X3)) + (2.2371504 * X6)) * (-0.0061521656 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[0.009462076]"
3,43268,9,-3379.6174,-3197.1697,-3379.6174,-3252.5215,55.262043,71.83389,-3197.1697,7.214581e-5,7.952855e-5,0.6825943,0.47724515,24,"(((sin((9280.271 * X8)) - (0.00018385013 * X2)) - (((0.86829376 + (0.19834016 * X3)) + (-0.9928945 * X6)) * (0.017638322 * X1))) - -0.10425019) NeoGP.GaussianLikelihood{Float32} Float32[0.008493872]"
4,59456,10,-3379.6174,-3197.1697,-3379.6174,-3252.5215,55.262043,71.83389,-3197.1697,7.214581e-5,7.952855e-5,0.6825943,0.47724515,24,"(((sin((9280.271 * X8)) - (0.00018385013 * X2)) - (((0.86829376 + (0.19834016 * X3)) + (-0.9928945 * X6)) * (0.017638322 * X1))) - -0.10425019) NeoGP.GaussianLikelihood{Float32} Float32[0.008493872]"
5,77504,9,-3476.1125,-3237.889,-3476.1125,-3349.9216,95.006065,31.18491,-3237.889,5.958599e-5,7.149796e-5,0.73785126,0.5300316,36,"(0.057135135 / log(abs(sqrt(abs((-0.02419615 * ((-0.73617995 * X2) - (abs((((sin((0.0072781923 * X8)) - -0.4413382) - (((-3.7298608 + (-1.7166926 * X3)) + (5.4782777 * X6)) * (-0.0055234847 * X1))) - -0.05477965)) ^ (3.241233 / -0.48385665))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.0077191964]"
6,96687,11,-3476.1125,-3237.889,-3476.1125,-3349.9216,95.006065,31.18491,-3237.889,5.958599e-5,7.149796e-5,0.73785126,0.5300316,36,"(0.057135135 / log(abs(sqrt(abs((-0.02419615 * ((-0.73617995 * X2) - (abs((((sin((0.0072781923 * X8)) - -0.4413382) - (((-3.7298608 + (-1.7166926 * X3)) + (5.4782777 * X6)) * (-0.0055234847 * X1))) - -0.05477965)) ^ (3.241233 / -0.48385665))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.0077191964]"
7,117077,13,-3454.0737,-3259.8008,-3454.0737,-3305.855,64.74317,83.47563,-3259.8008,6.224665e-5,6.674405e-5,0.7261457,0.5612799,27,"(((sin((9280.271 * X8)) - (0.0002055199 * X2)) - (((exp((-0.6431554 * X1)) + (0.048261803 * X3)) + (-0.27801526 * X6)) * (0.064681485 * X1))) - -0.12014775) NeoGP.GaussianLikelihood{Float32} Float32[0.007889653]"
8,139333,14,-3454.0737,-3259.8008,-3454.0737,-3305.855,64.74317,83.47563,-3259.8008,6.224665e-5,6.674405e-5,0.7261457,0.5612799,27,"(((sin((9280.271 * X8)) - (0.0002055199 * X2)) - (((exp((-0.6431554 * X1)) + (0.048261803 * X3)) + (-0.27801526 * X6)) * (0.064681485 * X1))) - -0.12014775) NeoGP.GaussianLikelihood{Float32} Float32[0.007889653]"
9,164860,14,-3466.6907,-3279.214,-3466.6907,-3326.5098,57.549488,82.63129,-3279.214,6.0709226e-5,6.487385e-5,0.73290956,0.57357305,24,"(((sin((9280.271 * X8)) - (0.00020646804 * X2)) - ((sqrt(abs(6.897705e-5)) + (-0.006662651 * X6)) * log(abs((-6.707475 - (-35.78156 * X1)))))) - -0.11490574) NeoGP.GaussianLikelihood{Float32} Float32[0.0077916123]"
10,189939,16,-3466.6907,-3279.214,-3466.6907,-3326.5098,57.549488,82.63129,-3279.214,6.0709226e-5,6.487385e-5,0.73290956,0.57357305,24,"(((sin((9280.271 * X8)) - (0.00020646804 * X2)) - ((sqrt(abs(6.897705e-5)) + (-0.006662651 * X6)) * log(abs((-6.707475 - (-35.78156 * X1)))))) - -0.11490574) NeoGP.GaussianLikelihood{Float32} Float32[0.0077916123]"
11,219030,16,-3521.8591,-3282.332,-3521.8591,-3401.3105,97.46808,23.080545,-3282.332,5.4420612e-5,5.347136e-5,0.76057637,0.64852357,38,"sin((((exp((exp((-4.2419024 * X1)) - (0.114606366 * X3))) / 21.174088) + sin((0.020718938 * X6))) + (abs(((-0.79446995 * X2) - sqrt(abs(((-990.8064 + (47.703346 + (-11.685319 * (13.040929 * X1)))) + (-82.841255 * X6)))))) ^ -0.85190636))) NeoGP.GaussianLikelihood{Float32} Float32[0.0073770317]"
12,249414,17,-3477.9011,-3292.3594,-3477.9011,-3403.0957,55.262043,19.543531,-3292.3594,5.9375117e-5,6.701437e-5,0.73877895,0.5595031,24,"(0.05773706 + exp((((-0.012444864 * X2) - 2.4152467) - sqrt(abs(((-6.989323 * X1) * (-0.13000663 + ((-0.011804515 * X1) + sin((0.14935184 * X6)))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.007705525]"
13,282632,19,-3477.9011,-3292.3594,-3477.9011,-3403.0957,55.262043,19.543531,-3292.3594,5.9375117e-5,6.701437e-5,0.73877895,0.5595031,24,"(0.05773706 + exp((((-0.012444864 * X2) - 2.4152467) - sqrt(abs(((-6.989323 * X1) * (-0.13000663 + ((-0.011804515 * X1) + sin((0.14935184 * X6)))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.007705525]"
14,315087,20,-3491.1575,-3305.1982,-3491.1575,-3411.977,55.262043,23.918468,-3305.1982,5.78353e-5,6.2695384e-5,0.74555343,0.5878925,24,"(0.05538738 + exp((((-0.012016534 * X2) - 2.1009862) - sqrt(abs(((-10.881647 * X1) * (-0.19669765 + ((0.053102825 * X1) + sin((0.11512624 * X6)))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.007604952]"
15,350758,26,-3491.1575,-3305.1982,-3491.1575,-3411.977,55.262043,23.918468,-3305.1982,5.78353e-5,6.2695384e-5,0.74555343,0.5878925,24,"(0.05538738 + exp((((-0.012016534 * X2) - 2.1009862) - sqrt(abs(((-10.881647 * X1) * (-0.19669765 + ((0.053102825 * X1) + sin((0.11512624 * X6)))))))))) NeoGP.GaussianLikelihood{Float32} Float32[0.007604952]"
16,390219,25,-3511.326,-3315.2507,-3511.326,-3362.157,64.74317,84.42577,-3315.2507,5.5568777e-5,5.5783512e-5,0.755525,0.6333254,27,"(((sin((9280.272 * X8)) - (0.00024116007 * X2)) - (((exp((-0.6673094 * X1)) + (-0.14560269 * X5)) + (-0.29260018 * X6)) * (0.067413405 * X1))) - -0.120988265) NeoGP.GaussianLikelihood{Float32} Float32[0.0074544456]"
17,431327,25,-3511.326,-3315.2507,-3511.326,-3362.157,64.74317,84.42577,-3315.2507,5.5568777e-5,5.5783512e-5,0.755525,0.6333254,27,"(((sin((9280.272 * X8)) - (0.00024116007 * X2)) - (((exp((-0.6673094 * X1)) + (-0.14560269 * X5)) + (-0.29260018 * X6)) * (0.067413405 * X1))) - -0.120988265) NeoGP.GaussianLikelihood{Float32} Float32[0.0074544456]"
18,473826,24,-3512.9314,-3319.2036,-3512.9314,-3432.5981,62.345276,17.988056,-3319.2036,5.5392255e-5,6.0782953e-5,0.75630164,0.6004632,26,"sin((((0.007277995 * X8) + sin((0.024664491 * X6))) + (abs(((-3.4620104 * X2) - sqrt(abs(((-6094.745 + (-74796.13 * X1)) + (-22126.13 * X6)))))) ^ -0.4232873))) NeoGP.GaussianLikelihood{Float32} Float32[0.0074425954]"
19,514131,25,-3533.915,-3332.132,-3533.915,-3433.1328,67.14107,33.6411,-3332.132,5.313556e-5,5.581389e-5,0.7662299,0.6331257,28,"(sin((((0.007230205 * X8) + sin((0.023265518 * X6))) + (abs(((-16.308693 * X2) - sqrt(abs(((107351.12 + (-450389.9 * X1)) + (-72463.89 * X6)))))) ^ -0.4327895))) - -0.030032238) NeoGP.GaussianLikelihood{Float32} Float32[0.007289416]"
20,554130,25,-3533.915,-3332.132,-3533.915,-3433.1328,67.14107,33.6411,-3332.132,5.313556e-5,5.581389e-5,0.7662299,0.6331257,28,"(sin((((0.007230205 * X8) + sin((0.023265518 * X6))) + (abs(((-16.308693 * X2) - sqrt(abs(((107351.12 + (-450389.9 * X1)) + (-72463.89 * X6)))))) ^ -0.4327895))) - -0.030032238) NeoGP.GaussianLikelihood{Float32} Float32[0.007289416]"
21,596918,26,-3533.915,-3332.132,-3533.915,-3433.1328,67.14107,33.6411,-3332.132,5.313556e-5,5.581389e-5,0.7662299,0.6331257,28,"(sin((((0.007230205 * X8) + sin((0.023265518 * X6))) + (abs(((-16.308693 * X2) - sqrt(abs(((107351.12 + (-450389.9 * X1)) + (-72463.89 * X6)))))) ^ -0.4327895))) - -0.030032238) NeoGP.GaussianLikelihood{Float32} Float32[0.007289416]"
22,636683,24,-3525.6401,-3343.7026,-3525.6401,-3450.8657,52.753696,22.020641,-3343.7026,5.401429e-5,5.6886067e-5,0.762364,0.6260781,22,"sin((((0.007247773 * X8) + sin((0.021347761 * X6))) + (abs(((-52.35598 * X2) - sqrt(abs(((7.29038e6 * X1) - 1.286921e6))))) ^ -0.30501893))) NeoGP.GaussianLikelihood{Float32} Float32[0.0073494418]"
23,676494,25,-3525.6401,-3343.7026,-3525.6401,-3450.8657,52.753696,22.020641,-3343.7026,5.401429e-5,5.6886067e-5,0.762364,0.6260781,22,"sin((((0.007247773 * X8) + sin((0.021347761 * X6))) + (abs(((-52.35598 * X2) - sqrt(abs(((7.29038e6 * X1) - 1.286921e6))))) ^ -0.30501893))) NeoGP.GaussianLikelihood{Float32} Float32[0.0073494418]"
24,716938,27,-3554.045,-3344.222,-3554.045,-3447.583,74.5472,31.914835,-3344.222,5.1057137e-5,5.4827273e-5,0.77537394,0.6396109,30,"(sin((((0.0077030035 * X8) + sin((0.024003945 * X6))) + (abs(((-11.204371 * X2) - sqrt(abs((((116148.46 * X11) + (-489056.4 * X1)) + (-110562.27 * X6)))))) ^ -0.36833203))) - -0.0022835755) NeoGP.GaussianLikelihood{Float32} Float32[0.0071454295]"
25,755894,29,-3627.5874,-3353.851,-3627.5874,-3355.0278,120.55262,152.00688,-3353.851,4.4131473e-5,3.9526018e-5,0.8058435,0.7401887,47,"(((sin((57258.676 * X8)) - -0.46213645) - (((0.06617946 * X12) + ((4.2243004 - (0.8990167 * X1)) + (-0.29203382 * X6))) * ((((0.06275813 - (0.0023723238 * X5)) + (0.0015405389 * X3)) + (-0.00026445862 * X2)) - (-0.024056172 * X1)))) - sqrt(abs((0.00014753477 * ((-2.1131577 * X2) - 37.323902))))) NeoGP.GaussianLikelihood{Float32} Float32[0.006643152]"
26,794561,30,-3627.593,-3353.8564,-3627.593,-3352.369,120.55262,154.6715,-3353.8564,4.4130953e-5,3.9490133e-5,0.80584574,0.7404246,47,"(((sin((57258.676 * X8)) - -0.46213388) - (((0.06609702 * X12) + ((4.224336 - (0.898995 * X1)) + (-0.29211923 * X6))) * ((((0.06275896 - (0.002374145 * X5)) + (0.001538704 * X3)) + (-0.00026445626 * X2)) - (-0.024056768 * X1)))) - sqrt(abs((0.00014753865 * ((-2.1132073 * X2) - 37.328762))))) NeoGP.GaussianLikelihood{Float32} Float32[0.006643115]"
27,836488,31,-3627.593,-3353.8564,-3627.593,-3352.369,120.55262,154.6715,-3353.8564,4.4130953e-5,3.9490133e-5,0.80584574,0.7404246,47,"(((sin((57258.676 * X8)) - -0.46213388) - (((0.06609702 * X12) + ((4.224336 - (0.898995 * X1)) + (-0.29211923 * X6))) * ((((0.06275896 - (0.002374145 * X5)) + (0.001538704 * X3)) + (-0.00026445626 * X2)) - (-0.024056768 * X1)))) - sqrt(abs((0.00014753865 * ((-2.1132073 * X2) - 37.328762))))) NeoGP.GaussianLikelihood{Float32} Float32[0.006643115]"
28,876925,27,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
29,916689,28,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
30,959176,27,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
31,1000603,27,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
32,1043463,29,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
33,1085758,29,-3565.9512,-3360.7231,-3565.9512,-3456.9524,69.577385,39.421314,-3360.7231,4.9866285e-5,5.392416e-5,0.7806131,0.6455473,28,"(sin((((0.0075782407 * X8) + sin((0.02148631 * X6))) + (abs(((-15.782431 * X2) - sqrt(abs((((47562.61 * X11) + (-496384.16 * X1)) + 94601.82))))) ^ -0.4194746))) - -0.026119633) NeoGP.GaussianLikelihood{Float32} Float32[0.0070616067]"
