gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
167,4.7891707,2.8898556,3.0939262,5.9553246,6.1410446,11.623143,5.034807,5.226772,17.737432,53.00649,162.95667,144.26608,146.79076,171.02002,172.15625,364.95288,273.53278,308.32724,434.0424,442.82074,103.269554,87.33655,93.40369,115.12926,117.49687,94.39113,17.79597,33.096653,155.13644,199.14212,48,42,43,50,50,36.052,33.198,33.978,38.404,38.708
168,4.7891707,2.858705,3.089543,5.929765,6.130412,12.350851,5.034807,5.226772,17.737432,53.006992,162.95667,143.86542,146.73831,170.86089,172.09215,356.51514,269.2407,298.832,434.0424,442.82074,103.97208,85.2571,89.415985,115.12926,117.49687,93.457466,17.79597,32.856,155.13644,199.14212,48,41,42,50,50,35.804,33.274,33.924,37.944,38.128
169,4.7891707,2.858705,3.089543,5.929765,6.130412,12.350851,5.034807,5.226772,17.737432,39.586052,162.95667,143.86542,146.73831,170.86089,172.09215,356.51514,269.2407,298.832,434.0424,442.82074,103.97208,85.2571,89.415985,115.12926,119.89476,89.77841,17.79597,28.840328,155.13644,199.14212,48,41,42,50,50,35.736,33.188,33.806,38.052,38.562
170,4.7891707,2.846921,3.089542,5.929765,6.130412,12.350851,5.034807,5.226772,17.737432,39.586052,162.95667,143.71227,146.7383,170.86089,172.09215,356.51514,269.2407,298.832,434.0424,449.84692,103.97208,85.2571,89.415985,115.12926,119.89476,89.77841,17.79597,28.840328,155.13644,206.3866,48,41,42,50,50,35.836,33.216,33.97,37.586,38.046
171,4.7891707,2.846921,3.089542,5.929765,6.130412,12.350851,5.034807,5.226772,17.737432,39.586052,162.95667,143.71227,146.7383,170.86089,172.09215,354.742,269.2407,298.832,434.0424,449.84692,103.97208,85.2571,89.415985,115.12926,119.89476,87.56963,17.79597,28.840328,155.13644,206.3866,48,41,42,50,50,35.77,32.25,33.492,37.91,38.79
172,4.7891707,2.846921,3.089542,5.929765,6.130412,12.350851,5.034807,5.2115602,17.737432,39.577026,162.95667,143.71227,146.7383,170.86089,172.09215,354.742,269.2407,298.832,434.0424,449.84692,103.97208,85.2571,89.415985,115.12926,119.89476,87.56963,17.79597,30.790901,155.13644,206.3866,48,41,42,50,50,35.752,32.142,33.508,38.158,39.046
173,4.7891707,2.846921,3.0854335,5.929765,6.130412,12.350851,5.034807,5.2356853,17.737432,39.176537,162.95667,143.71227,146.68906,170.86089,172.09215,354.742,273.53278,308.32724,434.0424,449.84692,103.269554,85.2571,89.415985,115.12926,119.89476,89.07287,17.79597,31.820236,155.13644,206.3866,48,41,42,50,50,36.05,33.606,33.946,37.624,38.692
174,4.7891707,2.846921,3.0854335,5.929765,6.130412,12.350851,5.034807,5.2364697,17.737432,39.176342,162.95667,143.71227,146.68906,170.86089,172.09215,354.742,273.53278,308.32724,434.0424,449.84692,103.269554,85.2571,89.415985,115.12926,119.89476,88.001945,17.79597,31.9818,155.13644,206.3866,48,41,42,50,50,36.136,32.892,33.94,37.68,38.472
175,4.7891707,2.846921,3.0854027,5.929765,6.130412,12.350851,5.034807,5.2364697,17.737432,39.176342,162.95667,143.71227,146.6887,170.86089,172.09215,354.742,273.53278,307.23706,434.0424,449.84692,103.269554,85.2571,89.415985,115.12926,119.89476,88.87336,17.79597,31.9818,155.13644,206.3866,48,41,42,50,50,36.132,33.474,34.202,38.166,38.396
176,4.7891707,2.846921,3.0854027,5.929765,5.95221,12.350851,5.034807,5.2364697,17.737432,39.176342,162.95667,143.71227,146.6887,170.86089,171.00067,354.742,272.1848,307.23706,434.0424,449.84692,103.269554,85.2571,89.415985,115.12926,119.89476,87.56963,16.614738,31.9818,155.13644,206.3866,48,41,42,50,50,35.98,33.17,34.034,37.496,38.248
177,4.7891707,2.846921,3.0854027,5.929765,5.95221,12.350851,5.034807,5.2364697,17.737432,39.176342,162.95667,143.71227,146.6887,170.86089,171.00067,354.742,280.58594,307.23706,434.0424,449.84692,103.269554,87.33655,93.40369,115.12926,119.89476,87.56963,15.208107,31.9818,155.13644,206.3866,48,42,43,50,50,36.016,32.326,33.382,37.606,37.718
178,4.7890186,2.846921,3.0845609,5.929765,5.95221,12.350851,5.034807,5.2364697,17.737432,39.176342,162.9555,143.71227,146.6786,170.86089,171.00067,354.742,280.58594,308.32724,434.0424,449.84692,103.269554,87.33655,93.40369,115.12926,119.89476,88.388176,15.208107,31.9818,155.13644,206.3866,48,42,43,50,50,35.974,33.0,33.848,37.72,38.348
179,4.7890186,2.846921,3.0844846,5.929765,5.95221,11.973244,5.034807,5.2364697,17.737432,39.176342,162.9555,143.71227,146.67767,170.86089,171.00067,353.23633,280.58594,308.32724,434.0424,449.84692,103.97208,87.33655,93.40369,115.12926,119.89476,89.33905,15.208107,31.796993,155.13644,206.3866,48,42,43,50,50,36.278,33.658,34.292,38.214,38.322
180,4.7890186,2.846921,3.0844846,5.9130206,5.929765,11.973244,5.034807,5.236521,17.737432,39.176342,162.9555,143.71227,146.67767,170.75626,170.86089,353.23633,280.58594,308.32724,434.0424,449.84692,103.97208,87.33655,93.40369,115.12926,119.89476,88.388176,15.208107,31.9818,155.13644,206.3866,48,42,43,50,50,36.168,33.74,34.202,38.074,38.214
