Complexity,Loss,Equation
1,143012.22,"1663.3395"
3,110811.164,"1747.7922 - x0"
4,33897.58,"sqrtabs(powabs(-55.55827, x4))"
5,17415.094,"powabs(x4 + x4, x4)"
7,6079.7188,"((2889.9148 - x0) * x4) + -8699.239"
9,6063.562,"(((x1 - x0) + 2888.8206) * x4) + -8699.194"
11,5468.7563,"(x0 * -0.8408515) + (((2444.1511 - x0) * x4) + -6982.088)"
12,4091.148,"((exp(x4) * 398.83752) + ((-12631.0205 - x0) * x4)) + 32558.83"
16,3111.8726,"(x4 * (exp(x1 * x1) - x0)) + (exp(x4) * (x2 + exp(x4)))"
18,2779.8843,"(powabs(x3, -1.156782) * (exp(x1 * x1) - x0)) + (exp(x4) * (x4 + exp(x4)))"
20,2529.6003,"(powabs(x3, -1.156782) * (exp(x1 * x1) - x0)) + (exp(x4) * (powabs(x3, -1.156782) + exp(x4)))"
22,2107.9639,"((powabs(x3, -1.1356872) * (exp(x1 * x1) - x0)) + (exp(x4) * (powabs(x3, -1.2864279) + exp(x4)))) - x2"
23,1193.8508,"(((x1 * 459.29047) + (-1597.2649 - x0)) * powabs(x3, -0.6415147)) + (((powabs(x3, -2.4942422) + exp(x4)) * exp(x4)) - -1003.5199)"
25,1178.2219,"(((((x1 * 459.29047) + (-1597.2649 - x0)) * powabs(x3, -0.6415147)) + ((powabs(x3, -2.4942422) + exp(x4)) * exp(x4))) - x4) - -1003.5199"
29,1121.8387,"(exp(x4) * (powabs(x3, -2.5805495) + exp(x4))) + ((powabs(x3, -0.54024833) * ((-1563.5459 - x0) + ((x4 + ((x4 * x1) * 147.19525)) + -880.3991))) + 1986.4316)"
31,1121.8171,"((exp(x4) * (powabs(x3, -2.5805495) + exp(x4))) + -0.54024833) + ((powabs(x3, -0.54024833) * (((-1563.5459 - x0) + x4) + (((x4 * x1) * 147.19525) + -880.3991))) + 1986.4316)"
32,1118.9535,"(exp(x4) * (powabs(x3, -2.5805495) + exp(x4))) + (sin(x0) + ((powabs(x3, -0.54024833) * ((-1563.5459 - x0) + ((x4 + ((x4 * x1) * 147.19525)) + -880.3991))) + 1986.4316))"
34,1105.395,"(powabs(x3, -0.62365335) * (((x1 * (x4 * 128.9081)) + (((x4 / x0) + -403.86832) + exp(x4))) + (-1637.3539 - x0))) + (((powabs(x3, -2.5421526) + exp(x4)) * exp(x4)) + 1658.7643)"
35,952.80414,"(powabs(x3, -0.62365335) * (((x1 * (x4 * 128.9081)) + (((exp(x4) / x0) + -403.86832) + exp(x4))) + (-1637.3539 - x0))) + (((powabs(x3, -2.5421526) + exp(x4)) * exp(x4)) + 1658.7643)"
39,849.9847,"(((((powabs(x3, -2.5782192) + exp(x4)) * exp(x4)) - powabs(x0 * x4, 0.87491524)) + 1575.8542) + (powabs(x3, -0.6010605) * (((x1 * (x4 * 140.3054)) + -2199.4143) + x4))) + (powabs(205.30182, powabs(x0, -0.39944232)) + 205.30182)"
43,849.7986,"(((((powabs(x3, -2.5782192) + exp(x4)) * exp(x4)) - powabs(x0 * x4, 0.87491524)) + 1575.8542) + (powabs(x3, -0.6010605) * (((x1 * (x4 * 140.3054)) + -2199.4143) + x4))) + (powabs(2336.336, powabs((1.1639602 - x4) * x0, -0.39944232)) + 205.30182)"
45,844.29785,"((((exp(x4) + powabs(x3, -2.5252411)) * exp(x4)) - -3.7731237) + ((powabs(x3, -0.62788826) * ((((-1638.4742 - x0) + -404.98657) + ((x1 * x4) * 126.95652)) + powabs(x3, x4))) + 1657.195)) + (powabs(x4, x4) + powabs(x1, (5.0546203 - x0) + x4))"
