gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
gen,nll,nll,nll,nll,nll,dl,dl,dl,dl,dl,func_compl,func_compl,func_compl,func_compl,func_compl,param_compl,param_compl,param_compl,param_compl,param_compl,size,size,size,size,size,avg_len,avg_len,avg_len,avg_len,avg_len
1,1623.8728,531.43774,693.77466,2891.8706,3122.095,1642.1652,549.98016,706.74506,2910.1748,3134.718,9.656628,3.295837,3.295837,25.296831,29.188652,5.691554,0.0,3.2452402,9.442376,13.827146,6,3,3,13,14,6.65,6.18,6.286667,7.0333333,7.13
2,1366.0426,218.92554,417.1853,2200.6716,2264.0417,1383.7981,223.31999,421.57974,2268.4368,2544.567,9.656628,3.295837,3.295837,29.11218,31.134562,5.518217,0.0,2.6642501,10.99264,14.855927,6,3,3,14,16,5.7366667,5.133333,5.24,6.1666665,6.2966666
3,1023.72534,13.203613,156.04956,1677.2463,1865.688,1030.2278,33.061478,184.34653,1708.9181,1872.1942,9.656628,3.295837,3.295837,25.296831,29.11218,5.7737117,0.0,2.6642501,9.73451,11.312028,7,3,3,13,14,5.19,4.39,4.596667,5.7633333,5.94
4,757.23315,-144.90405,61.134766,1454.186,1655.2272,771.07587,-125.368866,65.52921,1503.6096,1664.2745,9.704061,3.295837,3.295837,25.296831,31.134562,5.988305,0.0,2.0823922,10.540514,12.738115,7,3,3,13,16,4.693333,3.94,4.0933332,5.516667,5.94
5,564.1482,-362.75024,-194.3982,1223.2861,1406.6449,634.0249,-338.04816,-138.1323,1248.1351,1477.2863,11.266066,3.295837,3.295837,27.242743,32.95837,5.9889,0.0,1.6162189,10.920588,12.5983095,7,3,3,13,16,4.266667,3.5033333,3.67,4.9933333,5.266667
6,383.27075,-502.9878,-332.0017,973.87036,1144.0541,415.8422,-474.09753,-323.25525,1095.3788,1222.3646,9.704061,3.295837,3.295837,20.922693,28.56392,4.249873,0.0,0.0,10.868423,11.628811,7,3,3,13,14,3.8533332,3.0666666,3.25,4.82,4.98
7,203.28345,-525.5835,-475.2478,761.8512,973.87244,257.59262,-496.9736,-442.6471,821.3646,1205.4736,9.704061,3.295837,3.295837,23.292873,31.191624,4.442252,0.0,0.0,10.111496,13.746777,7,3,3,13,15,3.65,2.87,2.97,4.45,4.596667
8,17.582275,-652.24634,-521.64233,662.771,726.63684,60.844475,-647.85187,-470.34204,689.6431,781.0552,9.704061,3.295837,4.394449,27.242743,33.271065,3.4795678,0.0,0.0,10.371327,14.384703,7,3,4,14,17,3.5666666,2.7266667,2.93,4.47,4.7533336
9,-89.263916,-652.24634,-568.1521,442.92944,671.1749,-77.397675,-647.85187,-539.1902,689.6431,3.4028235e38,11.266066,4.394449,4.394449,24.953299,33.271065,5.057725,0.0,0.0,11.351265,3.4028235e38,7,4,4,13,17,3.66,2.72,2.8633332,4.4366665,5.03
10,-201.37866,-709.4414,-633.24414,306.45508,404.0171,-186.65111,-698.6082,-611.4348,375.37753,469.6122,9.88751,4.394449,4.394449,25.296831,33.271065,3.7046366,0.0,0.0,10.543272,14.071557,7,4,4,13,16,3.7233334,2.6733334,2.8266666,4.5666666,5.03
11,-299.2688,-722.3428,-668.9243,91.71997,211.96338,-275.8134,-705.04694,-647.85187,167.03168,225.09026,11.090355,4.394449,4.394449,24.953299,31.134562,3.6976733,0.0,0.0,11.501509,12.432436,7,4,4,13,17,3.8133333,2.72,3.0,4.8366666,5.05
12,-369.60742,-757.7676,-702.1294,21.670898,184.86865,-358.98438,-737.85864,-693.9146,52.541225,189.2631,11.090355,4.394449,4.394449,24.953299,27.242743,3.6979718,0.0,0.0,10.245811,12.187116,7,4,4,13,14,3.9,3.0133333,3.0833333,5.0333333,5.2166667
13,-430.67603,-784.1946,-745.7793,-144.97217,-78.12451,-411.59683,-761.7266,-737.85864,-112.28249,-57.03314,9.704061,4.394449,4.394449,24.953299,27.242743,3.440327,0.0,0.0,10.340489,12.402348,7,4,4,13,14,4.12,3.0266666,3.2733333,5.386667,5.62
14,-516.47754,-789.38696,-778.16064,-222.25879,-87.57617,-512.0723,-771.2586,-743.0095,-213.50589,-83.181725,9.656628,4.394449,4.394449,24.953299,30.459911,3.2598362,0.0,0.0,10.538881,12.402348,6,4,4,14,16,4.29,3.2133334,3.4133334,5.2633333,5.99
15,-572.41113,-784.1946,-775.6531,-297.62305,-246.71948,-549.1734,-771.2586,-743.0095,-277.4111,-242.32503,9.656628,4.394449,4.394449,24.953299,31.134562,3.2501462,0.0,0.0,10.470517,13.37756,6,4,4,14,17,4.6233335,3.5233333,3.67,5.3433332,6.14
16,-588.83105,-813.10205,-780.8518,-328.31665,-290.49023,-567.7515,-776.45734,-755.4833,-312.8948,-273.9527,9.656628,4.394449,4.394449,24.953299,31.134562,3.0799687,0.0,0.0,11.478466,12.402607,6,4,4,14,17,4.7266665,3.6033332,3.8966668,5.64,6.08
17,-642.1963,-836.08887,-782.6665,-378.5918,-319.27295,-631.6265,-802.972,-760.93243,-364.38043,-310.88046,9.704061,4.394449,4.394449,27.242743,33.798195,3.2531843,0.0,0.0,10.722139,12.402607,7,4,4,16,21,4.9566665,4.0233335,4.1833334,5.8533335,6.3933334
