NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
16,765566,-1002.5747,-920.11346,-1002.5747,62.383247,20.078016,19.73,Inf,30,"(((abs(((X1 + (X1 + X1)) - X1)) ^ 0.5475874) + ((abs((((abs(((X1 + X1) - (sqrt(abs(32.72663)) * X1))) ^ -8.82954) + 96.407166) / X1)) ^ -0.18119755) * X1)) / -1.1118234) RARMNRLikelihood{Float32} Float32[0.08056584, -0.5025709, 0.73999465]"
17,843374,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,20.573334,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
18,926053,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,20.936666,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
19,1006497,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,20.873333,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
20,1080453,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,21.316668,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
21,1149921,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,20.893333,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
22,1236971,-1007.3562,-921.9938,-1007.3562,52.539574,32.8229,22.353333,Inf,27,"(abs(((abs(40278.18) ^ -0.006940454) * (X1 * sqrt(abs(((sqrt(abs((abs(((X1 + (X1 + -0.011104434)) - X1)) ^ 0.29947707))) * (-4.439898 - X1)) - (abs(X1) ^ -0.41310304))))))) ^ 0.6294733) RARMNRLikelihood{Float32} Float32[0.08000406, -0.50256866, 0.7400211]"
23,1317078,-1010.6997,-907.0546,-1010.6997,65.91674,37.728325,22.753334,Inf,30,"(sqrt(abs(X1)) * ((-18.383827 * -0.058588695) + (abs((sqrt(abs((X1 + ((abs((sqrt(abs(X1)) - X1)) ^ 0.95655394) * sin(-0.13937329))))) * (-0.68066025 + ((X1 / 225187.02) * sqrt(abs(-8.003634)))))) ^ 1.0986366))) RARMNRLikelihood{Float32} Float32[0.07958163, -0.49946868, 0.74399906]"
24,1392915,-1010.6997,-907.0546,-1010.6997,65.91674,37.728325,22.39,Inf,30,"(sqrt(abs(X1)) * ((-18.383827 * -0.058588695) + (abs((sqrt(abs((X1 + ((abs((sqrt(abs(X1)) - X1)) ^ 0.95655394) * sin(-0.13937329))))) * (-0.68066025 + ((X1 / 225187.02) * sqrt(abs(-8.003634)))))) ^ 1.0986366))) RARMNRLikelihood{Float32} Float32[0.07958163, -0.49946868, 0.74399906]"
25,1478999,-1010.6997,-907.0546,-1010.6997,65.91674,37.728325,22.413334,Inf,30,"(sqrt(abs(X1)) * ((-18.383827 * -0.058588695) + (abs((sqrt(abs((X1 + ((abs((sqrt(abs(X1)) - X1)) ^ 0.95655394) * sin(-0.13937329))))) * (-0.68066025 + ((X1 / 225187.02) * sqrt(abs(-8.003634)))))) ^ 1.0986366))) RARMNRLikelihood{Float32} Float32[0.07958163, -0.49946868, 0.74399906]"
26,1569011,-1010.6997,-907.0546,-1010.6997,65.91674,37.728325,22.536667,Inf,30,"(sqrt(abs(X1)) * ((-18.383827 * -0.058588695) + (abs((sqrt(abs((X1 + ((abs((sqrt(abs(X1)) - X1)) ^ 0.95655394) * sin(-0.13937329))))) * (-0.68066025 + ((X1 / 225187.02) * sqrt(abs(-8.003634)))))) ^ 1.0986366))) RARMNRLikelihood{Float32} Float32[0.07958163, -0.49946868, 0.74399906]"
