NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,21378,1463.8107,1493.0693,1463.8107,22.873857,6.3847737,7.0066667,Inf,11,"(exp(log(abs(X1))) + sqrt(abs((0.4427807 * sqrt(abs((-0.93019617 - X1))))))) RARMNRLikelihood{Float32} Float32[0.29987046, 0.013329024, 1.663316]"
2,43729,1306.015,1320.3568,1306.015,6.931472,7.410269,5.8966665,Inf,5,"((X1 + 0.48645118) / 1.9915544) RARMNRLikelihood{Float32} Float32[0.103352115, -0.59566283, 2.3440754]"
3,66714,1114.0544,1145.4219,1114.0544,25.296831,6.0705385,5.633333,Inf,13,"(exp(exp((log(abs(X1)) * -0.14278758))) * (0.40767583 - log(abs(exp(sqrt(abs(X1))))))) RARMNRLikelihood{Float32} Float32[0.16697977, 0.07398874, 1.6308231]"
4,83810,647.5509,654.0581,647.5509,3.295837,3.21135,4.943333,Inf,3,"(-0.61959624 + X1) RARMNRLikelihood{Float32} Float32[0.26262423, -0.16779414, 1.1090406]"
5,97820,641.2517,647.7631,641.2517,3.295837,3.215547,4.48,Inf,3,"(-0.61959624 + X1) RARMNRLikelihood{Float32} Float32[0.26144248, -0.16779414, 1.1090406]"
6,113949,560.70654,569.63184,560.70654,5.4930615,3.4322329,4.213333,Inf,5,"((-0.61959624 + X1) + 0.6221728) RARMNRLikelihood{Float32} Float32[0.19973372, 0.06054486, 1.1090406]"
7,133688,383.29858,397.70657,383.29858,11.266066,3.1419268,3.8433332,Inf,7,"(X1 + sqrt(abs((0.4427807 * sqrt(abs(1.9915544)))))) RARMNRLikelihood{Float32} Float32[0.20036113, -0.11635011, 1.1090406]"
8,148181,137.76782,142.16228,137.76782,4.394449,0.0,4.0033336,Inf,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.20036113, -0.11635011, 1.1090406]"
9,162068,137.76782,142.16228,137.76782,4.394449,0.0,3.9733334,Inf,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.20036113, -0.11635011, 1.1090406]"
10,177179,137.76782,142.16228,137.76782,4.394449,0.0,4.2466664,Inf,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.20036113, -0.11635011, 1.1090406]"
11,193672,-291.81006,-287.41562,-291.81006,4.394449,0.0,4.19,4053.4204,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.068343274, -0.16779414, 1.1090406]"
12,210484,-291.81006,-287.41562,-291.81006,4.394449,0.0,4.54,1.1342745e36,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.068343274, -0.16779414, 1.1090406]"
13,228493,-294.87378,-290.47934,-294.87378,4.394449,0.0,4.786667,1.1342745e36,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.08913567, -0.11635011, 1.1090406]"
14,243881,-294.87378,-290.47934,-294.87378,4.394449,0.0,5.17,Inf,4,"(X1 + sqrt(abs(X1))) RARMNRLikelihood{Float32} Float32[0.08913567, -0.11635011, 1.1090406]"
15,263520,-611.7322,-579.7589,-611.7322,22.532131,9.4411545,5.3433332,Inf,14,"(X1 + sqrt(abs((sqrt(abs(1.3468325)) * (-14.666039 + ((sqrt(abs(1.1587566)) + X1) + X1)))))) RARMNRLikelihood{Float32} Float32[0.113956615, -0.834264, 0.72245085]"
