gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,1.0913579e7,7.176086e6,7.239295e6,1.1024249e7,1.1024249e7,8.597662e6,7.462959e6,7.7892985e6,1.3471156e7,1.3471171e7,3008.8562,2951.9265,2953.3167,3019.9775,3019.9775,3010.9358,2970.2874,2973.8955,3024.3044,3024.3044,2.0794415,1.3862944,1.3862944,15.567281,16.125835,2.9407234,0.0,0.0,10.922064,11.452383,3,2,2,9,9,5.994,5.736,5.814,6.28,6.292
2,9.348597e6,7.176086e6,7.238781e6,1.1024246e7,1.1024248e7,8.597571e6,7.107212e6,7.130034e6,1.3471152e7,1.3471171e7,2991.8801,2951.9265,2953.305,3019.9775,3019.9775,3010.9358,2970.2874,2976.8882,3022.409,3022.5493,2.0794415,0.0,2.0794415,16.125835,17.513191,3.6324515,0.0,0.0,11.997645,13.926441,3,1,3,9,9,4.624,4.2,4.256,4.892,4.896
3,9.361628e6,7.176086e6,7.184526e6,1.1024239e7,1.1024246e7,8.597571e6,7.101854e6,7.2420905e6,1.3471171e7,1.3471242e7,2991.623,2951.9265,2952.1128,3019.9773,3019.9775,3010.9355,2970.2874,2974.2183,3022.2039,3022.5493,2.0794415,0.0,2.0794415,16.125835,17.513191,3.7326221,0.0,0.0,11.256533,11.853889,3,1,3,9,9,3.344,3.082,3.11,3.532,3.548
4,9.540811e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597661e6,7.101059e6,7.426931e6,1.3471171e7,1.3471181e7,2994.066,2951.9265,2952.1128,3019.9773,3019.9773,3010.9355,2969.1616,2972.8894,3022.0566,3022.057,2.0794415,0.0,2.0794415,14.334076,17.513191,3.6529145,0.0,0.0,10.820974,11.853889,3,1,3,8,9,2.42,2.118,2.27,2.674,2.682
5,9.348597e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597661e6,7.102281e6,7.233211e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2969.1616,2972.8894,3022.0566,3022.057,2.0794415,0.0,2.0794415,14.334076,17.513191,3.7273164,0.0,0.0,10.4229965,10.664211,3,1,3,8,9,1.798,1.624,1.704,2.056,2.156
6,9.348597e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597614e6,7.102281e6,7.233211e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2969.1616,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.240304,0.0,0.0,10.664211,11.564637,5,1,3,8,8,1.374,1.244,1.274,1.548,1.64
7,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597614e6,7.1022265e6,7.233211e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2969.1616,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.240304,0.0,0.0,11.470755,11.564637,5,1,3,8,8,1.112,1.06,1.07,1.282,1.294
8,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330505e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.554,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.240304,0.0,0.0,10.678495,11.564637,5,1,3,8,8,1.056,1.02,1.02,1.18,1.234
9,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330505e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.554,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.240304,0.0,0.0,10.678495,11.564637,5,1,3,8,8,1.054,1.002,1.012,1.164,1.172
10,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.554,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.2398477,0.0,0.0,10.678495,11.492827,5,1,3,8,8,1.072,1.0,1.016,1.202,1.21
11,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.554,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.2398477,0.0,0.0,10.678495,11.490483,5,1,3,8,8,1.068,1.0,1.02,1.178,1.236
12,9.348604e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.554,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.678495,11.490483,5,1,3,8,8,1.064,1.0,1.012,1.248,1.25
13,9.345333e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.5537,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.072,1.0,1.012,1.188,1.214
14,9.345333e6,7.176087e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2951.9265,2953.079,3019.9773,3019.9773,3010.0295,2968.5537,2972.8894,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.076,1.0,1.016,1.18,1.194
15,9.345333e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.088,1.0,1.012,1.206,1.258
16,9.345343e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.068,1.0,1.016,1.228,1.286
17,9.345333e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.072,1.0,1.008,1.18,1.304
18,9.345333e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.072,1.0,1.008,1.214,1.228
19,9.345333e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471171e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.664211,11.490483,5,1,3,8,8,1.086,1.0,1.012,1.234,1.264
20,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1022265e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,10.24385,10.662784,5,1,3,8,8,1.09,1.0,1.012,1.22,1.268
21,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.084,1.0,1.012,1.288,1.32
22,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.116,1.0,1.016,1.332,1.364
23,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.096,1.0,1.024,1.354,1.356
24,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.114,1.0,1.02,1.348,1.442
25,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.1,1.0,1.02,1.362,1.554
26,9.34533e6,7.115368e6,7.184526e6,1.1024239e7,1.1024246e7,8.597555e6,7.1003405e6,7.2330425e6,1.3471145e7,1.3471253e7,2991.5757,2950.5796,2952.1128,3019.9773,3019.9773,3010.0288,2968.5537,2970.4482,3022.0566,3022.0566,6.931472,0.0,2.0794415,14.334076,14.334076,4.239384,0.0,0.0,8.565,10.24385,5,1,3,8,8,1.094,1.0,1.012,1.384,1.658
