Complexity,Loss,Equation
1,0.113488264,"2.9721766"
3,0.0977785,"x48 * 0.008491742"
4,0.086930655,"log(x46 + -322.82635)"
5,0.06117122,"(x48 + -293.03943) * 0.051908504"
12,0.047446903,"(x46 + ((sin(x31 * -0.22253267) * 7.3676147) + -270.24728)) * 0.042031027"
13,0.0474328,"(x46 + ((sin(x31 * -0.22253267) * 7.3676147) + -270.24728)) * sin(0.042031027)"
14,0.047375347,"((x46 + -0.22082849) + ((sin(x31 * -0.22253267) * 7.3676147) + -270.24728)) * 0.042031027"
15,0.04609655,"((x46 + (sin(x46) + (sin(x31 * -0.22253267) * 7.3676147))) + -270.24728) * 0.04203103"
17,0.04466269,"(((x46 + sin(x14 * -0.4826245)) + (sin(x31 * -0.22253267) * 7.3676147)) + -270.24728) * 0.042031027"
19,0.04249831,"((x30 + -270.20682) + ((sin(x14 * -0.48190707) * 4.062191) + (sin(x31 * -0.2216858) * 6.624906))) * 0.043098927"
21,0.042217184,"(x30 + (((sin(x31 * -0.22158076) * 6.917518) + -269.45328) + ((sin(x14 * -0.48193088) * 4.8206916) + -0.39482835))) * 0.043019854"
22,0.040099125,"(((x30 + -270.03827) + ((sin(x14 * -0.48190707) * 4.062191) + (sin(x31 * -0.22253267) * 6.3182764))) + sin(x14)) * 0.042031027"
25,0.03914359,"((((x30 + sin(x46)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(x31 * -0.22253267) * 6.3182764))) + sin(x14)) * 0.042031027"
27,0.03909419,"(((((x30 + 0.042031027) + sin(x46)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(x31 * -0.22253267) * 6.3182764))) + sin(x14)) * 0.042031027"
28,0.038039293,"(((((x30 + sin(x14)) + sin(x46)) + -270.03827) + ((sin(x14 * -0.48190707) * 4.062191) + (sin(x31 * -0.22253267) * 6.3182764))) + sin(x14)) * 0.042031027"
34,0.03759454,"(((x30 + sin(x14)) + -270.03827) + (((sin(x14 * -0.4826245) * 4.062191) + (sin(x14) + (sin(sin(x49 * 0.23193069)) + (sin(x31 * 0.23193069) * 4.062191)))) + sin(x46))) * 0.041718032"
35,0.037471123,"0.042031027 * ((((x30 + sin(x14)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(4.569383e-5) + (sin(x31 * -0.22253267) * 4.062191))))) + sin(-0.22253267 * x49))"
36,0.036736354,"(((x30 + sin(x14)) + -270.03827) + (((sin(x14 * -0.4826245) * 4.062191) + (sin(sin(x49 * 0.23193069)) + (sin(x49 * 0.23193069) + (sin(x31 * -0.22253267) * 4.062191)))) + sin(x46))) * 0.042031027"
37,0.036728997,"(((x30 + sin(x14)) + -270.03827) + (((sin(x14 * -0.4826245) * 4.062191) + (sin(sin(x49 * 0.23193069)) + (sin(sin(x49 * 0.23193069)) + (sin(x31 * 0.23193069) * 4.062191)))) + sin(x46))) * 0.041718032"
38,0.03606801,"((((x30 + sin(x14)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(x31 * -0.22253267) + (sin(x31 * -0.22253267) * 4.062191))))) + (sin(x14) + sin(x46))) * 0.042031027"
39,0.036053844,"((((x30 + sin(x14)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(x31 * -0.22253267) + (sin(x31 * -0.22253267) * 4.062191))))) + (sin(sin(x14)) + sin(x46))) * 0.042031027"
40,0.036042105,"((((x30 + sin(x14)) + -270.03827) + ((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(x31 * -0.22253267) + (sin(x31 * -0.22253267) * 4.062191))))) + (sin(x14) + sin(x46 + -270.03827))) * 0.042031027"
41,0.035966292,"(((x30 + sin(x14)) + -270.03827) + (((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(sin(x14)) + (sin(x31 * -0.22253267) * 4.062191)))) + (sin(-0.22253267 * x49) + sin(x46 + 0.042018652)))) * 0.042031027"
42,0.035168532,"(((x30 + sin(x14)) + -270.03827) + (((sin(x14 * -0.4826245) * 4.062191) + (sin(0.2503926 * x49) + (sin(x31 * -0.22253267) + (sin(x31 * -0.2226365) * 4.062191)))) + (sin(-0.22253267 * x49) + sin(x46 + 0.042018652)))) * 0.042031027"
45,0.035029434,"((-270.03827 + sin(x46)) + ((((sin(x14 * -0.4826245) * 4.062191) + sin((-0.22253267 * x49) + -270.03827)) + (sin(x14) + (sin(x31 * -0.22253267) * 4.062191))) + ((x30 + sin(x14)) + (sin(x31 * -0.22253267) + sin(0.2503926 * x49))))) * 0.042031027"
50,0.03476538,"((-270.03827 + sin(x46)) + ((((sin(x14 * -0.4826245) * 4.062191) + sin((-0.22253267 * x49) + sin(x14))) + (sin(x14) + (sin(x31 * -0.22253267) * 4.062191))) + ((x30 + sin(sin(x14 + sin(x14)))) + (sin(x31 * -0.22253267) + sin(0.2503926 * x49))))) * 0.042031027"
