-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
18,1404704,-305.71088,-305.71088,0.001336075,0.0013790528,0.97498506,0.98153967,-378.01422,-303.58597,28.156,28,"(1.7309723 + pdiv(((exp(X1) + ((-26.60996 + (X1 + (X1 + X1))) - pdiv((exp(X1) - 23.781376), exp(X1)))) - (-19.265703 * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.03655238]]"
19,1534667,-315.71017,-315.71017,0.0013530941,0.0013974238,0.9746664,0.98129374,-376.7484,-302.5125,29.378,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(0.022693804, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
20,1661480,-315.71072,-315.71072,0.0013530937,0.001397429,0.9746664,0.9812937,-376.74847,-302.5122,30.526,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(X1, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
21,1785424,-315.71072,-315.71072,0.0013530937,0.001397429,0.9746664,0.9812937,-376.74847,-302.5122,31.436,22,"(1.7327346 + pdiv(((-29.55858 + ((X1 * 26.828693) + pdiv((26.757761 - pdiv(X1, -61583.277)), exp(X1)))) - X1), exp(exp(X1)))) [likelihood params: Float32[0.036784414]]"
22,1910902,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,30.462,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
23,2027684,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,31.314,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
24,2148553,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,31.956,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
25,2275198,-321.00546,-321.00546,0.0013227877,0.0012990065,0.97523385,0.9826112,-379.01367,-308.45728,33.306,20,"(1.7322392 + pdiv(((-29.670948 + pdiv((26.73531 - pdiv(-0.030433679, X1)), exp(X1))) - (-25.969511 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03637017]]"
26,2409395,-327.31366,-327.31366,0.0013530939,0.0013974191,0.9746664,0.9812938,-376.74847,-302.51282,33.102,16,"(1.7327346 + pdiv((((25.828686 * X1) + -29.558569) - pdiv(-26.757746, exp(X1))), exp(exp(X1)))) [likelihood params: Float32[-0.036784433]]"
27,2543609,-327.31372,-327.31372,0.0013530941,0.0013974219,0.9746664,0.9812938,-376.74844,-302.51263,32.13,16,"(1.7327346 + pdiv((((25.828691 * X1) + -29.558577) - pdiv(-26.757755, exp(X1))), exp(exp(X1)))) [likelihood params: Float32[0.03678442]]"
28,2675670,-327.31372,-327.31372,0.0013530941,0.0013974219,0.9746664,0.9812938,-376.74844,-302.51263,31.462,16,"(1.7327346 + pdiv((((25.828691 * X1) + -29.558577) - pdiv(-26.757755, exp(X1))), exp(exp(X1)))) [likelihood params: Float32[0.03678442]]"
29,2809373,-327.31372,-327.31372,0.0013530941,0.0013974219,0.9746664,0.9812938,-376.74844,-302.51263,31.158,16,"(1.7327346 + pdiv((((25.828691 * X1) + -29.558577) - pdiv(-26.757755, exp(X1))), exp(exp(X1)))) [likelihood params: Float32[0.03678442]]"
30,2952961,-327.5421,-327.5421,0.0013369439,0.0013771063,0.9749688,0.9815657,-377.9492,-303.70557,31.036,17,"(1.7267376 + pdiv(((-130.90924 + 127.96585) - (((-7.934687 * X1) + -1.1562556) * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564235]]"
31,3083527,-327.5421,-327.5421,0.0013369439,0.0013771063,0.9749688,0.9815657,-377.9492,-303.70557,30.536,17,"(1.7267376 + pdiv(((-130.90924 + 127.96585) - (((-7.934687 * X1) + -1.1562556) * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564235]]"
32,3214261,-327.5421,-327.5421,0.0013369439,0.0013771063,0.9749688,0.9815657,-377.9492,-303.70557,29.282,17,"(1.7267376 + pdiv(((-130.90924 + 127.96585) - (((-7.934687 * X1) + -1.1562556) * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564235]]"
33,3352348,-327.5421,-327.5421,0.0013369439,0.0013771063,0.9749688,0.9815657,-377.9492,-303.70557,28.542,17,"(1.7267376 + pdiv(((-130.90924 + 127.96585) - (((-7.934687 * X1) + -1.1562556) * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564235]]"
34,3489192,-327.5421,-327.5421,0.0013369439,0.0013771063,0.9749688,0.9815657,-377.9492,-303.70557,27.664,17,"(1.7267376 + pdiv(((-130.90924 + 127.96585) - (((-7.934687 * X1) + -1.1562556) * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564235]]"
35,3622971,-327.75223,-327.75223,0.0013369439,0.001377102,0.9749688,0.9815658,-377.94922,-303.7058,27.774,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346924))) - (-1.1562512 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.036564253]]"
36,3749382,-327.75223,-327.75223,0.0013369439,0.001377102,0.9749688,0.9815658,-377.94922,-303.7058,28.746,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346924))) - (-1.1562512 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.036564253]]"
37,3879906,-327.75223,-327.75223,0.0013369439,0.001377102,0.9749688,0.9815658,-377.94922,-303.7058,28.328,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346924))) - (-1.1562512 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.036564253]]"
38,4007809,-327.75223,-327.75223,0.0013369439,0.001377102,0.9749688,0.9815658,-377.94922,-303.7058,27.634,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346924))) - (-1.1562512 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.036564253]]"
