gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
23,0.0014929413,0.0012970475,0.0013320729,0.0015892987,0.0015892987,0.0014630085,0.0013121626,0.001352497,0.0017128508,0.0017128508,-363.3441,-380.28992,-377.26,-355.00867,-355.00867,-293.3879,-312.21646,-300.56232,-260.59033,-260.59033,29,20,21,39,39
24,0.0014821179,0.0012970467,0.0013422848,0.0015892992,0.0015892992,0.0014630085,0.0013525176,0.0013777472,0.0017128508,0.0017128508,-364.28033,-380.28998,-376.37665,-355.0086,-355.0086,-294.369,-312.21646,-304.56708,-260.59033,-260.59033,29,20,20,39,39
25,0.0014714386,0.0012970465,0.0013422848,0.0015729055,0.0015729055,0.0014630085,0.0013525204,0.0013777472,0.0017128508,0.0017128508,-365.20416,-380.28998,-376.37665,-356.42676,-356.42676,-294.369,-312.21646,-307.89255,-260.59033,-260.59033,29,20,21,39,39
26,0.0013904001,0.0012970465,0.0013202571,0.0015729055,0.0015729055,0.0014245315,0.0013525204,0.0013614424,0.0017128508,0.0017128508,-372.21442,-380.28998,-378.28217,-356.42676,-356.42676,-294.369,-313.92966,-312.21646,-260.59033,-260.59033,29,20,22,39,39
27,0.0013904001,0.0012970472,0.0013202571,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013614424,0.0017126958,0.0017126958,-372.21442,-380.28992,-378.28217,-356.42685,-356.42685,-294.369,-313.92966,-312.21646,-261.16833,-261.16833,29,20,22,39,39
28,0.0013904001,0.0012970472,0.0013202571,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-372.21442,-380.28992,-378.28217,-356.42685,-356.42685,-294.369,-320.03952,-312.21646,-261.16833,-261.16833,29,20,22,39,39
29,0.0013904001,0.0012970472,0.0013202571,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-372.21442,-380.28992,-378.28217,-356.42685,-356.42685,-298.687,-320.03952,-312.21646,-261.16833,-261.16833,29,20,22,39,39
30,0.0014253354,0.0012970472,0.0013202571,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-369.19232,-380.28992,-378.28217,-356.42685,-356.42685,-298.687,-320.03952,-312.21646,-261.16833,-261.16833,29,20,22,39,39
31,0.0014253253,0.0012970472,0.0013202571,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-369.1932,-380.28992,-378.28217,-356.42685,-356.42685,-298.92993,-320.03952,-312.21646,-261.16833,-261.16833,29,20,22,39,39
32,0.0014533402,0.0012970472,0.0013202572,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-366.76978,-380.28992,-378.28217,-356.42685,-356.42685,-303.36978,-320.03952,-312.21646,-261.16833,-261.16833,28,20,22,39,39
33,0.0014533395,0.0012970472,0.0013202572,0.0015729044,0.0015729044,0.0014245315,0.001352519,0.0013777472,0.0017126958,0.0017126958,-366.76984,-380.28992,-378.28217,-356.42685,-356.42685,-303.37396,-320.03952,-312.21646,-261.16833,-261.16833,28,20,22,39,39
34,0.0014533395,0.0012970472,0.0013202572,0.0015729044,0.0015729044,0.0014244834,0.0013361572,0.001352519,0.0017126958,0.0017126958,-366.76984,-380.28992,-378.28217,-356.42685,-356.42685,-303.37396,-320.03952,-312.21646,-261.16833,-261.16833,28,20,22,39,39
35,0.0014533395,0.0012970472,0.0013202572,0.0015729044,0.0015729044,0.0014244834,0.0013361572,0.001352519,0.0017126958,0.0017126958,-366.76984,-380.28992,-378.28217,-356.42685,-356.42685,-303.37396,-320.03952,-312.21646,-261.16833,-261.16833,28,20,22,39,39
36,0.0013422848,0.0012970472,0.0013202572,0.0015567199,0.0015567199,0.0013880534,0.0013361572,0.001352519,0.0016085103,0.0016085103,-376.37665,-380.28992,-378.28217,-357.8269,-357.8269,-309.03934,-323.0015,-312.21646,-265.3338,-265.3338,27,20,22,40,40
37,0.0013422848,0.0012970467,0.0013202572,0.0015567199,0.0015567199,0.0013838607,0.0013361572,0.0013525059,0.0016085103,0.0016085103,-376.37665,-380.28998,-378.28217,-357.8269,-357.8269,-309.05557,-324.60577,-312.21646,-265.3338,-265.3338,27,20,20,40,40
38,0.0013422848,0.0012970467,0.0013205842,0.0015067499,0.0015067499,0.0013806206,0.0013361572,0.0013525059,0.0015204761,0.0015204761,-376.37665,-380.28998,-378.25385,-362.14957,-362.14957,-309.2405,-324.60577,-312.21646,-265.3338,-265.3338,27,20,20,40,40
39,0.0013422848,0.0012970467,0.0013205842,0.0015067499,0.0015067499,0.0013806206,0.0013361572,0.0013525059,0.0015026754,0.0015026754,-376.37665,-380.28998,-378.25385,-362.14957,-362.14957,-309.2405,-325.1767,-312.21646,-266.89514,-266.89514,27,20,20,42,42
40,0.0013422848,0.0012970467,0.0013205842,0.0015067499,0.0015067499,0.0013777472,0.0013361572,0.0013393477,0.0014435428,0.0014435428,-376.37665,-380.28998,-378.25385,-362.14957,-362.14957,-309.32898,-325.1767,-312.21646,-267.27072,-267.27072,27,20,20,44,44
41,0.0013422848,0.0012970467,0.0013205842,0.0015067499,0.0015067499,0.0013776805,0.0013361572,0.0013393477,0.0015135305,0.0015135305,-376.37665,-380.28998,-378.25385,-362.14957,-362.14957,-309.32898,-325.1767,-312.21646,-267.27368,-267.27368,27,20,20,41,41
42,0.0013422848,0.0012970467,0.0012975746,0.0015567201,0.0015567201,0.0013776805,0.0013352168,0.0013361572,0.0016084802,0.0016084802,-376.37665,-380.28998,-380.24432,-357.82687,-357.82687,-309.32898,-325.1767,-314.50906,-275.5803,-275.5803,27,17,20,35,35
43,0.0013422848,0.0012970467,0.0012975746,0.0015903291,0.0015903291,0.0013777472,0.0013361572,0.0013391887,0.0016605146,0.0016605146,-376.37665,-380.28998,-380.24432,-354.91953,-354.91953,-309.32898,-325.31366,-314.50906,-286.63052,-286.63052,27,17,18,35,35
44,0.0013628792,0.0012970467,0.0012978299,0.0015903286,0.0015903286,0.0013806206,0.0013368995,0.0013476727,0.0016605397,0.0016605397,-374.59512,-380.28998,-380.22223,-354.91956,-354.91956,-312.1302,-326.7862,-318.06015,-294.09766,-294.09766,26,15,17,35,35
45,0.0013628792,0.0012970467,0.0012978299,0.0015903286,0.0015903286,0.0013806206,0.0013368995,0.0013476727,0.0016605397,0.0016605397,-374.59512,-380.28998,-380.22223,-354.91956,-354.91956,-312.1302,-326.7862,-318.06015,-294.09766,-294.09766,26,15,17,35,35
46,0.0013628792,0.0012970467,0.0012978283,0.0015567192,0.0015567192,0.0013806038,0.0013368921,0.0013476727,0.0016085119,0.0016085119,-374.59512,-380.28998,-380.22235,-357.82697,-357.82697,-312.21646,-326.7862,-318.06015,-294.09766,-294.09766,27,15,17,35,35
47,0.0013628792,0.0012970467,0.0012978293,0.0015903345,0.0015903345,0.0013806038,0.0013369039,0.0013525059,0.0016604938,0.0016604938,-374.59512,-380.28998,-380.2223,-354.91907,-354.91907,-312.21646,-328.95276,-318.06015,-294.09766,-294.09766,25,15,17,35,35
