id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,2.961151898734176,2.961151898734176,1,0.11218155076643696,0.11646950648934477,0.14354310390759883,2.220446049250313e-16,-9.563011410706812e-3,-2.5085079368407204e-2,0.11218155076643696,0.11646950648934477,0.14354310390759883,0.11218155076643696,0.11646950648934477,0.14354310390759883
1,(x39 * 8.870420328372819e-3),8.870420328372819e-3,3,0.10505897939963509,0.10452123919942607,0.14371030431943815,6.349146823287521e-2,9.40051161614136e-2,-2.627910849815951e-2,0.10505897939963509,0.10452123919942607,0.14371030431943815,3.4008958454039644,3.4003581052037553,3.4395471703237672
2,(Sqrt(Abs(x48)) + -15.744937450265894),-15.744937450265894,5,7.113985123133222e-2,7.83056231847043e-2,0.13328911957552053,0.3658507058843746,0.3212432752947705,4.8141749763399355e-2,7.113985123133222e-2,7.83056231847043e-2,0.13328911957552053,5.616317295710894,5.623483067664266,5.678466564055083
3,(-15.0868373755895 + (x48 * 5.157568261098638e-2)),-15.0868373755895;5.157568261098638e-2,5,5.868074343464324e-2,6.634085805662927e-2,0.14968286701527617,0.4769127094987563,0.42495440688290254,-6.893100007935993e-2,5.868074343464324e-2,6.634085805662927e-2,0.14968286701527617,6.9901525490340966,6.997812663656083,7.081154672614729
4,((3.067400917225593e-2 * (x48 + x46)) + -18.299287021442527),3.067400917225593e-2;-18.299287021442527,7,5.430256658718971e-2,5.5004786864993e-2,0.15948020223710782,0.515940310896146,0.5232159906635591,-0.13889675865690276,5.430256658718971e-2,5.5004786864993e-2,0.15948020223710782,11.320367953625892,11.321070173903696,11.42554558927581
5,(Sqrt(Abs(x46)) + (-29.620111115238316 + (x48 * 4.0169744611286265e-2))),-29.620111115238316;4.0169744611286265e-2,9,5.167604993773027e-2,5.327637373489118e-2,0.1639758645963726,0.5393534000495297,0.5381979547602906,-0.17100165454467042,5.167604993773027e-2,5.327637373489118e-2,0.1639758645963726,14.38575180376217,14.38735212755933,14.498051618420812
6,((Sqrt(Abs((x46 + (x48 + x37)))) * 1.7861645843706608) + -44.461249098780534),1.7861645843706608;-44.461249098780534,11,5.2967477388868964e-2,5.2458798270275324e-2,0.14812990342673585,0.5278414585376188,0.5452847362964397,-5.784081350766779e-2,5.2967477388868964e-2,5.2458798270275324e-2,0.14812990342673585,19.512068967942,19.511560288823407,19.607231393979866
7,(Sqrt(Abs(x46)) + (-32.439805140940514 + Sqrt(Abs((x48 + (x36 * -5.341384562963463)))))),-32.439805140940514;-5.341384562963463,13,4.543274405071258e-2,4.589325491534962e-2,9.116105333838459e-2,0.5950069887578577,0.6021951665089413,0.34899111797917126,4.543274405071258e-2,4.589325491534962e-2,9.116105333838459e-2,21.45044438365916,21.450904894523795,21.496172692946832
8,((6.224533545778997e-2 * Sqrt(Abs((((x34 * -0.23253336751677245) + x48) * x46)))) + x3),6.224533545778997e-2;-0.23253336751677245,13,4.228313953105892e-2,4.256661389613193e-2,6.489107255024301e-2,0.6230829468644733,0.6310306430768018,0.536593061981673,4.228313953105892e-2,4.256661389613193e-2,6.489107255024301e-2,24.995581639689085,24.99586511405416,25.01818957270827
9,((3.271580058859952e-2 * ((x48 + x46) + ((x48 * x53) / x34))) + -21.05293933491328),3.271580058859952e-2;-21.05293933491328,13,3.514312471071184e-2,3.612890661765504e-2,3.644789595409901e-2,0.6867299081657362,0.686832984329397,0.7397144599787272,3.514312471071184e-2,3.612890661765504e-2,3.644789595409901e-2,27.067883166548576,27.06886894845552,27.069187937791963
10,((3.2789200088075156e-2 * (((x53 + x46) + x48) + ((x53 * x31) / x34))) + -21.839759595720036),3.2789200088075156e-2;-21.839759595720036,15,3.4533335164021184e-2,3.546148996491623e-2,3.6032512408301964e-2,0.6921656464179221,0.692618182413552,0.7426808405530653,3.4533335164021184e-2,3.546148996491623e-2,3.6032512408301964e-2,32.99290199520731,32.99383015000821,32.994401172451596
11,((3.2580224265172236e-2 * ((x48 + (Sin(x47) + x46)) + ((x53 * x31) / x34))) + -20.95479172828517),3.2580224265172236e-2;-20.95479172828517,16,3.407526142853815e-2,3.533450147888647e-2,3.566363669839528e-2,0.6962489714598156,0.6937189244209239,0.7453150944884559,3.407526142853815e-2,3.533450147888647e-2,3.566363669839528e-2,38.40039962620247,38.401658866252816,38.401988001472326
12,((3.2942130656539385e-2 * ((x53 + Sin(x47)) + ((x48 + x46) + ((x53 * x31) / x34)))) + -21.955842040479393),3.2942130656539385e-2;-21.955842040479393,18,3.3791833472193514e-2,3.468832730918674e-2,3.566027927387324e-2,0.6987754827658924,0.6993199916901285,0.7453390708808354,3.3791833472193514e-2,3.468832730918674e-2,3.566027927387324e-2,43.19590674384287,43.19680323767986,43.197775189644545
13,((1.8192168206184718 * Sqrt(Abs(((x48 + x46) + (((x53 + Sin((Log(x46) * x20))) * x31) / x34))))) + -46.33130926482157),1.8192168206184718;-46.33130926482157,21,3.4983881175839684e-2,3.4431294195061954e-2,3.446708995602559e-2,0.688149424421165,0.7015479664841302,0.753859999670105,3.4983881175839684e-2,3.4431294195061954e-2,3.446708995602559e-2,51.33397103040657,51.33341844342579,51.33345423918676
14,((3.03009977072596e-2 * (((x53 + x46) + x48) + ((((x11 / (x55 / Log(x46))) + x31) * x53) / x34))) + -19.968300726179287),3.03009977072596e-2;-19.968300726179287,22,3.536631950779368e-2,3.3841195624530473e-2,4.6810214559903376e-2,0.6847403225738368,0.7066629678939578,0.6657139827610308,3.536631950779368e-2,3.3841195624530473e-2,4.6810214559903376e-2,54.7033126148438,54.70178749096054,54.71475650989591
15,(Sqrt(Abs((-506.6622195084951 + ((x48 + (Sin(x47) + x46)) + ((((x11 / (x55 / x11)) + x31) * x53) / x34))))) + -12.129670686177066),-506.6622195084951;-12.129670686177066,24,3.516665214874722e-2,3.254944373789437e-2,0.11338193375420597,0.6865201817189663,0.7178599323525229,0.19030503453380476,3.516665214874722e-2,3.254944373789437e-2,0.11338193375420597,60.73348523329969,60.730868024888835,60.81170051490515
16,((3.0670588567188302e-2 * (((x48 + x46) + (x53 + Sin(x47))) + ((((x11 / (x55 / Log(x48))) + x31) * x53) / x34))) + -20.247815995714635),3.0670588567188302e-2;-20.247815995714635,25,3.4487838182794585e-2,3.2750157453059266e-2,4.631805715152278e-2,0.6925712120471701,0.7161201366856473,0.669228628900746,3.4487838182794585e-2,3.2750157453059266e-2,4.631805715152278e-2,66.01092107856425,66.00918339783452,66.02275129753298
17,((3.302368505139857e-2 * (((x48 + x46) + (x53 + Sin(x47))) + ((((x11 / (x55 / Log((x36 * x20)))) + x31) * x53) / x34))) + -22.031667300534416),3.302368505139857e-2;-22.031667300534416,27,3.438264789634282e-2,3.2012925090305025e-2,5.8948313543718316e-2,0.6935088910659846,0.7225105005386931,0.5790321163286662,3.438264789634282e-2,3.2012925090305025e-2,5.8948313543718316e-2,74.89427814837043,74.8919084255644,74.91884381401782
