gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,8.978445,5.994801,6.0455837,12.178441,14.074205,9.987874,5.5494366,5.598255,13.437012,26.360834,186.21002,171.26448,171.5766,197.48914,202.84216,199.44804,183.22865,187.62845,203.5355,206.45831,5.5451775,1.3862944,1.3862944,11.266066,11.266066,4.733966,2.2298622,2.3021927,7.110383,7.4629464,4,2,2,7,7,6.034,5.74,5.828,6.292,6.326
2,8.416983,5.999026,6.045583,10.969861,10.969861,7.484008,5.5494366,5.5982547,11.887852,12.6278105,183.82076,171.29054,171.57658,193.62207,193.62207,197.38596,182.53525,183.12103,201.62236,203.5011,6.931472,3.295837,3.295837,9.656628,10.750557,5.4133883,3.9727964,4.108312,7.4629464,8.023062,5,3,3,6,6,5.344,4.754,4.964,5.638,5.656
3,8.416983,6.045583,6.0455832,10.969859,10.969861,7.48402,5.524168,5.549438,11.88769,11.88769,183.82076,171.57658,171.57658,193.62207,193.62207,197.38596,182.53525,182.53525,201.62228,201.62236,6.931472,3.295837,3.295837,8.04719,11.266066,5.258263,4.1562147,4.486588,7.110383,7.168363,5,3,3,5,7,4.59,4.076,4.198,5.076,5.118
4,8.45242,6.045583,6.045583,10.969859,10.969861,7.484008,5.524168,5.549438,11.88769,11.88769,183.97623,171.57658,171.57658,193.62207,193.62207,197.29572,182.53517,182.53525,201.62228,201.62236,6.931472,3.295837,3.295837,8.04719,11.266066,5.4133883,4.108312,4.486588,7.168363,7.1683683,5,3,3,5,7,3.784,3.282,3.324,4.162,4.196
5,8.45242,6.045583,6.045583,10.969861,10.969862,7.484008,5.5494366,5.5982547,11.88769,11.88769,183.97623,171.57658,171.57658,193.62207,193.62207,197.29572,182.27614,182.53525,201.62221,201.62221,6.931472,3.295837,3.295837,8.04719,8.04719,5.2079043,2.6523633,4.108312,7.110383,7.168363,5,3,3,5,5,2.834,2.4,2.436,3.318,3.344
6,8.45242,6.045583,6.045583,10.969861,10.969862,7.484008,5.38186,5.549438,11.88769,11.88769,183.97623,171.57658,171.57658,193.62207,193.62207,197.2957,182.27614,182.53525,201.62221,201.62221,6.931472,3.295837,3.295837,8.04719,8.04719,5.2079043,2.6523633,4.108312,7.110383,7.168363,5,3,3,5,5,2.078,1.766,1.77,2.416,2.542
7,8.45242,6.045583,6.045583,10.96986,10.969862,7.484009,5.38186,5.549438,11.88769,11.88769,183.97621,171.57658,171.57658,193.62206,193.62207,197.2957,182.27614,182.53525,201.0644,201.06442,6.931472,3.295837,5.4930615,8.04719,9.656628,4.7276278,1.9493,2.6523633,7.110383,7.168363,5,3,4,5,6,1.732,1.546,1.56,1.956,2.01
8,8.45242,6.045583,6.045583,10.96986,10.969862,7.484009,5.38186,5.54965,11.88769,11.88769,183.97621,171.57658,171.57658,193.62206,193.62207,196.6622,182.27614,182.53525,201.0644,201.06442,6.931472,3.295837,5.4930615,9.656628,11.266066,4.563377,1.9493,1.9493002,7.110383,7.168363,5,3,4,6,7,1.766,1.538,1.608,1.912,2.16
9,8.45242,6.045583,6.045583,10.969858,10.96986,7.484001,5.38186,5.54965,11.88769,11.88769,183.97621,171.57658,171.57658,193.62206,193.62206,196.6622,182.27614,182.27614,201.05464,201.0644,6.931472,5.4930615,5.4930615,9.656628,9.704061,4.083478,1.9492999,1.9493,7.007649,7.168183,5,4,4,6,7,1.904,1.712,1.73,2.114,2.114
10,8.45242,6.045583,6.045583,10.969858,10.96986,7.484001,5.38186,5.54965,11.88769,11.88769,183.97621,171.57658,171.57658,193.62206,193.62206,196.6622,182.27614,182.27614,201.05464,201.06438,6.931472,5.4930615,5.4930615,9.656628,9.704061,3.6737027,1.9492242,1.9492999,6.2763686,7.007649,5,4,4,6,7,1.984,1.744,1.824,2.224,2.246
