gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,153.37682,139.97491,141.4651,226.06337,233.4259,152.19814,146.10062,146.82118,226.60742,235.57764,3935.3875,3889.6702,3894.9648,4129.346,4145.371,3967.2373,3916.1177,3920.8237,4144.0205,4177.138,16.125835,6.931472,6.931472,34.04343,37.429947,8.751413,4.8267574,6.626873,11.885269,13.483446,9,5,5,18,19,5.99,5.526,5.592,6.122,6.17
2,153.37675,139.84888,141.04568,188.75153,192.43665,148.818,146.09776,146.10033,186.22113,191.61159,3935.3872,3889.2197,3893.4805,4039.1543,4048.822,3956.812,3916.341,3920.8237,4070.138,4075.3315,19.709354,5.5451775,6.931472,34.04343,37.352818,9.676764,4.8268366,7.293223,13.839343,19.277668,10,4,5,17,19,5.646,5.07,5.332,6.09,6.112
3,153.37674,139.84888,140.94016,154.78493,155.79471,146.92589,145.21877,146.10052,152.32573,154.23473,3935.3872,3889.2197,3893.1064,3939.9565,3943.208,3956.5366,3916.341,3918.3872,3982.0935,3994.1633,16.125835,5.5451775,6.931472,32.95837,37.352818,9.64866,4.8268366,7.3692384,13.483446,13.839343,9,4,5,16,17,5.82,5.102,5.434,6.19,6.214
4,153.3766,139.82529,140.94016,154.78493,155.79471,146.92586,144.84726,145.60457,152.32573,154.23471,3935.387,3889.1353,3893.1064,3939.9565,3943.208,3956.812,3916.341,3919.308,4014.846,4037.3782,17.917595,6.931472,6.931472,43.944492,50.65687,9.676764,7.293223,7.3692384,13.839343,34.55329,10,5,5,20,22,5.952,5.04,5.316,6.7,6.762
5,153.28728,139.4905,140.57034,154.78493,154.78496,146.92534,145.20836,145.39778,152.32573,154.23471,3935.0952,3887.9368,3891.7925,3939.9565,3939.9568,3959.9756,3915.2341,3920.8237,4011.0684,4037.4302,21.405012,6.931472,9.656628,43.944492,50.3558,10.01157,6.71427,7.364919,32.011494,34.55329,11,5,6,20,21,6.268,4.954,5.372,7.298,7.394
6,153.21873,138.76765,139.97481,154.78493,154.78493,146.80489,144.68558,145.58792,152.13776,152.19771,3934.8716,3885.339,3889.67,3939.9565,3939.9565,3960.154,3916.3455,3923.8948,4011.0684,4011.289,23.350922,9.656628,15.567281,50.3558,54.930614,10.077096,7.297777,8.560838,32.816322,34.55329,12,6,8,21,25,6.708,5.278,5.678,8.208,8.334
7,152.14182,138.57166,139.4905,154.78474,154.78493,146.63797,142.46175,144.97375,152.19814,152.23804,3931.345,3884.6323,3887.9368,3939.956,3939.9565,3965.2249,3924.401,3925.7478,4011.0684,4011.289,28.56392,9.656628,16.125835,46.141716,50.3558,11.0596,5.330983,7.347062,32.816322,34.55329,14,6,9,21,21,6.952,5.632,5.988,9.156,9.212
8,151.30533,136.4543,138.58107,154.64459,154.78474,146.62732,142.46175,143.0659,152.22578,152.28256,3928.5886,3876.9336,3884.6663,3939.5032,3939.956,3965.3325,3914.9973,3924.401,4011.0684,4011.289,31.191624,9.656628,17.513191,57.12784,59.94738,11.617912,7.294735,8.902755,26.512424,32.816322,15,6,9,25,26,7.91,6.414,6.624,10.016,10.546
9,150.21207,136.45422,138.57166,153.83208,154.56146,146.09438,142.46175,143.0659,151.641,152.19812,3924.9624,3876.933,3884.6323,3936.8694,3939.2344,3969.918,3914.9973,3921.2437,4000.0461,4012.4355,33.08047,16.125835,19.4591,59.32506,59.63776,11.696781,7.294735,8.5423565,32.816322,34.55329,16,9,10,24,27,8.75,6.776,7.354,11.25,11.752
10,149.37361,136.45422,137.93542,153.15396,153.83014,146.0115,142.46175,143.0659,152.19812,153.76915,3922.1638,3876.933,3882.331,3934.6602,3936.8633,3970.412,3911.933,3921.2437,3996.9023,4012.4355,35.155594,12.542316,19.709354,59.32506,59.63776,12.458985,7.294735,9.406107,21.984894,34.55329,17,7,11,24,27,9.532,7.534,7.708,12.558,13.066
