len,dl_min,nll_min,func_compl_min,param_compl_min
1,2594.4998,2584.1108,0,10.389013
2,763.90094,752.2921,1.3862944,10.222511
3,-227.18509,-244.02954,2.0794415,7.412611
4,-808.63525,-822.7517,4.394449,7.417984
5,-939.03534,-955.6343,3.465736,9.464582
6,-976.2523,-998.9404,6.591674,8.430622
7,-986.15814,-1011.9939,4.8520303,3.7780046
8,-980.7245,-1012.60815,8.788898,8.613974
9,-986.002,-1013.26636,6.2383246,7.169264
10,-984.9035,-1015.5842,10.986123,7.1401567
11,-983.3342,-1015.71533,7.624619,3.7377238
12,-989.6001,-1036.9109,13.183348,3.7045062
13,-979.86725,-1025.637,14.28196,3.7165117
14,-993.9562,-1041.6431,15.380572,3.7345428
15,-993.2281,-1039.2817,16.479185,3.7366965
16,-1001.3038,-1046.4263,17.577797,3.4517531
17,-998.524,-1049.8787,18.676409,3.7359242
18,-1001.41956,-1048.8313,24.953299,3.7359095
19,-996.3701,-1051.3687,20.873634,3.7359118
20,-998.3689,-1051.8613,27.725887,3.7369528
21,-995.7887,-1055.5671,23.070858,3.7347608
22,-998.1325,-1060.189,30.498476,3.6593218
23,-1001.93634,-1061.2795,25.268084,3.452062
24,-990.78564,-1061.0698,33.271065,3.4508567
25,-999.84894,-1060.404,34.65736,3.4521942
26,-988.309,-1061.293,36.04365,3.1750844
27,-996.18243,-1062.8213,37.429947,3.7366214
28,-990.2688,-1062.8193,38.816242,2.7554212
29,-986.51514,-1064.4204,31.859756,3.7357545
30,-981.61926,-1064.4934,41.58883,2.7503426
31,-980.3608,-1064.4263,42.975124,2.759784
32,-986.0308,-1064.4932,44.36142,2.754315
33,-989.21454,-1064.4941,45.747715,3.737508
34,-980.98346,-1064.4258,47.134007,2.7599478
35,-978.2184,-1064.4934,48.5203,2.7608
36,-974.2585,-1064.8313,49.906597,2.7565079
37,-975.5363,-1065.2822,51.292892,3.7359211
38,-971.8348,-1067.1858,52.679184,3.737101
39,-968.48834,-1067.1812,54.06548,3.7370753
40,-968.106,-1066.008,55.451775,2.760038
