gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,-965.1267,-999.3584,-998.9365,-856.3518,-792.01294,-922.12146,-966.19305,-956.91705,-819.12994,-745.58356,17.917595,6.931472,9.656628,32.95837,41.58883,17.958055,12.790951,13.298076,22.857008,23.951803,10,5,6,16,20,11.328125,10.597015,10.757576,11.8970585,11.972973
2,-996.54517,-999.3501,-999.2434,-960.76,-916.05884,-949.4553,-975.0025,-970.3532,-919.16174,-887.7848,21.405012,9.656628,9.656628,33.271065,41.58883,17.466555,11.856945,13.032525,23.411182,24.568521,11,6,6,17,19,13.557693,12.576087,12.865979,14.363636,14.836206
3,-998.9363,-1000.79614,-999.3491,-988.6443,-979.719,-960.3819,-976.16766,-972.90625,-942.50287,-932.6053,19.709354,9.656628,11.266066,30.459911,35.026382,15.9887295,10.928175,12.314731,22.085938,24.60868,11,6,7,16,18,15.963768,14.706349,14.887931,16.785715,17.143835
4,-998.9363,-1001.52686,-1000.4131,-990.7898,-985.47754,-963.65967,-976.24713,-975.0023,-951.4924,-949.8062,17.703817,9.656628,9.704061,25.296831,31.134562,15.988729,12.082251,12.507208,20.366764,21.675045,10,6,7,14,16,18.073864,16.915663,17.02564,19.071428,19.41954
5,-998.9365,-1000.7964,-1000.36255,-994.4448,-990.7898,-966.8028,-976.24713,-976.16766,-954.9123,-951.4924,16.125835,9.656628,9.656628,25.084633,27.03274,15.152965,11.920099,12.317991,18.817753,19.553246,9,6,6,13,14,19.772728,18.655737,18.960894,20.72889,21.099548
6,-998.9365,-1000.6494,-999.81177,-996.8115,-991.39795,-968.5341,-976.24713,-976.2469,-956.52374,-953.0081,14.4849415,9.656628,9.656628,23.292873,25.084633,14.749135,9.604201,12.161583,18.849,20.0634,9,6,6,12,13,21.113043,20.078432,20.474178,22.095833,22.20229
7,-998.9365,-1000.6609,-1000.3623,-998.49414,-994.4446,-969.8745,-976.24713,-976.24713,-959.2376,-955.61426,14.334076,9.656628,9.656628,22.873857,24.953299,13.888589,9.602243,11.929091,18.676046,19.443024,8,6,6,12,13,22.012196,21.265217,21.391836,22.851852,22.984615
8,-998.9365,-1000.6494,-1000.3623,-998.49414,-994.4446,-970.4277,-976.24713,-976.24713,-959.2376,-955.61426,14.334076,9.656628,9.656628,21.501114,23.350922,13.4383135,9.602243,12.161583,18.037144,19.443024,8,6,6,11,13,22.711267,22.012245,22.189724,23.257042,23.433567
9,-998.9365,-1000.74023,-1000.36255,-998.55273,-997.4436,-971.42474,-976.24713,-976.24713,-961.6586,-958.5458,14.334076,9.656628,9.656628,21.405012,23.350922,13.4383135,9.602243,12.230858,18.32,19.443024,8,6,6,11,12,23.117216,22.545454,22.639286,23.587814,23.79208
10,-998.9365,-1000.6499,-1000.3623,-998.5525,-997.4441,-971.7884,-976.24713,-976.24713,-962.43665,-960.38086,12.875504,9.656628,9.656628,20.922693,23.350922,13.111994,9.600247,11.289998,18.03714,18.825691,8,6,6,11,12,23.417242,22.875458,23.007326,23.879725,23.980583
