gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,9.189045e6,6.6929195e6,7.0723325e6,1.0791514e7,1.0825735e7,8.385049e6,7.0060395e6,7.0841535e6,1.3008871e7,1.3131169e7,2988.5273,2940.8784,2949.618,3007.5793,3011.0552,3010.419,2967.2136,2979.0186,3037.2283,3039.3623,15.567281,8.04719,9.656628,35.155594,39.509388,8.530203,3.1502142,3.7060738,18.931767,19.217064,9,5,6,16,19,5.944,5.748,5.792,6.332,6.388
2,9.032766e6,6.691144e6,6.6931675e6,1.048418e7,1.0496074e7,8.2485695e6,6.664708e6,6.7998855e6,1.2312868e7,1.276685e7,2978.9717,2940.8364,2940.8843,3005.7185,3011.055,3003.8677,2961.7395,2974.2266,3041.0889,3044.241,17.513191,9.656628,9.656628,35.155594,39.509388,10.287851,3.6870108,4.3775907,20.220396,32.44235,9,6,6,16,19,5.704,5.384,5.47,6.158,6.158
3,9.023874e6,6.691144e6,6.6931675e6,9.519224e6,9.728104e6,7.527043e6,6.6594775e6,6.7949815e6,1.2260049e7,1.2312868e7,2978.971,2940.8364,2940.8843,2994.3115,2996.7122,3004.238,2961.7395,2978.088,3039.363,3039.7532,18.714973,9.656628,9.656628,39.509388,43.749115,11.447565,3.6870108,5.200392,23.226444,31.10773,10,6,6,19,19,5.854,5.352,5.402,6.384,6.422
4,8.975119e6,6.4794905e6,6.691048e6,9.519224e6,9.569811e6,7.5246845e6,6.6558215e6,6.7035595e6,1.1561525e7,1.2260049e7,2978.938,2935.7417,2940.8342,2994.3115,2996.7122,3003.9968,2961.7395,2968.2502,3039.4546,3039.7532,18.714973,8.04719,9.656628,39.509388,48.354286,12.2296295,3.6870108,5.200392,20.220396,21.915867,10,5,6,19,21,6.126,5.036,5.26,6.67,6.694
5,8.720257e6,6.4794905e6,6.5411265e6,9.376135e6,9.519224e6,7.4928625e6,6.6558215e6,6.7035595e6,1.1556465e7,1.2260049e7,2977.9592,2935.7417,2937.2422,2991.55,2994.3115,3005.9739,2957.0242,2967.2136,3043.7456,3047.2917,19.4591,8.04719,9.656628,48.354286,54.930614,12.952189,4.5762935,5.5401444,31.10773,37.670303,10,5,6,21,25,6.344,4.98,5.1,7.046,7.29
6,8.720257e6,6.4794905e6,6.5411265e6,9.214189e6,9.344668e6,7.4764655e6,6.6558215e6,6.7035595e6,1.1556465e7,1.1584015e7,2977.9214,2935.7417,2937.2422,2991.5479,2991.55,3005.9739,2957.0242,2967.2136,3047.2917,3048.305,19.4591,8.04719,10.750557,48.354286,54.930614,12.855959,3.8473477,5.167344,31.10773,39.48445,10,5,6,21,25,6.662,5.416,5.656,7.838,7.868
7,8.470545e6,6.4794905e6,6.5411265e6,9.207036e6,9.313085e6,7.4764655e6,6.089965e6,6.6035255e6,1.1556465e7,1.1584015e7,2975.4292,2935.7417,2937.2422,2991.2295,2991.427,3011.188,2957.0242,2964.398,3047.2917,3052.5762,23.350922,9.656628,12.542316,54.930614,62.345276,12.855959,4.0850587,5.167344,28.076542,41.415,12,6,7,25,26,7.404,5.718,6.252,8.634,8.916
8,8.32311e6,2.0051155e6,6.4794905e6,9.189045e6,9.313085e6,7.0834585e6,2.0083564e6,6.089965e6,1.115761e7,1.1270476e7,2966.854,2741.1562,2935.7417,2991.0571,2991.1167,3018.5115,2828.7058,2961.7395,3058.9004,3076.3125,31.191624,9.656628,12.542316,74.334755,81.52844,16.985085,3.7270308,5.200392,43.324974,53.414665,15,6,7,31,34,8.138,6.286,6.932,9.748,9.826
9,8.132386e6,1.9640608e6,3.764761e6,9.185587e6,9.189045e6,7.0189195e6,2.0888544e6,2.9285205e6,1.115761e7,1.1182479e7,2962.3804,2737.8875,2840.6934,2991.0571,2991.1167,3009.1907,2814.0354,2957.0242,3069.6958,3076.3125,32.23619,10.750557,14.4849415,74.334755,81.52844,18.229595,3.7270308,5.200392,48.98515,64.65848,15,6,8,31,34,9.216,6.528,7.312,11.55,11.642
10,6.642641e6,951609.1,1.9429859e6,8.497687e6,8.930335e6,6.8674865e6,1.4022872e6,2.0768258e6,1.1002467e7,1.1023925e7,2939.683,2623.3982,2736.1829,2978.7195,2986.5906,3000.3792,2680.89,2818.1357,3073.4236,3074.3623,36.972294,17.513191,21.405012,62.345276,76.73265,20.625523,2.6767473,6.0883408,48.50485,68.397835,19,9,11,28,32,10.292,8.01,8.08,12.652,12.722
