id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,2934.4206716308586,"t[0]","$$\theta_{0}$$",2934.4206716308586,1,524070.6880051997,524070.6880051997,534483.3200359168,524070.6880051997,4.440892098500626e-16,4.440892098500626e-16,-8.561867371525977e-6,524070.6880051997,524070.6880051997,534483.3200359168
1,0,(x2 + 2805.561680480958),"(x[:, 2] + t[0])","$$\left(x_{2} + \theta_{0}\right)$$",2805.561680480958,3,514172.2580110262,514172.2580110262,527600.1715199525,514172.2580110262,1.888758562676096e-2,1.888758562676096e-2,1.2869683702773638e-2,514175.5538478922,514175.5538478922,527603.4673568185
2,0,(Log(x2) * 607.6736159416915),"(np.log(x[:, 2]) * t[0])","$$\left(\operatorname{log}(x_{2}) \cdot \theta_{0}\right)$$",607.6736159416915,4,490678.5944258345,490678.5944258345,513812.5238335798,490678.5944258345,6.371677398418851e-2,6.371677398418851e-2,3.866612152885396e-2,490684.13960327895,490684.13960327895,513818.06901102426
3,0,(3303.5627310810887 - (1126.8166955664708 ^ x0)),"(t[0] - t[1] ** x[:, 0])","$$\left(\theta_{0} - \theta_{1}^{x_{0}}\right)$$",3303.5627310810887;1126.8166955664708,5,245138.78707215912,245138.78707215912,245354.60507440503,245138.78707215912,0.5322409883192575,0.5322409883192575,0.5409460004261594,245145.71854396473,245145.71854396473,245361.53654621064
4,0,(((x7 + x7) + x3) - ((1125.3324245812055 * x0) + -3299.442374468891)),"(((x[:, 7] + x[:, 7]) + x[:, 3]) - ((t[0] * x[:, 0]) + t[1]))","$$\left(\left(\left(x_{7} + x_{7}\right) + x_{3}\right) - \left(\left(\theta_{0} \cdot x_{0}\right) + \theta_{1}\right)\right)$$",1125.3324245812055;-3299.442374468891,11,244921.41542691278,244921.41542691278,245139.6793544359,244921.41542691278,0.5326557637497891,0.5326557637497891,0.5413481225356391,244942.8204385524,244942.8204385524,245161.08436607552
5,0,(((x2 + 3167.5273602706134) + Sqrt(x0)) - (x0 * (Sin((-637.5728664357329 - x5)) + 1110.6030508709227))),"(((x[:, 2] + t[0]) + np.sqrt(x[:, 0])) - (x[:, 0] * (np.sin((t[1] - x[:, 5])) + t[2])))","$$\left(\left(\left(x_{2} + \theta_{0}\right) + \operatorname{sqrt}(x_{0})\right) - \left(x_{0} \cdot \left(\operatorname{sin}(\left(\theta_{1} - x_{5}\right)) + \theta_{2}\right)\right)\right)$$",3167.5273602706134;-637.5728664357329;1110.6030508709227,15,241210.92815053096,241210.92815053096,243104.4552239341,241210.92815053096,0.5397358912236327,0.5397358912236327,0.5451559898338818,241243.886519191,241243.886519191,243137.41359259415
6,0,(((x2 + 3170.410377047097) + Sqrt(x0)) - ((x0 * (Sin((-367.2376651073245 - x5)) + 1112.5146852652338)) - (x6 * Sqrt(x8)))),"(((x[:, 2] + t[0]) + np.sqrt(x[:, 0])) - ((x[:, 0] * (np.sin((t[1] - x[:, 5])) + t[2])) - (x[:, 6] * np.sqrt(x[:, 8]))))","$$\left(\left(\left(x_{2} + \theta_{0}\right) + \operatorname{sqrt}(x_{0})\right) - \left(\left(x_{0} \cdot \left(\operatorname{sin}(\left(\theta_{1} - x_{5}\right)) + \theta_{2}\right)\right) - \left(x_{6} \cdot \operatorname{sqrt}(x_{8})\right)\right)\right)$$",3170.410377047097;-367.2376651073245;1112.5146852652338,20,241210.53197561667,241210.53197561667,243142.8417767387,241210.53197561667,0.5397366471806504,0.5397366471806504,0.5450841692923865,241258.48988107263,241258.48988107263,243190.79968219466
