gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,17596.443,8906.943,11039.786,50608.895,110811.06,29834.496,8446.515,11524.307,51447.93,70204.76,3178.558837890625,3006.980712890625,3061.07861328125,3444.779541015625,3642.271728515625,3218.170166015625,3041.318603515625,3089.602294921875,3473.45068359375,3665.4580078125,19.4591,5.4930615,6.931472,35.350506,43.668274,12.955128,7.30616,7.656719,20.248913,29.063961,10,4,5,17,20,9.026316,8.282051,8.368421,9.7,9.860465
2,12466.349,5051.6714,6180.1777,19930.125,33897.57,18207.312,8286.65,9478.908,42333.676,45736.184,3091.70361328125,2864.068359375,2914.87890625,3209.94189453125,3343.781982421875,3144.093017578125,2939.51806640625,2968.571044921875,3260.328125,3691.724853515625,22.873857,6.931472,9.656628,46.141716,55.262043,13.704045,9.188926,10.445435,24.048841,38.67212,11,5,6,20,24,10.492308,9.388889,9.631579,11.797101,12.111111
3,10278.698,4576.5234,4972.257,15914.409,17356.867,18977.104,7564.873,9454.74,38497.82,45736.184,3043.078125,2839.176025390625,2860.07568359375,3153.239990234375,3175.1044921875,3097.8310546875,2896.78369140625,2930.866943359375,3199.625244140625,3230.238525390625,32.95837,6.931472,14.334076,62.345276,71.25455,14.750389,9.223557,10.768213,28.849888,34.024857,15,5,8,24,29,12.282051,10.880597,11.207792,13.47561,14.292135
4,8743.113,3936.9312,4132.74,14175.175,15455.728,19190.87,5979.2437,8136.9253,41386.305,58327.047,3002.302490234375,2801.240478515625,2813.472412109375,3124.075439453125,3145.8701171875,3071.353271484375,2841.007080078125,2878.465087890625,3172.46923828125,3204.668701171875,35.350506,12.542316,16.125835,66.68868,73.682724,16.44181,9.767726,10.682044,37.44208,54.21408,16,7,9,27,31,13.882978,12.012658,12.380953,15.609091,15.888889
5,7229.948,3129.6055,3929.6035,12570.773,13943.177,16021.272,5979.2437,7073.438,35861.703,51253.36,2954.41357421875,2743.40771484375,2800.77099609375,3093.805908203125,3119.916748046875,3051.676025390625,2824.271484375,2856.94091796875,3152.614990234375,3168.80810546875,40.76422,14.4849415,17.917595,69.53896,81.52844,17.885406,10.254686,11.598541,38.816376,65.878426,18,8,10,27,33,15.439252,13.208333,13.74,17.433071,17.936
6,5494.4424,2721.5862,3300.9163,11765.066,12627.8125,16777.666,4210.04,5571.152,43960.66,69721.5,2885.2412109375,2708.20556640625,2756.837890625,3077.11328125,3094.946533203125,2963.126220703125,2806.925537109375,2851.62451171875,3158.469482421875,3251.667236328125,45.56001,16.125835,22.873857,94.78175,107.727875,21.236992,11.989591,13.53824,57.093975,146.88545,20,9,11,36,42,16.911764,14.217822,14.933333,19.121622,20.091503
7,4639.411,2528.1057,2828.8596,9559.174,11807.418,17237.732,3268.8845,5114.813,36839.527,61127.49,2842.615478515625,2689.621826171875,2717.947509765625,3024.789794921875,3078.018798828125,2940.344970703125,2778.386962890625,2846.5634765625,3170.47509765625,3.4028234663852886e38,54.667946,17.917595,24.16947,107.727875,124.57031,24.065426,11.998876,14.048692,98.27417,3.4028235e38,24,10,12,42,46,18.3007,15.79646,16.230215,20.810976,22.04321
8,4206.9653,2246.7634,2553.5369,8419.151,9380.621,15546.145,4090.1365,5571.152,32434.908,62637.324,2817.958251953125,2659.89111328125,2692.14404296875,2992.78759765625,3020.038330078125,2916.708740234375,2756.32958984375,2778.386962890625,3167.6279296875,3.4028234663852886e38,59.94738,19.709354,26.366695,107.90529,123.11757,24.379068,11.998876,13.686984,103.88748,3.4028235e38,25,11,12,42,46,19.962265,16.875,17.955414,22.895288,23.770493
9,4009.4094,2015.8224,2241.551,7222.493,9309.082,11804.233,3331.2048,5256.4297,34219.805,65124.547,2805.837646484375,2632.558349609375,2659.3056640625,2954.15380859375,3018.10888671875,2905.114013671875,2723.506103515625,2753.798583984375,3093.8935546875,3.4028234663852886e38,62.122665,21.405012,30.761145,107.90529,121.993904,25.510208,11.748479,12.843241,72.56825,3.4028235e38,26,11,14,42,46,21.505434,18.035715,19.356726,24.69658,25.381395
10,3954.8408,1898.705,2165.1406,6602.096,8719.272,11012.2295,3153.472,5074.1685,33638.89,51870.633,2802.38427734375,2617.474853515625,2650.565673828125,2931.52099609375,3001.6142578125,2902.1904296875,2698.384521484375,2740.205810546875,3086.732177734375,3167.6279296875,67.14107,24.953299,30.761145,116.79061,127.27836,28.32612,11.266529,12.843241,69.982796,106.86093,28,12,15,44,48,23.015707,19.20349,20.735449,26.018604,26.928572
