NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,nll_train,avg_len,avg_fitness,size,expression
1,24235,-1130.4104,-1098.1189,-1130.4104,20.922693,11.368732,6.6666665,Inf,13),"(X1 * (((X1 * (-0.83788705 * -0.72369325)) / (abs(X1) ^ 1.3407466)) / 0.33736682)) RARLikelihood{Float32}"
2,50094,-1199.0525,-1162.9978,-1199.0525,23.350922,12.703681,6.28,Inf,12),"(-0.9874946 * (-0.048049796 - (abs((exp(0.78795695) * X1)) ^ log(abs(exp(0.7168636)))))) RARLikelihood{Float32}"
3,72775,-1245.8507,-1209.6667,-1245.8507,26.366695,9.817257,6.4366665,Inf,12),"(-0.92290384 * (0.025085192 - (abs((X1 + sqrt(abs(X1)))) ^ log(abs(exp(0.9216505)))))) RARLikelihood{Float32}"
4,99244,-1245.8507,-1209.6667,-1245.8507,26.366695,9.817257,6.886667,Inf,12),"(-0.92290384 * (0.025085192 - (abs((X1 + sqrt(abs(X1)))) ^ log(abs(exp(0.9216505)))))) RARLikelihood{Float32}"
5,134077,-1247.5267,-1204.222,-1247.5267,35.155594,8.149075,8.11,Inf,16),"((-0.7531957 * (0.10336203 - (abs((X1 + sqrt(abs(X1)))) ^ log(abs(exp(0.69040775)))))) + (X1 * 0.57158965)) RARLikelihood{Float32}"
6,172810,-1408.4147,-1379.1554,-1408.4147,23.292873,5.966486,9.163333,Inf,13),"(((sqrt(abs((58.05541 * X1))) + (1/(X1) * X1)) * 0.07887576) + X1) RARLikelihood{Float32}"
7,214004,-1408.4147,-1379.1554,-1408.4147,23.292873,5.966486,10.446667,Inf,13),"(((sqrt(abs((58.05541 * X1))) + (1/(X1) * X1)) * 0.07887576) + X1) RARLikelihood{Float32}"
8,262468,-1437.5219,-1402.3815,-1437.5219,26.876392,8.2639885,11.903334,Inf,15),"(((sqrt(abs((5.460382 * X1))) + (1/((0.026455099 + X1)) * X1)) * 0.18718311) + X1) RARLikelihood{Float32}"
9,314444,-1437.5219,-1402.3815,-1437.5219,26.876392,8.2639885,12.843333,Inf,15),"(((sqrt(abs((5.460382 * X1))) + (1/((0.026455099 + X1)) * X1)) * 0.18718311) + X1) RARLikelihood{Float32}"
10,369519,-1444.8778,-1357.6528,-1444.8778,62.345276,24.879665,14.54,Inf,26),"((((-1.7611678 * (0.47750098 - (abs(((2.5685873 * X1) + -0.03009453)) ^ log(abs(exp(0.79693407)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 3.4958792) RARLikelihood{Float32}"
11,423894,-1514.2052,-1436.7849,-1514.2052,62.345276,15.074966,15.25,Inf,26),"((((-2.3475966 * (0.2200992 - (abs(((-4.4740386 * X1) + 0.110293455)) ^ log(abs(exp(0.77216035)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 5.7154284) RARLikelihood{Float32}"
12,491741,-1514.2052,-1436.7849,-1514.2052,62.345276,15.074966,17.216667,Inf,26),"((((-2.3475966 * (0.2200992 - (abs(((-4.4740386 * X1) + 0.110293455)) ^ log(abs(exp(0.77216035)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 5.7154284) RARLikelihood{Float32}"
13,549213,-1514.2052,-1436.7849,-1514.2052,62.345276,15.074966,19.576666,Inf,26),"((((-2.3475966 * (0.2200992 - (abs(((-4.4740386 * X1) + 0.110293455)) ^ log(abs(exp(0.77216035)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 5.7154284) RARLikelihood{Float32}"
14,621993,-1514.2052,-1436.7849,-1514.2052,62.345276,15.074966,21.563334,Inf,26),"((((-2.3475966 * (0.2200992 - (abs(((-4.4740386 * X1) + 0.110293455)) ^ log(abs(exp(0.77216035)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 5.7154284) RARLikelihood{Float32}"
15,685038,-1514.2052,-1436.7849,-1514.2052,62.345276,15.074966,21.23,Inf,26),"((((-2.3475966 * (0.2200992 - (abs(((-4.4740386 * X1) + 0.110293455)) ^ log(abs(exp(0.77216035)))))) + (sqrt(abs(sqrt(abs(X1)))) + (1/(X1) * X1))) + X1) / 5.7154284) RARLikelihood{Float32}"
16,759215,-1520.4801,-1411.0162,-1520.4801,93.517914,15.945929,21.34,Inf,39),"(((log(abs(exp(-0.015822563))) + (1/(sqrt(abs(((((X1 + (((-20.516836 * sqrt(abs(X1))) - -398.85684) / -130.49239)) - (sqrt(abs(X1)) * -9.369243)) / 189.72505) + X1)))) * X1)) * (abs((-79.45872 / 336.63495)) ^ log(abs(sqrt(abs(1.4088521)))))) + (abs(X1) ^ 0.85266435)) RARLikelihood{Float32}"
17,830441,-1553.73,-1476.7806,-1553.73,62.345276,14.604104,21.85,Inf,26),"((((-3.2806947 * (0.2571593 - (abs(((-4.8731937 * X1) + 0.050577797)) ^ log(abs(exp(0.7362807)))))) + (sqrt(abs(sqrt(abs(0.1561363)))) + (1/(X1) * X1))) + X1) / 7.0648866) RARLikelihood{Float32}"
18,910114,-1553.73,-1476.7806,-1553.73,62.345276,14.604104,23.323334,Inf,26),"((((-3.2806947 * (0.2571593 - (abs(((-4.8731937 * X1) + 0.050577797)) ^ log(abs(exp(0.7362807)))))) + (sqrt(abs(sqrt(abs(0.1561363)))) + (1/(X1) * X1))) + X1) / 7.0648866) RARLikelihood{Float32}"
19,986151,-1553.73,-1476.7806,-1553.73,62.345276,14.604104,23.54,Inf,26),"((((-3.2806947 * (0.2571593 - (abs(((-4.8731937 * X1) + 0.050577797)) ^ log(abs(exp(0.7362807)))))) + (sqrt(abs(sqrt(abs(0.1561363)))) + (1/(X1) * X1))) + X1) / 7.0648866) RARLikelihood{Float32}"
20,1061693,-1553.73,-1476.7806,-1553.73,62.345276,14.604104,22.713333,Inf,26),"((((-3.2806947 * (0.2571593 - (abs(((-4.8731937 * X1) + 0.050577797)) ^ log(abs(exp(0.7362807)))))) + (sqrt(abs(sqrt(abs(0.1561363)))) + (1/(X1) * X1))) + X1) / 7.0648866) RARLikelihood{Float32}"
