gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,-1211.8079,-1251.0029,-1248.3893,-1130.4102,-1030.055,-1177.6061,-1219.171,-1212.8702,-1090.9032,-982.15106,23.292873,9.704061,11.266066,40.864113,43.944492,10.277447,5.447816,6.3420525,17.124561,23.717653,15),10),11),8),8),6.55,6.14,6.18,6.9,6.99
2,-1240.1733,-1251.9547,-1251.4288,-1177.1417,-1130.4104,-1198.8115,-1221.3434,-1220.078,-1116.3147,-1098.6012,23.350922,11.266066,14.334076,43.944492,57.56463,10.614082,4.500414,5.9950943,18.450941,22.142378,15),10),11),8),9),6.3233333,5.66,5.786667,6.98,7.346667
3,-1245.4767,-1252.4128,-1251.9547,-1216.8448,-1184.4631,-1201.9467,-1221.8198,-1220.078,-1161.687,-1106.2084,27.03274,14.334076,16.125835,52.959457,63.719513,10.822081,5.739209,6.821681,18.34536,21.317749,16),10),11),8),9),6.9066668,5.943333,6.07,7.68,7.8233333
4,-1248.8951,-1253.477,-1252.5199,-1238.9006,-1232.1556,-1206.5077,-1225.5592,-1222.4662,-1171.7816,-1151.9937,27.242743,14.4849415,17.513191,59.867214,66.77497,11.654907,5.471031,6.3605614,18.52459,24.57874,16),10),11),6),9),7.81,6.3966665,6.6766667,9.016666,9.263333
5,-1250.0333,-1266.7123,-1253.001,-1242.1375,-1239.4441,-1206.0654,-1223.2266,-1221.7114,-1171.7816,-1157.2786,31.134562,16.125835,17.917595,59.867214,68.11396,12.3621235,5.739209,7.4417963,20.20491,26.787125,16),10),11),31),8),9.013333,7.233333,7.48,10.493333,10.75
6,-1251.6189,-1278.5472,-1270.7122,-1243.5281,-1241.9841,-1204.0802,-1237.8066,-1225.4888,-1169.0775,-1102.891,33.271065,16.125835,19.4591,61.52229,68.11396,12.428581,6.7733674,7.5605717,21.584728,89.67595,17),10),12),31),8),10.193334,8.1866665,8.583333,11.82,12.336667
7,-1252.3895,-1279.8916,-1278.2223,-1248.6675,-1247.2096,-1200.7566,-1242.1215,-1232.3921,-1165.3126,3.4028235e38,38.9182,19.4591,21.405012,68.11396,71.380135,13.904524,6.968452,9.445741,28.61745,3.4028235e38,20),10),12),31),35),11.496667,9.3,9.656667,13.383333,14.423333
8,-1253.183,-1407.4019,-1280.1769,-1250.1743,-1248.9618,-1197.7772,-1302.4012,-1232.77,-1102.891,3.4028235e38,40.864113,19.4591,21.501114,70.70101,76.90286,16.376568,8.2639885,10.151316,89.67595,3.4028235e38,21),11),13),34),38),12.66,10.453333,10.68,15.026667,15.976666
9,-1256.7961,-1437.5219,-1301.1006,-1251.4948,-1250.6501,-1194.1093,-1402.3815,-1232.77,3.4028235e38,3.4028235e38,46.0517,21.501114,26.876392,70.70101,76.93934,18.141024,8.2639885,10.368346,3.4028235e38,3.4028235e38,23),13),14),34),37),14.196667,11.763333,12.28,17.1,17.9
10,-1264.369,-1475.2678,-1344.5867,-1252.083,-1251.3635,-1195.6472,-1403.2628,-1243.8563,3.4028235e38,3.4028235e38,50.536167,23.292873,27.242743,76.93934,85.19565,18.652431,8.46262,10.950011,3.4028235e38,3.4028235e38,24),13),14),36),38),15.503333,12.246667,13.263333,18.076666,19.006666
11,-1271.2913,-1495.0165,-1344.5903,-1252.4037,-1251.7069,-1194.1093,-1425.5264,-1243.8563,3.4028235e38,3.4028235e38,54.06548,25.296831,29.188652,81.09822,85.69176,18.955711,9.481466,12.023374,3.4028235e38,3.4028235e38,26),13),15),38),38),17.006666,13.973333,14.626667,19.483334,20.423334
12,-1275.6,-1512.0781,-1359.4891,-1252.6814,-1252.366,-1198.3464,-1430.0077,-1259.1826,3.4028235e38,3.4028235e38,54.930614,27.242743,30.761145,81.09822,87.49823,19.063807,9.561126,11.117961,3.4028235e38,3.4028235e38,26),15),16),38),39),18.0,15.363334,15.716666,20.436666,21.3
13,-1278.4049,-1514.2052,-1453.9001,-1256.7961,-1252.5208,-1199.8722,-1442.2356,-1385.1127,3.4028235e38,3.4028235e38,57.56463,30.459911,35.026382,81.09822,87.49823,19.678875,9.84701,12.023374,3.4028235e38,3.4028235e38,27),16),18),38),39),19.23,16.193333,16.906666,21.9,22.313334
14,-1279.2048,-1524.0791,-1496.2495,-1261.9819,-1252.747,-1204.5227,-1452.195,-1404.718,-914.92554,3.4028235e38,59.32506,31.134562,35.350506,81.29731,87.49823,19.174915,9.463595,10.25808,279.68442,3.4028235e38,28),16),18),38),39),20.353333,17.423334,18.03,22.393333,23.11
15,-1282.0264,-1524.0792,-1506.3641,-1266.2018,-1252.7493,-1204.9749,-1443.0225,-1425.1266,-928.8607,3.4028235e38,59.32506,31.134562,39.509388,81.29731,85.69176,19.534607,9.680119,10.9263935,267.2286,3.4028235e38,28),16),19),38),39),21.12,18.23,18.876667,22.766666,24.353333
16,-1286.2054,-1524.0792,-1512.1614,-1267.0894,-1255.8365,-1206.1527,-1445.0641,-1411.0162,3.4028235e38,3.4028235e38,59.32506,30.459911,35.350506,83.49454,89.80082,20.196272,9.776447,10.9263935,3.4028235e38,3.4028235e38,28),16),18),38),39),21.69,18.986666,20.063334,23.74,24.24
17,-1292.7197,-1549.3705,-1524.118,-1271.5363,-1259.9243,-1209.766,-1459.1085,-1433.1782,3.4028235e38,3.4028235e38,60.303806,30.459911,38.9182,83.49454,87.49823,22.87757,10.059828,11.918612,3.4028235e38,3.4028235e38,28),17),19),38),39),22.256666,19.773333,20.57,24.636667,25.01
18,-1304.648,-1552.7577,-1532.0029,-1271.8541,-1267.9064,-1203.6097,-1465.3882,-1438.2355,3.4028235e38,3.4028235e38,62.169796,38.9182,43.668274,85.69176,89.80082,22.791891,10.001664,11.805047,3.4028235e38,3.4028235e38,29),19),21),38),39),22.803333,20.356667,21.066668,24.903334,25.793333
19,-1318.4635,-1554.463,-1549.375,-1272.0056,-1268.6691,-1209.766,-1464.4333,-1456.6234,3.4028235e38,3.4028235e38,63.719513,41.74727,45.747715,87.49823,89.80082,23.213554,10.258063,13.088586,3.4028235e38,3.4028235e38,30),20),21),39),39),23.34,20.726667,21.416666,25.333334,25.63
20,-1328.12,-1555.328,-1549.3751,-1274.9944,-1268.7899,-1213.0652,-1465.4934,-1456.3258,3.4028235e38,3.4028235e38,66.77497,39.509388,45.747715,86.32423,89.80082,23.515112,10.258063,13.088586,3.4028235e38,3.4028235e38,31),19),21),39),39),23.513334,21.43,21.88,25.173334,26.22
21,-1359.3103,-1565.6094,-1552.7577,-1275.7272,-1271.5363,-1225.9827,-1467.2847,-1456.3925,3.4028235e38,3.4028235e38,69.07755,38.9182,43.668274,87.888985,92.1034,23.213554,11.265682,12.691248,3.4028235e38,3.4028235e38,31),19),21),39),40),23.66,21.74,22.183332,25.816668,26.336666
22,-1369.3639,-1567.3074,-1565.5934,-1277.6986,-1272.6604,-1223.0604,-1478.3004,-1462.3707,3.4028235e38,3.4028235e38,72.50841,41.74727,43.944492,87.888985,92.1034,22.791891,11.607182,12.89273,3.4028235e38,3.4028235e38,32),19),22),40),40),23.866667,21.88,22.58,25.986666,26.52
23,-1375.8721,-1568.9323,-1566.5311,-1277.8887,-1274.9944,-1248.7257,-1479.062,-1465.4934,3.4028235e38,3.4028235e38,71.380135,37.429947,43.668274,87.888985,92.1034,21.640661,9.833603,13.088586,3.4028235e38,3.4028235e38,31),18),20),40),40),24.14,21.933332,22.393333,26.07,26.796667
