Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,0.006155836536499994,0.860594976899702,0.01040833528765429,0.8847461141104619,0.8606715433183093
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,0.0023223188790555717,0.9345082648273942,0.004304859049794232,0.9565199183736007,0.942374130822681
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,0.00143693646426391,0.9502588543738115,0.002989511318604237,0.9730966684542681,0.9599816890269063
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,0.0010678128335727874,0.955946952967018,0.0025320234741192803,0.9800076597644752,0.9661057303419788
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,0.0008099740501005663,0.9577030549627721,0.002302341430615843,0.9848350981722372,0.969180308914288
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,0.0006940337266866839,0.956997974667711,0.002277358714771526,0.9870058141627461,0.9695147335024769
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,0.000555260156487788,0.957498487659052,0.002250021785790693,0.9896040302020046,0.9698806721487687
maxfeatlog2_maxsampl0.1,X,log2,0.1,0.006946098880500034,0.8425905305634258,0.011893749617901272,0.8699502686590547,0.840787433088726
maxfeatlog2_maxsampl0.2,X,log2,0.2,0.0023028594840000197,0.9361880124284649,0.004168365881481475,0.9568842508057428,0.944201260902855
maxfeatlog2_maxsampl0.3,X,log2,0.3,0.0013543680740000098,0.9536657370473243,0.002883420963357297,0.9746425717239754,0.9614018398057634
maxfeatlog2_maxsampl0.4,X,log2,0.4,0.0010530734149583445,0.9566743325477444,0.0025074745814128445,0.980283621489741,0.966434347670255
maxfeatlog2_maxsampl0.5,X,log2,0.5,0.0008566753016677886,0.9564127441529103,0.002430824600768769,0.9839607246103155,0.9674604025784292
maxfeatlog2_maxsampl0.6,X,log2,0.6,0.0006700629365100074,0.9577610343432064,0.0022541756797522946,0.9874546120961096,0.9698250671342401
maxfeatlog2_maxsampl0.7,X,log2,0.7,0.0005531419248194567,0.9566689629588333,0.002223620383940906,0.9896436892198395,0.970234087605929
maxfeat0.1_maxsampl0.1,X,0.1,0.1,0.0057587721179999975,0.8665011542214842,0.009886990087654288,0.8921802324320335,0.8676503944128322
maxfeat0.1_maxsampl0.2,X,0.1,0.2,0.0024635676088333573,0.9314910705984827,0.004572035966941026,0.9538753606620167,0.9387976369359795
maxfeat0.1_maxsampl0.3,X,0.1,0.3,0.001438166466884462,0.9505355062225085,0.0030102855535280933,0.9730736394831718,0.9597036001672865
maxfeat0.1_maxsampl0.4,X,0.1,0.4,0.001061340798929464,0.9563669963078796,0.0025401376494313633,0.9801288337329248,0.9659971120574757
maxfeat0.1_maxsampl0.5,X,0.1,0.5,0.0008177231708938984,0.9577222310042767,0.0023199530766240713,0.9846900137018548,0.968944555223603
maxfeat0.1_maxsampl0.6,X,0.1,0.6,0.0006910582025583429,0.9577779379999797,0.0022758745303174573,0.9870615240108417,0.9695346011492908
maxfeat0.1_maxsampl0.7,X,0.1,0.7,0.000576056640140567,0.9565056189177447,0.0022592448894244352,0.9892146638600607,0.9697572094854715
maxfeat0.2_maxsampl0.1,X,0.2,0.1,0.006329881405500021,0.8546670080660774,0.01086061186913582,0.8814875240955304,0.8546172612117522
maxfeat0.2_maxsampl0.2,X,0.2,0.2,0.0024293502018750105,0.9322508708188422,0.004551639101080227,0.9545160029360001,0.9390706742433863
maxfeat0.2_maxsampl0.3,X,0.2,0.3,0.0014185061740694643,0.9514311634030663,0.002924208742283921,0.9734417332639633,0.9608558448764819
maxfeat0.2_maxsampl0.4,X,0.2,0.4,0.0010525429206250099,0.9570201497736025,0.0024978489005657947,0.9802935537764411,0.9665631993280721
maxfeat0.2_maxsampl0.5,X,0.2,0.5,0.0008559296997033515,0.9568426452717005,0.0023636295002921184,0.983974684292841,0.9683598922073892
maxfeat0.2_maxsampl0.6,X,0.2,0.6,0.0006932229410227859,0.9576210110417454,0.0023031625567022295,0.9870209942601762,0.9691693171248043
maxfeat0.2_maxsampl0.7,X,0.2,0.7,0.0005572901437705252,0.9570904518767809,0.0022209938484213424,0.989566023357402,0.9702692470363515
maxfeat0.3_maxsampl0.1,X,0.3,0.1,0.007745828535999966,0.8278464930566558,0.013117870489506089,0.854977169566681,0.8244010593681517
maxfeat0.3_maxsampl0.2,X,0.3,0.2,0.002267583581819463,0.937371571307388,0.004199840967558316,0.9575447109691115,0.9437799278994677
maxfeat0.3_maxsampl0.3,X,0.3,0.3,0.0013074108126666778,0.9552886979767142,0.0027098993301097056,0.9755217384801599,0.9637246417422027
maxfeat0.3_maxsampl0.4,X,0.3,0.4,0.0011229112323889038,0.9541920776956849,0.002629199262105564,0.9789760689267075,0.9648049120849982
maxfeat0.3_maxsampl0.5,X,0.3,0.5,0.0008195225366294489,0.9575657309944549,0.002304645610906646,0.9846563247154873,0.9691494646077815
maxfeat0.3_maxsampl0.6,X,0.3,0.6,0.0006801837296350081,0.9576052225968612,0.002259539964403886,0.9872651235141722,0.9697532595414741
maxfeat0.3_maxsampl0.7,X,0.3,0.7,0.0005573581344177897,0.9574119959432377,0.0022374679067968598,0.9895647503888534,0.9700487213648287
maxfeat0.4_maxsampl0.1,X,0.4,0.1,0.005684851153000033,0.8678535142287204,0.009715844687037086,0.8935642325454923,0.8699413875329759
maxfeat0.4_maxsampl0.2,X,0.4,0.2,0.002331472452388903,0.9348256943267385,0.004263828739437585,0.9563485387584686,0.942923372335485
maxfeat0.4_maxsampl0.3,X,0.4,0.3,0.0014233808332500164,0.9522373844813083,0.00302027432928667,0.9733504664784315,0.9595698880344508
maxfeat0.4_maxsampl0.4,X,0.4,0.4,0.0010151942053205697,0.9568223297856576,0.0024229945390986988,0.9809928225998245,0.9675652176500101
maxfeat0.4_maxsampl0.5,X,0.4,0.5,0.0008180577707844573,0.9567920776270933,0.0022942246807070537,0.9846837490882029,0.9692889616629561
maxfeat0.4_maxsampl0.6,X,0.4,0.6,0.0006818717022011242,0.9582289841348892,0.002250491078290703,0.9872335201087915,0.9698743900875215
maxfeat0.4_maxsampl0.7,X,0.4,0.7,0.0005682998648780671,0.956851658641642,0.002260898436757263,0.9893598916427795,0.9697350747067998
maxfeat0.5_maxsampl0.1,X,0.5,0.1,0.0053040085249999825,0.8773521140015469,0.009026333726543144,0.900694635136453,0.8791713455748428
maxfeat0.5_maxsampl0.2,X,0.5,0.2,0.002378314947680569,0.9349517482242384,0.004409707014163218,0.9554715207325487,0.9409706109842035
maxfeat0.5_maxsampl0.3,X,0.5,0.3,0.0014056720006527942,0.9519373834931426,0.0029063247011488014,0.9736820236533654,0.9610952449132528
maxfeat0.5_maxsampl0.4,X,0.5,0.4,0.0011125443008122334,0.9546913656539432,0.002648696119727649,0.9791701658852408,0.9645439225023653
maxfeat0.5_maxsampl0.5,X,0.5,0.5,0.0008271595528588957,0.9581035106089515,0.002351041447667274,0.9845133391453172,0.9685283988798181
maxfeat0.5_maxsampl0.6,X,0.5,0.6,0.0006655670133327914,0.956976650977465,0.002224275042091818,0.9875387879207539,0.9702253241959023
maxfeat0.5_maxsampl0.7,X,0.5,0.7,0.0005778229116744543,0.9566322825443249,0.0023020877340959173,0.9891815944865305,0.9691837049563647
maxfeat0.6_maxsampl0.1,X,0.6,0.1,0.007901625332222266,0.8225071414545674,0.013503943645267554,0.8520602327592638,0.8192329920959263
maxfeat0.6_maxsampl0.2,X,0.6,0.2,0.0025190110480833427,0.9297840440930811,0.0047286966229938,0.9528373097354282,0.9367005400585888
maxfeat0.6_maxsampl0.3,X,0.6,0.3,0.0014187324076329459,0.9518213301973077,0.0029351121060972114,0.9734374975606344,0.9607098898499806
maxfeat0.6_maxsampl0.4,X,0.6,0.4,0.0010520261815094608,0.9563257299301477,0.0025419380019814325,0.9803032285283136,0.9659730121091794
maxfeat0.6_maxsampl0.5,X,0.6,0.5,0.0008345089039244576,0.9576270750186484,0.002297530911013644,0.9843757394439525,0.9692447036761291
maxfeat0.6_maxsampl0.6,X,0.6,0.6,0.000692850424370009,0.9576336742720397,0.002308780340787976,0.9870279687780239,0.9690941161281985
maxfeat0.6_maxsampl0.7,X,0.6,0.7,0.0005476400254550097,0.9570386101882367,0.0021713642326151167,0.9897466996356888,0.9709336009012957
maxfeat0.7_maxsampl0.1,X,0.7,0.1,0.005888265631000022,0.8653230615176626,0.010133433178395079,0.8897557641274826,0.8643514484677004
maxfeat0.7_maxsampl0.2,X,0.7,0.2,0.0023468062684444692,0.9351270083642127,0.004332805561659794,0.9560614483077329,0.9420000321546179
maxfeat0.7_maxsampl0.3,X,0.7,0.3,0.0013499168507777948,0.9532733160631386,0.002792768985288019,0.9747259106447346,0.9626153287884364
maxfeat0.7_maxsampl0.4,X,0.7,0.4,0.0010395384303650103,0.9568681535625031,0.0025110729951597515,0.9805370329571488,0.9663861784462626
maxfeat0.7_maxsampl0.5,X,0.7,0.5,0.0008316595930155623,0.9571227971716797,0.0023351142987104866,0.9844290862396984,0.968741603491522
maxfeat0.7_maxsampl0.6,X,0.7,0.6,0.0006914719837648672,0.9578734596263548,0.0022844523248999205,0.9870537769090989,0.9694197767467444
maxfeat0.7_maxsampl0.7,X,0.7,0.7,0.0005514851154511214,0.9585918731601408,0.002219935235069161,0.9896747091659908,0.9702834178869733
maxfeat0.8_maxsampl0.1,X,0.8,0.1,0.006471892891500004,0.8527241159457937,0.01109948841783263,0.8788286855273849,0.8514196028016842
