-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
19,181313,3.3516058e6,3.3517528e6,2135.6658,1626.2421,0.7384156,0.76458144,3.3516058e6,1.5165565e6,23.59,Inf,31,"(((3395.1892 + ((((2.351828e7 / (-2.2260912e7 * ((4.0704898e6 / X5) + X6))) + X6) * 8.5414505) - X8)) + (-77888.49 / X6)) + ((-26.350597 - (-868.757 / exp(log(X3)))) * X14)) [likelihood params: Float32[]]"
20,192481,3.3516058e6,3.3517528e6,2135.6658,1626.2421,0.7384156,0.76458144,3.3516058e6,1.5165565e6,25.0,Inf,31,"(((3395.1892 + ((((2.351828e7 / (-2.2260912e7 * ((4.0704898e6 / X5) + X6))) + X6) * 8.5414505) - X8)) + (-77888.49 / X6)) + ((-26.350597 - (-868.757 / exp(log(X3)))) * X14)) [likelihood params: Float32[]]"
21,204760,3.3516e6,3.3517598e6,2135.662,1626.2537,0.7384161,0.7645798,3.3516e6,1.5165672e6,26.524,Inf,31,"(((3395.2627 + ((((6.695521e8 / (-1.1126094e8 * ((-2.2759908e7 / X5) + X6))) + X6) * 8.540717) - X8)) + (-77893.24 / X6)) + ((-26.350304 - (-868.75836 / exp(log(X3)))) * X14)) [likelihood params: Float32[]]"
22,217332,3.1677738e6,3.1680145e6,2018.426,1634.7736,0.7527756,0.76334643,3.1677738e6,1.5245036e6,27.826,Inf,48,"((((-583.4457 + -473.05563) * 0.63369805) - (((4344.885 * ((X6 / (X9 * -420.54364)) * 14303.406)) / -188778.4) * ((((-1.8871986 - (562.89984 / exp(log(X3)))) * 23.949524) + X6) * 15.111964))) + (99.76378 - ((-76.67386 + (-6.977999 + X6)) * (-21.043602 - (1.6822189 * sin((X13 * 1.9910984))))))) [likelihood params: Float32[]]"
23,230057,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,28.904,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
24,243514,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,30.156,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
25,257510,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,31.832,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
26,271044,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,32.216,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
27,284865,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,31.838,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
28,297599,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,31.554,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
29,310814,3.1597072e6,3.159937e6,2013.2816,1635.293,0.7534057,0.7632713,3.1597072e6,1.5249874e6,31.828,Inf,48,"((((-580.61707 + -470.22946) * 0.6320037) - (((4422.2227 * ((X6 / (X9 * -413.1799)) * 14558.042)) / -185471.7) * ((((-2.0712137 - (529.8411 / exp(log(X3)))) * 23.32715) + X6) * 15.38105))) + (101.54971 - ((-76.79755 + (-7.101685 + X6)) * (-21.876043 - (1.7319331 * sin((X13 * 1.9911952))))))) [likelihood params: Float32[]]"
