gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,18237.176,8078.5713,10231.9795,86426.98,110811.17,24812.182,6485.544,8710.783,59357.96,72187.555,3187.57177734375,2982.381591796875,3041.929931640625,3579.642822265625,3642.27197265625,3225.2216796875,3031.306396484375,3079.797119140625,3607.351806640625,3662.943359375,15.567281,3.295837,3.295837,36.841362,43.749115,12.083454,6.9898396,7.5348377,18.991909,22.849443,9,3,3,17,19,8.945946,7.8125,8.228572,9.682927,9.909091
2,12475.087,4940.1987,8078.5713,36264.67,49538.504,21701.3,6485.544,8412.408,46799.336,56723.457,3091.880126953125,2858.445556640625,2982.381591796875,3360.7919921875,3439.392333984375,3126.667724609375,2940.819091796875,3032.615478515625,3371.74462890625,3468.5517578125,19.4591,3.295837,6.931472,41.21047,45.56001,13.674192,7.656719,9.003026,20.016418,22.212215,10,3,5,17,19,10.137255,9.038462,9.218182,11.484375,11.776119
3,10956.058,4242.849,4690.6694,16724.824,18237.176,18601.832,5585.6055,8046.7993,42628.195,47971.914,3059.16015625,2820.0986328125,2845.384521484375,3165.756591796875,3187.57177734375,3097.52880859375,2872.294921875,2897.90625,3199.8388671875,3229.154052734375,24.953299,9.656628,11.266066,48.73404,57.15285,14.218593,10.014498,10.521091,22.418682,33.087418,12,6,7,21,23,11.569445,10.265625,10.478261,13.172839,13.6470585
4,9388.816,4019.6226,4377.2393,14901.462,16104.139,16612.49,5129.5527,7348.2026,40512.254,46799.336,3020.25830078125,2806.478759765625,2827.956787109375,3136.667236328125,3156.2265625,3066.5185546875,2866.7470703125,2874.382080078125,3172.588623046875,3195.505859375,29.11218,9.704061,11.266066,48.73404,54.667946,14.909636,9.654647,10.646109,28.116695,39.379456,14,7,7,21,23,13.036586,11.355263,11.636364,14.908257,15.67347
5,6079.984,3894.4272,4077.198,11864.397,14281.508,18804.273,5786.0547,7716.24,37437.207,46168.37,2910.759765625,2798.505126953125,2810.062744140625,3079.232177734375,3125.95849609375,2957.16259765625,2848.486572265625,2866.947265625,3134.385009765625,3167.47412109375,32.95837,11.266066,14.334076,62.122665,86.97173,15.994886,10.646109,11.654529,29.660881,33.372517,15,7,8,25,34,14.455358,12.318182,12.787879,16.565575,17.579832
6,5141.5005,3112.3696,3894.4272,11039.857,11301.55,17198.594,4352.8994,5114.8857,34235.223,46168.37,2868.51025390625,2742.01611328125,2798.505126953125,3061.08056640625,3066.984130859375,2933.517822265625,2833.6533203125,2852.3974609375,3100.033935546875,3118.34375,36.841362,14.4849415,17.703817,74.334755,87.208275,16.692682,10.757395,11.521845,33.372517,47.798187,17,8,9,31,34,15.830508,13.514019,13.732674,18.69697,19.16084
7,4666.381,2253.8274,3050.0027,10014.19,11120.493,17653.117,4032.819,4727.006,34329.816,47014.48,2844.076171875,2660.68212890625,2736.915283203125,3036.508056640625,3062.914306640625,2904.990478515625,2735.9716796875,2833.6533203125,3091.02685546875,3099.733642578125,37.429947,14.4849415,17.917595,73.117355,87.08889,17.116495,10.757395,12.401572,35.646282,51.5171,17,8,9,29,35,17.275362,14.833333,15.030535,20.287582,21.352564
8,4286.178,2094.0754,2436.9446,9723.269,11119.673,16479.71,3097.0842,4347.248,34915.984,48891.613,2822.658935546875,2642.155517578125,2680.3671875,3029.078857421875,3062.895751953125,2891.490478515625,2723.653076171875,2786.487060546875,3068.544677734375,3096.76806640625,39.143948,14.4849415,18.714973,81.810776,89.45664,18.09711,10.646109,12.360169,37.008427,49.805588,18,8,9,33,36,18.533333,16.055172,16.173334,22.295181,22.833334
9,4216.62,1787.8099,2200.154,9638.526,11047.474,15628.053,3241.4927,4370.0146,32470.238,47014.48,2818.535888671875,2602.309326171875,2654.608154296875,3026.873046875,3061.254150390625,2883.416015625,2716.42578125,2773.908935546875,3066.4501953125,3091.02685546875,41.446533,15.567281,20.794415,79.13055,87.208275,17.529945,10.70858,11.779293,35.871243,42.33179,18,8,11,33,35,19.729412,16.979021,17.526667,23.865671,24.896551
10,4050.692,1541.1837,2094.0754,8023.829,9752.371,15628.053,3097.0842,4336.909,29017.78,36914.027,2808.4189453125,2564.90234375,2642.155517578125,2980.66796875,3029.83203125,2864.65185546875,2702.831298828125,2758.701171875,3043.233642578125,3082.05615234375,41.446533,17.513191,21.405012,81.810776,104.36608,18.116573,10.646109,11.684249,37.819305,48.403698,18,9,11,35,41,20.979382,17.709677,18.549383,25.60606,26.453745
