gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.49742338,0.4430322,0.46302158,0.5934927,0.5981787,0.48923165,0.4635687,0.46454567,0.58727735,0.6177517,712.4746,674.9254,689.6432,771.27686,773.89575,735.72565,708.0173,711.2522,788.329,789.9613,14.4849415,5.5451775,5.5451775,29.11218,30.761145,9.204219,5.9572115,6.098417,14.9005375,14.951726,8,4,4,14,14,6.014,5.734,5.784,6.226,6.27
2,0.49260303,0.4388115,0.46114957,0.49992496,0.5052513,0.47564894,0.46133822,0.46454522,0.52366817,0.5245923,710.29675,671.733,687.4093,715.2174,717.6742,726.7204,694.06415,708.6244,736.17584,739.99646,12.875504,5.5451775,5.5451775,28.56392,29.11218,7.9604244,5.9572115,6.098417,9.979883,10.492916,8,4,4,13,14,5.664,5.392,5.428,6.058,6.06
3,0.49260303,0.4388115,0.4565275,0.49978015,0.49992496,0.4756665,0.4376607,0.46109077,0.52366817,0.5245923,710.29675,671.733,684.9325,715.1207,715.2174,723.91943,694.06415,708.6244,733.3722,734.0493,9.656628,5.5451775,5.5451775,24.16947,25.296831,7.6840467,6.098417,6.1053677,9.979883,10.492916,6,4,4,12,13,5.352,4.698,4.978,5.77,5.848
4,0.48990795,0.4388115,0.4565275,0.49977937,0.49992496,0.47566602,0.4376607,0.45459402,0.5245924,0.52531445,707.405,671.733,684.9325,715.12024,715.2174,723.1938,694.06415,708.0173,733.3722,734.0493,9.656628,5.5451775,5.5451775,22.873857,23.350922,7.760336,5.940165,6.098417,9.979883,10.426926,6,4,4,11,11,4.736,4.17,4.25,5.284,5.46
5,0.47377437,0.4388115,0.4552023,0.49977937,0.49977937,0.47294432,0.43445966,0.4480828,0.52366817,0.52459216,697.2995,671.733,683.963,715.12024,715.12024,720.12317,694.06415,708.0173,730.2275,732.02966,9.656628,5.5451775,5.5451775,22.873857,23.350922,7.760336,4.1436267,6.098417,10.42697,10.492915,6,4,4,11,11,3.994,3.214,3.282,4.774,4.842
6,0.47377437,0.4388115,0.45288327,0.49844232,0.49977937,0.47256973,0.42933494,0.43766427,0.52366817,0.52459216,697.2995,671.733,682.2597,714.2268,715.12024,719.14764,694.06415,708.0173,730.2274,732.02966,9.656628,5.5451775,5.5451775,23.350922,24.16947,7.9971223,3.8556452,4.1436267,10.42697,10.492853,6,4,4,11,12,3.298,2.478,2.766,4.286,4.472
7,0.46943003,0.4355427,0.4403606,0.49844208,0.49844214,0.4708536,0.42490566,0.43445966,0.5224225,0.52366817,694.2273,669.2394,672.15564,714.2267,714.2267,717.68286,694.06323,704.71265,730.2274,732.02966,12.875504,5.5451775,5.5451775,27.03274,29.11218,8.019634,3.9365654,5.940165,11.733806,12.566509,8,4,4,13,14,2.966,2.08,2.372,4.366,4.412
8,0.46736735,0.43343106,0.4355427,0.49844208,0.49978057,0.47256973,0.42933494,0.4369998,0.5224218,0.523668,692.436,667.1252,669.2394,714.2267,715.12103,715.8866,694.06323,699.1139,728.9332,732.02966,12.875504,5.5451775,5.5451775,24.16947,27.03274,7.2441206,3.0479167,4.1436267,11.733806,14.94608,8,4,4,12,13,2.934,2.068,2.266,4.57,4.67
9,0.46671543,0.4334308,0.43436205,0.49844187,0.49978015,0.47256997,0.42933494,0.43700415,0.5178552,0.5224218,691.859,667.125,668.33405,714.22656,715.1207,712.82764,694.06323,696.4099,728.9332,730.07104,14.334076,5.5451775,5.5451775,22.873857,24.16947,7.921668,3.0486622,5.346499,11.051967,14.946032,8,4,4,11,11,3.272,2.164,2.378,4.722,5.012
10,0.46490464,0.4334308,0.43436205,0.49844173,0.49844187,0.46945933,0.42508557,0.43445966,0.5178552,0.52242213,689.9607,667.125,668.33405,714.22644,714.22656,711.66174,694.06323,696.4099,728.9332,730.07086,16.125835,5.5451775,5.5451775,22.873857,24.16947,8.825622,4.1436267,5.9398136,13.916485,14.946032,9,4,4,11,12,3.54,2.496,2.534,5.182,5.714
