run,algorithm,dataset,r2_test,mse_test,hypervolume,size,size_mse
0,eggp_mo_evenmorecx,1028,0.4107714353462253,0.4086006701080951,18.500468768805487,38.0,38.0
1,eggp_mo_evenmorecx,1028,0.434611187381387,0.3630660204807179,17.758942161435836,47.0,47.0
2,eggp_mo_evenmorecx,1028,0.3554282161999894,0.4100208720944825,18.659910287645616,47.0,47.0
3,eggp_mo_evenmorecx,1028,0.4175328337142202,0.3740329334508959,17.774214653285366,46.0,46.0
4,eggp_mo_evenmorecx,1028,0.4326038955480388,0.3934609460626203,12.199901068605254,43.0,43.0
5,eggp_mo_evenmorecx,1028,0.4081035004081583,0.3800880064251244,17.655580193182026,44.0,44.0
6,eggp_mo_evenmorecx,1028,0.3225286278497791,0.4309487473846117,18.916178728530262,45.0,45.0
7,eggp_mo_evenmorecx,1028,0.41196922418769,0.3776056209983386,18.608459973881143,46.0,46.0
8,eggp_mo_evenmorecx,1028,0.4189548510849527,0.3731197809860371,15.098930385572139,47.0,47.0
9,eggp_mo_evenmorecx,1028,0.3769537127540967,0.3963282111819157,17.158139347237775,41.0,41.0
10,eggp_mo_evenmorecx,1028,0.4077321054916248,0.4107082940247987,18.07980615291991,49.0,49.0
11,eggp_mo_evenmorecx,1028,0.3689823592717611,0.4013988974712409,18.514235082674563,49.0,49.0
12,eggp_mo_evenmorecx,1028,0.35675189476365,0.4091788621699319,19.428633543487027,45.0,45.0
13,eggp_mo_evenmorecx,1028,0.4075151624443244,0.3804658093077772,18.439610310441374,49.0,49.0
14,eggp_mo_evenmorecx,1028,0.4186566248409331,0.3733112878096645,18.413422458858335,49.0,49.0
15,eggp_mo_evenmorecx,1028,0.3783726020985023,0.395425636385717,18.952952400559134,43.0,43.0
16,eggp_mo_evenmorecx,1028,0.3745879294193461,0.3978331181146741,11.667824619464678,41.0,41.0
17,eggp_mo_evenmorecx,1028,0.3925729628838218,0.4212204046035723,18.527270918040664,40.0,40.0
18,eggp_mo_evenmorecx,1028,0.4153218852056335,0.4054451597113103,14.589745663095954,49.0,49.0
19,eggp_mo_evenmorecx,1028,0.4140476325715924,0.3762709651932789,18.644237989460205,45.0,45.0
20,eggp_mo_evenmorecx,1028,0.3934169091905963,0.3895190423932596,18.640888717240458,48.0,48.0
21,eggp_mo_evenmorecx,1028,0.4061260177800463,0.4118220358807947,17.97686721213543,46.0,46.0
22,eggp_mo_evenmorecx,1028,0.39861396410429,0.3861817389241735,18.291003390453366,42.0,42.0
23,eggp_mo_evenmorecx,1028,0.365608372542919,0.4035451362855424,13.703831489934462,48.0,48.0
24,eggp_mo_evenmorecx,1028,0.4270721901638779,0.397296908306129,18.796448433181705,45.0,45.0
25,eggp_mo_evenmorecx,1028,0.3723285061591375,0.3992703679584692,18.94448668124384,48.0,48.0
26,eggp_mo_evenmorecx,1028,0.390127977539823,0.4229158801963915,18.27636241512666,49.0,49.0
27,eggp_mo_evenmorecx,1028,0.4193717296339289,0.4026367942543381,17.630433540703827,41.0,41.0
28,eggp_mo_evenmorecx,1028,0.3899097237052876,0.3880867165298303,18.69565041520547,41.0,41.0
29,eggp_mo_evenmorecx,1028,0.4272330104786194,0.3971853874255875,18.398211044653692,47.0,47.0
0,eggp_mo_half,1028,0.3904370774117717,0.4227015348262162,17.775588248899915,40.0,40.0
1,eggp_mo_half,1028,0.402252071824313,0.383845517791903,17.858189835502316,50.0,50.0
2,eggp_mo_half,1028,0.3708635927389416,0.4002022192947945,18.389442962140993,50.0,50.0
3,eggp_mo_half,1028,0.4316118923458157,0.3649920262461469,14.266057243183162,45.0,45.0
4,eggp_mo_half,1028,0.4058699741525089,0.4119995893873023,18.1261883803124,44.0,44.0
5,eggp_mo_half,1028,0.4084781662535209,0.3798474136959267,18.69429746803562,45.0,45.0
6,eggp_mo_half,1028,0.4025417641283562,0.3800513039337891,18.1652330300224,43.0,43.0
7,eggp_mo_half,1028,0.3818338053638607,0.3969571651812049,18.2204156327969,37.0,37.0
8,eggp_mo_half,1028,0.4107059029514062,0.378416866292921,17.55811561339821,46.0,46.0
9,eggp_mo_half,1028,0.3788441646402849,0.3951256690438502,17.999278452609484,50.0,50.0
10,eggp_mo_half,1028,0.3925566849359337,0.4212316925499042,16.025803574875113,45.0,45.0
11,eggp_mo_half,1028,0.3688020662867506,0.4015135842893805,18.583817456941325,47.0,47.0
12,eggp_mo_half,1028,0.3457295286989058,0.4161903390294484,18.600710102136333,48.0,48.0
13,eggp_mo_half,1028,0.4184286786995059,0.3734576640672148,16.910952918610818,45.0,45.0
14,eggp_mo_half,1028,0.4184974259989281,0.3734135177950159,18.145923839022164,42.0,42.0
15,eggp_mo_half,1028,0.3732810365963755,0.3986644504014356,18.633219205831793,46.0,46.0
16,eggp_mo_half,1028,0.3500738551049944,0.4134268539584975,18.697735444313302,49.0,49.0
17,eggp_mo_half,1028,0.4146063368034938,0.4059413568988667,18.279454472489192,39.0,39.0
18,eggp_mo_half,1028,0.3822543079927808,0.4283758779733518,17.453689646763323,46.0,46.0
19,eggp_mo_half,1028,0.4002860928830957,0.3851079767132792,17.8761821657948,47.0,47.0
20,eggp_mo_half,1028,0.3755775793817315,0.4009746183388639,16.185646645167534,45.0,45.0
21,eggp_mo_half,1028,0.4180026925559271,0.4035861532994194,17.003608060474043,46.0,46.0
22,eggp_mo_half,1028,0.4076729695346974,0.3803644730396611,17.723144746266673,46.0,46.0
23,eggp_mo_half,1028,0.3933833371376312,0.3858771038153983,18.39823151624835,33.0,33.0
24,eggp_mo_half,1028,0.3952944383371473,0.4193331968872171,17.81663859310578,50.0,50.0
25,eggp_mo_half,1028,0.3958229826820241,0.3843252121272202,18.552615859402803,49.0,49.0
26,eggp_mo_half,1028,0.4176974646066167,0.4037978136840398,13.608420629260577,48.0,48.0
27,eggp_mo_half,1028,0.4015017659777181,0.4150287242501715,16.162173483871555,36.0,36.0
28,eggp_mo_half,1028,0.3835377452353988,0.3921400186365227,18.095379394576966,48.0,48.0
29,eggp_mo_half,1028,0.4031329676677708,0.4138975671006049,18.147064912938983,47.0,47.0
0,eggp_mo_i50,1028,0.3391575996365132,0.4582612993024605,14.958846917449877,15.0,15.0
1,eggp_mo_i50,1028,0.3984399298038223,0.3862934955410144,14.546426554743626,36.0,36.0
