run,algorithm,dataset,r2_test,r2_ideal,hypervolume,size
0,eggp_mo,1028,0.392670399992992,0.4137574722947703,15.974509671963872,43
1,eggp_mo,1028,0.3859859031180342,0.3859859031180342,16.392467455937158,32
2,eggp_mo,1028,0.3688599720100679,0.3711173219093179,14.857383395479037,55
3,eggp_mo,1028,0.3548799841386677,0.3642130997543221,16.37662973657381,45
4,eggp_mo,1028,0.3912105803528204,0.3968158422398671,15.82643475833486,37
5,eggp_mo,1028,0.3669943490086025,0.3754720889425327,14.786273244437327,54
6,eggp_mo,1028,0.3552271220568821,0.3842913367367703,0.0,16
7,eggp_mo,1028,0.4082852465891948,0.4118441891648549,14.18119511580705,40
9,eggp_mo,1028,0.359230492327534,0.3782686114878824,16.069705699724025,31
10,eggp_mo,1028,0.3866822425314861,0.3906523699606984,16.529105687801803,37
11,eggp_mo,1028,0.3691132198039342,0.3691132198039342,15.502513242757825,36
12,eggp_mo,1028,0.3644106532692615,0.3644106532692615,14.806788049407206,23
13,eggp_mo,1028,0.3726813563894947,0.3927917310369345,16.77924066711724,33
14,eggp_mo,1028,0.3700775033431308,0.3785516865774313,15.490468575457152,36
15,eggp_mo,1028,0.3647998697762957,0.3968369642387648,13.015348951366633,47
16,eggp_mo,1028,0.3551860177389387,0.3567762652523609,14.128608984426366,51
17,eggp_mo,1028,0.3638421602088173,0.3794598321758462,14.953406424691192,44
18,eggp_mo,1028,0.3714105619618857,0.4097927372880507,17.62326039075178,30
19,eggp_mo,1028,0.3644407223614307,0.3644407223614307,13.301242173521285,53
20,eggp_mo,1028,0.3900189041714466,0.3984019961893181,17.461780338832533,28
21,eggp_mo,1028,0.4097345559130791,0.4149414087021765,16.12274562707549,31
22,eggp_mo,1028,0.4127703078166516,0.4207894053782652,15.945235282777082,22
23,eggp_mo,1028,0.3608089026067669,0.3685876264456801,14.921804685906189,35
24,eggp_mo,1028,0.381056719292663,0.3957454250250897,17.248199218625267,50
25,eggp_mo,1028,0.3973434476854433,0.4162171093682603,17.438550429993775,53
26,eggp_mo,1028,0.4095203680820904,0.4095203680820904,16.60694056691677,31
27,eggp_mo,1028,0.3848844134151675,0.4098091415988145,15.21099436233419,27
28,eggp_mo,1028,0.3100010392601623,0.356879964578382,16.444620848378076,51
29,eggp_mo,1028,0.3727977694326565,0.3727977694326565,13.461662239062195,32
0,eggp_so,1028,0.3978270352580707,0.3978270352580707,15.987765983109481,41
1,eggp_so,1028,0.415587277482681,0.415587277482681,2.3936408410918375e-13,53
2,eggp_so,1028,0.3622622092790556,0.3622622092790556,16.904885915463222,19
3,eggp_so,1028,0.4058602650664731,0.4245028137808992,14.61084248917794,31
4,eggp_so,1028,0.3868526183473318,0.3911646652535457,15.685561022087942,48
5,eggp_so,1028,0.4069678466781236,0.4069678466781236,11.702818979490392,51
6,eggp_so,1028,0.3652819649247206,0.394522828363202,17.455858277399777,46
7,eggp_so,1028,0.3889552707958786,0.3911414779765202,17.476066186441905,43
8,eggp_so,1028,0.4067441795416309,0.4067441795416309,15.179101986208089,39
9,eggp_so,1028,0.3777143246899892,0.3854841239672896,15.550527025192867,43
10,eggp_so,1028,0.3516133720994018,0.3935798240402177,0.0,55
11,eggp_so,1028,0.3739825273632471,0.3873911061472881,17.292342106507824,44
12,eggp_so,1028,0.3750621851661238,0.3914974922018148,15.363742986409486,51
13,eggp_so,1028,0.3809267390244795,0.3809267390244795,16.031075925632404,26
14,eggp_so,1028,0.3977108892251186,0.4065533281181304,15.36742452676814,31
15,eggp_so,1028,0.344004478706309,0.3775771582918784,16.64800469930053,41
16,eggp_so,1028,0.3687791130293489,0.3762876319892591,15.383829757174473,49
17,eggp_so,1028,0.3330575840647213,0.3450909236599745,0.0,15
18,eggp_so,1028,0.405519377912627,0.4106302898106116,15.866212527322388,45
19,eggp_so,1028,0.3989840161524585,0.3989840161524585,11.376152302207606,42
20,eggp_so,1028,0.3723116618644393,0.3762156631973891,15.58497914475579,30
21,eggp_so,1028,0.3686059770215316,0.3686059770215316,15.243753467686616,53
22,eggp_so,1028,0.3997043574958009,0.3997043574958009,14.859505695542786,26
23,eggp_so,1028,0.3560101381975318,0.3560101381975318,14.581423506763109,42
24,eggp_so,1028,0.3740269616862087,0.3827235828394232,13.514263011681248,56
25,eggp_so,1028,0.3758845086513497,0.3896958741975878,15.943406351264448,48
26,eggp_so,1028,0.3858337606815215,0.4054379524287067,14.592552267065512,18
27,eggp_so,1028,0.3985767864700867,0.4025661103614116,17.03261710911355,43
28,eggp_so,1028,0.3091829659221685,0.3091829659221685,15.929409590222363,37
29,eggp_so,1028,0.3506939606391553,0.3520915708132818,13.887004937749843,22
0,PySR,1028,0.4082510148758703,0.4176331405642135,17.76209244478267,50
1,PySR,1028,0.3993871058338574,0.3993871058338574,18.19485840180782,50
