gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.00011864684,9.99942e-5,0.00010895725,0.00021980783,0.00021980783,0.00014535147,0.000100796606,0.000100804704,0.00016414166,0.00016414166,4458.994,2953.353,3676.8506,12624.71,12624.71,4491.999,2999.362,3707.1157,12657.225,12657.225,10,5,5,17,17
2,0.00011864684,9.999419e-5,0.000107371314,0.00021980783,0.00021980783,0.00014535147,0.000100796606,0.000100804704,0.00016414166,0.00016414166,4458.994,2953.3525,3548.834,12624.71,12624.71,4491.999,2999.3909,3572.565,12657.225,12657.225,10,5,8,17,17
3,0.000108957276,9.8683704e-5,9.999418e-5,0.00012842522,0.00012842522,0.00015121892,0.000100796606,0.00011625164,0.00016907245,0.00016907245,3676.8525,2847.5698,2953.3516,5248.3057,5248.3057,3709.1162,2879.656,3001.508,5269.9614,5269.9614,9,5,6,16,16
4,0.00010796657,9.0671776e-5,9.284339e-5,0.00012553016,0.00012553016,0.00014752988,9.616427e-5,0.00010079657,0.00016182485,0.00016182485,3596.8828,2200.8477,2376.1401,5014.616,5014.616,3629.2856,2259.642,2442.2385,5028.928,5028.928,14,5,9,25,25
5,0.00010768748,8.539009e-5,8.649649e-5,0.00012547446,0.00012547446,0.00013314311,9.616427e-5,9.881047e-5,0.00015906066,0.00015906066,3574.3545,1774.5098,1863.8184,5010.119,5010.119,3624.9202,1854.3461,1906.8007,5091.77,5091.77,16,9,10,28,28
6,9.562049e-5,8.2859566e-5,8.539009e-5,0.00012513585,0.00012513585,0.00012748677,8.732397e-5,9.923334e-5,0.00015519049,0.00015519049,2600.3076,1570.2456,1774.5098,4982.787,4982.787,2643.9207,1643.189,1854.3461,5064.996,5064.996,20,8,10,39,39
7,9.155911e-5,8.2859566e-5,8.33113e-5,0.00010895714,0.00010895714,0.00013030508,8.732397e-5,9.518921e-5,0.00015519031,0.00015519031,2272.4727,1570.2456,1606.7095,3676.8418,3676.8418,2326.8623,1643.189,1762.0757,3709.975,3709.975,20,9,10,45,45
8,8.763926e-5,7.257173e-5,8.2859566e-5,0.000107043525,0.000107043525,9.604214e-5,6.437375e-5,6.610333e-5,0.00014507292,0.00014507292,1956.0625,739.812,1570.2456,3522.375,3522.375,2021.5623,826.13403,1643.189,3551.8884,3551.8884,26,9,13,45,45
9,8.589295e-5,7.257163e-5,8.111806e-5,0.00010580173,0.00010580173,9.604217e-5,6.437474e-5,8.1850776e-5,0.00014312277,0.00014312277,1815.1006,739.8037,1429.6714,3422.1367,3422.1367,1967.8965,826.961,1487.1156,3471.6863,3471.6863,26,13,18,47,47
10,8.33113e-5,6.4978754e-5,6.8211375e-5,0.00010580173,0.00010580173,9.5785304e-5,6.498923e-5,7.479024e-5,0.00014312277,0.00014312277,1606.7095,126.90625,387.84326,3422.1367,3422.1367,1762.0757,274.64307,522.0072,3471.6863,3471.6863,28,13,19,45,45
11,8.101113e-5,5.7887555e-5,6.435491e-5,0.00010580173,0.00010580173,9.518921e-5,5.9032533e-5,6.415334e-5,0.00014312277,0.00014312277,1421.04,-445.49512,76.54932,3422.1367,3422.1367,1583.4222,-219.98233,210.10654,3471.6863,3471.6863,32,13,20,61,61
12,6.964998e-5,5.7887555e-5,6.0316357e-5,0.000103893246,0.000103893246,7.947721e-5,5.9032533e-5,6.306399e-5,0.00015480566,0.00015480566,503.96777,-445.49512,-249.44238,3268.084,3268.084,844.99365,-219.98233,-17.371124,3355.393,3355.393,44,26,28,77,77
13,6.964998e-5,5.60951e-5,5.7887555e-5,0.00010389096,0.00010389096,7.9242316e-5,5.9032533e-5,6.207625e-5,0.0001548046,0.0001548046,503.96777,-590.1821,-445.49512,3267.9004,3267.9004,589.8412,-219.98233,-3.7703018,3351.1282,3351.1282,39,26,29,96,96
14,6.964998e-5,5.015304e-5,5.6094246e-5,8.8654735e-5,8.8654735e-5,7.914281e-5,4.7885187e-5,5.9032533e-5,0.00012763044,0.00012763044,503.96777,-1069.8252,-590.251,2038.0312,2038.0312,589.8412,-703.4249,-219.98233,2134.9124,2134.9124,47,31,32,96,96
15,6.249944e-5,4.8123482e-5,5.3411935e-5,8.629769e-5,8.629769e-5,6.626931e-5,4.532624e-5,4.9412523e-5,0.00012981001,0.00012981001,-73.22363,-1233.6511,-806.7671,1847.771,1847.771,160.45688,-698.5247,-293.77954,3.4028235e38,3.4028235e38,54,33,40,100,100
16,6.249944e-5,4.8123482e-5,5.3411935e-5,8.629769e-5,8.629769e-5,5.9032533e-5,4.532624e-5,4.8523412e-5,0.00012981001,0.00012981001,-73.22363,-1233.6511,-806.7671,1847.771,1847.771,107.149956,-698.5247,-436.8007,3.4028235e38,3.4028235e38,55,33,40,75,75
17,5.9312628e-5,4.8123482e-5,5.093591e-5,8.1700535e-5,8.1700535e-5,5.9299044e-5,4.532624e-5,4.7087775e-5,0.00012697327,0.00012697327,-330.46338,-1233.6511,-1006.63184,1476.6885,1476.6885,-4.307312,-698.5247,-545.9427,3.4028235e38,3.4028235e38,59,42,42,89,89
18,5.5665852e-5,4.6176236e-5,5.0255465e-5,6.403731e-5,6.403731e-5,5.448042e-5,4.823907e-5,4.90163e-5,0.00010706989,0.00010706989,-624.83105,-1390.8328,-1061.5574,50.913086,50.913086,-373.2774,-799.34485,-724.1233,3.4028235e38,3.4028235e38,79,39,46,98,98
19,5.4748536e-5,4.617608e-5,4.9689254e-5,5.8366728e-5,5.8366728e-5,5.3828724e-5,4.8252437e-5,4.90163e-5,0.000102355356,0.000102355356,-698.87695,-1390.8455,-1107.262,-406.8164,-406.8164,-411.2443,-759.7805,-724.1233,313.66272,313.66272,85,39,59,95,95
20,5.2755317e-5,4.4019624e-5,4.9689228e-5,5.8366728e-5,5.8366728e-5,5.22946e-5,4.205534e-5,4.8266393e-5,6.44604e-5,6.44604e-5,-859.76953,-1564.9146,-1107.2642,-406.8164,-406.8164,-448.61844,-907.53876,-801.6118,313.66272,313.66272,78,39,61,96,96
