gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.031820934,0.011951905,0.015681356,0.043425307,0.047885004,0.04113921,0.013683868,0.018430285,0.056725267,0.061199646,857.4785,62.717407,211.89548,1321.6534,1500.0413,891.896,95.54304,244.12595,1334.6686,1515.9642,19.4591,8.04719,10.750557,29.188652,35.026382,9.110501,4.7686257,4.996759,14.584151,15.889287,10,5,6,15,17,5.984,5.676,5.762,6.274,6.344
2,0.025042795,0.011343914,0.012605356,0.037379406,0.03827934,0.031707432,0.012140876,0.015439326,0.04957702,0.05244052,586.3529,38.397797,88.85547,1079.8175,1115.8147,612.78345,76.73279,135.65117,1100.5905,1131.5315,19.4591,9.656628,11.266066,31.134562,35.026382,9.289707,5.0546517,5.575489,15.065903,15.66114,10,6,7,16,17,5.596,5.166,5.206,5.942,6.086
3,0.023660872,0.010155973,0.01195191,0.035086885,0.037379406,0.030290315,0.011308981,0.013683884,0.04616051,0.04967773,531.07605,-9.119812,62.71765,988.1166,1079.8175,560.2984,22.313574,106.13287,1030.608,1098.609,19.4591,9.656628,12.542316,33.271065,37.352818,10.334593,5.575408,7.289666,15.685243,19.27443,10,6,7,16,17,5.016,4.442,4.514,5.548,5.656
4,0.022265635,0.009277507,0.011951905,0.031531695,0.034587193,0.027318684,0.0101743955,0.013683868,0.04193088,0.046161868,475.26657,-44.258514,62.717407,845.90906,968.1288,502.3863,-3.298254,95.54322,891.1832,1005.7047,20.794415,12.542316,14.334076,35.350506,37.352818,11.323511,5.650069,7.57686,16.258238,19.658346,11,7,8,17,17,4.196,3.574,3.638,4.868,5.036
5,0.021304324,0.008657303,0.010155973,0.031438585,0.034582634,0.024215171,0.0101671405,0.011308981,0.04147497,0.045387823,436.81418,-69.06665,-9.119812,842.1846,967.94653,484.00845,-27.126034,35.533173,885.1875,1002.6014,21.405012,12.542316,14.4849415,37.352818,43.944492,12.027076,5.650069,7.992235,17.193134,19.124,11,7,8,17,20,3.148,2.638,2.716,3.758,3.938
6,0.020683317,0.007896496,0.009114514,0.030386463,0.034576524,0.024163675,0.007515342,0.010256338,0.041278116,0.042578682,411.9739,-99.4989,-50.7782,800.0996,967.702,448.08643,-37.879074,-11.353071,826.19885,1002.60077,19.4591,12.542316,14.334076,37.352818,44.75593,12.109852,6.099839,7.5988345,18.28093,19.163456,10,7,8,18,21,2.482,1.874,1.966,3.024,3.314
7,0.019719787,0.006769383,0.00858223,0.030166982,0.03143857,0.02309643,0.007196135,0.009474434,0.041070636,0.042179815,373.4327,-144.58344,-72.06958,791.32043,842.18396,415.19604,-98.284775,-30.917469,816.86926,864.0388,21.405012,12.542316,14.334076,39.55004,48.33894,12.117509,6.6987066,7.6741652,18.29391,19.94009,11,7,8,18,23,2.192,1.548,1.648,2.942,3.452
8,0.01838342,0.0051129125,0.008010945,0.030166976,0.03143857,0.021854965,0.006121011,0.008861488,0.041132472,0.04257869,319.97794,-210.84224,-94.92093,791.3202,842.18396,354.2925,-124.737595,-40.199368,816.86926,864.0388,23.350922,12.542316,14.334076,39.55004,56.14492,12.459305,6.7638097,7.6733885,18.29391,21.084995,12,7,8,19,25,2.252,1.542,1.652,3.34,4.066
9,0.018200161,0.0046598604,0.005781303,0.030161107,0.031339817,0.021758426,0.0048084357,0.0065901596,0.041132472,0.04257869,312.64767,-228.96432,-184.10663,791.08545,838.2339,332.56995,-189.72575,-124.737595,816.2413,860.3762,23.350922,12.542316,14.334076,39.55004,51.98604,12.676994,6.908031,7.866188,20.293839,24.004736,12,7,8,20,25,2.468,1.718,1.824,3.7,4.468
10,0.017496753,0.0046598604,0.005467011,0.030161107,0.031339817,0.020392176,0.004808852,0.006121011,0.041132472,0.04257869,284.51132,-228.96432,-196.6783,791.08545,838.2339,309.53903,-189.72575,-130.38464,816.2413,860.3762,25.084633,12.542316,14.334076,39.41871,48.33894,13.866884,7.445326,8.291759,19.12774,24.004736,12,8,8,19,23,2.84,1.972,2.086,4.522,5.124
11,0.014808038,0.0039041927,0.005112912,0.029373601,0.030727822,0.016525673,0.0042362306,0.005877346,0.040878374,0.04257869,176.96274,-259.19104,-210.84227,759.5852,813.754,218.3967,-194.39064,-133.38805,799.36206,845.65137,25.296831,12.875504,14.334076,39.55004,57.12784,13.536287,7.445326,8.291254,23.311207,30.092754,13,8,8,20,25,3.096,2.162,2.28,5.212,6.108
12,0.014345241,0.0027532703,0.004086176,0.02893864,0.030717384,0.015673611,0.0026489848,0.0042316993,0.040878374,0.04257869,158.45084,-305.22794,-251.9117,742.18677,813.33655,209.97842,-212.86751,-182.95898,779.55225,845.80475,27.03274,14.334076,14.334076,44.75593,57.56463,14.2680435,7.5376697,8.329437,23.5792,29.815338,14,8,8,23,26,3.442,2.432,2.518,6.142,7.122
13,0.013099167,0.0026111766,0.0037530093,0.02893864,0.030720832,0.0149653,0.0026503725,0.0040141353,0.04087797,0.04257869,108.60788,-310.91168,-265.23837,742.18677,813.4745,142.05641,-241.89673,-191.84647,779.55225,845.73346,28.668152,14.334076,14.334076,57.12784,62.383247,13.885199,6.908031,8.291254,22.906025,25.88347,14,8,8,25,30,3.738,2.576,2.682,6.668,8.228
14,0.011951906,0.002487445,0.0028907722,0.028920054,0.03024222,0.013684062,0.0022237382,0.0028462796,0.03992768,0.04205008,62.717438,-315.86093,-299.72784,741.44336,794.32996,105.646164,-263.11884,-215.9514,779.0838,816.24084,29.11218,14.334076,14.334076,57.12784,68.621574,13.833809,6.474038,7.6733885,24.004736,28.38983,15,8,8,26,33,4.114,2.716,2.77,7.518,9.35
15,0.011876531,0.0019790041,0.0026111766,0.024278076,0.03024222,0.012806589,0.0019084212,0.0026503725,0.03439573,0.04187843,59.702454,-336.19858,-310.91168,555.7643,794.32996,93.49825,-269.61066,-241.15129,587.51886,816.24084,29.188652,12.875504,14.334076,54.06548,60.303806,14.478531,6.474038,7.5996184,23.939964,26.199396,15,8,8,25,29,4.57,2.722,2.872,8.588,10.616
16,0.009886071,0.0017356288,0.0021554956,0.024278076,0.03024222,0.012078921,0.0018190235,0.0020916138,0.03439573,0.041132443,-19.915924,-345.9336,-329.13892,555.7643,794.32996,28.681507,-276.30865,-268.65955,587.51886,816.24084,31.134562,12.875504,14.334076,51.98604,57.56463,14.828247,6.5807004,7.5996184,23.5007,25.977238,16,8,8,25,28,5.01,2.764,2.942,10.522,13.258
17,0.008443412,0.0015771515,0.001939261,0.024068227,0.03024222,0.010019244,0.0016052875,0.001971723,0.03361386,0.041132443,-77.622284,-352.27267,-337.7883,547.37024,794.32996,-42.733047,-281.24878,-272.06992,563.4961,816.24084,31.88477,14.334076,16.09438,54.485485,64.462685,17.00779,6.474038,8.291254,26.80017,31.61203,17,8,9,27,30,5.368,2.834,3.01,12.176,14.876
18,0.0076129176,0.0015419837,0.0017588988,0.023825401,0.030161116,0.008861694,0.0015553081,0.001802403,0.030785864,0.040969115,-110.84207,-353.67938,-345.00278,537.65735,791.0858,-53.442207,-281.24878,-277.48474,560.573,815.769,35.026382,14.334076,16.125835,56.14492,69.20583,17.213467,6.474038,7.5376406,26.822758,33.232395,17,8,9,28,36,5.83,2.858,2.946,14.23,17.264
19,0.00657683,0.001575644,0.0017259355,0.022265624,0.030161116,0.00753965,0.0015933913,0.001755616,0.028961135,0.040936165,-152.28555,-352.33298,-346.32132,475.2662,791.0858,-93.070854,-285.49738,-278.66937,500.39102,812.5869,35.026382,14.334076,16.125835,58.377304,59.867214,17.156078,5.715123,7.3521304,31.613495,41.52924,17,8,9,29,33,6.45,2.898,3.012,15.956,19.934
20,0.0057847514,0.0015419796,0.001618361,0.02141868,0.024525149,0.0066348165,0.0014545375,0.0016292492,0.028308103,0.035730626,-183.9687,-353.67957,-350.6243,441.38834,565.6471,-110.5785,-285.49792,-278.66937,473.7192,587.51886,37.352818,16.09438,17.917595,59.867214,72.78046,17.1478,5.715123,8.329437,27.037445,33.963303,19,9,10,30,35,7.27,2.954,3.034,17.19,22.542
21,0.005294713,0.001541978,0.0016805418,0.02104136,0.024525149,0.006336029,0.0014949505,0.0016213894,0.025754478,0.035730626,-203.57022,-353.67963,-348.1371,426.29562,565.6471,-146.98094,-289.25482,-281.16345,466.6641,587.51886,36.972294,16.09438,17.917595,58.22436,73.462135,17.128056,7.2387595,8.785734,27.458643,37.21228,18,9,10,28,36,7.898,2.924,3.162,21.146,26.334
