gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.0012307182,0.001216816,0.0012307153,0.0018992813,0.0030641735,0.0014637547,0.0013902329,0.001441131,0.0024984349,0.003244148,-334.5779,-338.57483,-334.57877,-142.36603,192.54047,-297.61227,-319.71335,-319.71286,-126.423,222.87633,16.125835,6.931472,6.931472,33.271065,37.352818,7.933599,4.804846,5.277753,12.418259,15.287879,9,5,5,15,17,5.984,5.696,5.764,6.214,6.268
2,0.0012307172,0.001178496,0.001216816,0.001628689,0.0017537472,0.0014637521,0.0013864088,0.0014324156,0.0019729277,0.0024982993,-334.57822,-349.5918,-338.57483,-220.16132,-184.20709,-310.62543,-322.36893,-319.71335,-174.0454,-172.61008,14.334076,6.931472,6.931472,29.11218,35.155594,7.9335856,5.274456,5.277753,11.41057,13.157544,8,5,5,14,16,5.694,5.182,5.342,6.234,6.382
3,0.0012307167,0.0011761462,0.001216816,0.0013413593,0.001628689,0.0014637513,0.001418572,0.0014636879,0.0017833876,0.0019906498,-334.57837,-350.2674,-338.57483,-302.7686,-220.16132,-314.29315,-322.3692,-322.36893,-280.73816,-174.0454,12.542316,6.931472,6.931472,25.296831,33.271065,7.9335737,5.277752,5.277753,10.892502,13.157544,7,5,5,13,16,5.538,4.974,5.07,6.108,6.3
4,0.0012307166,0.0011784957,0.0012160769,0.0012628417,0.0015107504,0.0014637513,0.0014330617,0.0014637075,0.0016711934,0.0019069071,-334.5784,-349.59192,-338.7873,-325.3424,-254.0687,-315.83286,-322.36926,-322.36914,-292.7536,-234.68703,11.266066,6.931472,6.931472,24.953299,29.11218,7.9335732,5.2777524,5.277753,10.4887905,11.410569,7,5,5,12,14,5.396,4.652,4.726,6.068,6.368
5,0.0012307166,0.001168838,0.0012135487,0.0012307179,0.001237044,0.0014637513,0.0014373743,0.0014636879,0.0016820416,0.0019069249,-334.5784,-352.3685,-339.51416,-334.57803,-332.75928,-318.1157,-322.36942,-322.3692,-302.31897,-294.5355,9.704061,6.931472,6.931472,25.296831,33.271065,7.933569,5.2777524,5.277753,10.576378,11.647423,7,5,5,13,16,5.382,4.442,4.504,6.53,6.976
6,0.0012307165,0.0011433525,0.0011784957,0.0012307175,0.0012307179,0.0014637513,0.0014373743,0.0014636879,0.0016401139,0.0019069391,-334.57843,-359.6956,-349.59192,-334.57812,-334.57803,-319.64734,-322.36957,-322.36932,-309.13165,-300.2759,9.656628,6.931472,6.931472,25.296831,33.271065,7.9335737,5.277752,5.277753,10.887722,13.669817,6,5,5,13,16,5.656,4.398,4.614,7.224,7.584
7,0.0012307162,0.0010921654,0.0011518002,0.0012307175,0.0012307179,0.0014637513,0.0014185726,0.0014636746,0.0014683265,0.0019069398,-334.57852,-374.4119,-357.26688,-334.57812,-334.57803,-319.71347,-334.5705,-322.36957,-311.47775,-307.94485,6.931472,6.931472,6.931472,27.242743,39.143948,7.933569,5.2777524,5.277753,10.694073,13.529226,5,5,5,14,17,6.294,4.78,5.012,8.206,8.94
8,0.0012307162,0.0010414745,0.0011485805,0.0012307172,0.0012307175,0.0014637513,0.0013309404,0.0014636879,0.0016257713,0.0019069398,-334.57852,-388.9855,-358.19254,-334.57822,-334.57812,-319.7135,-334.84973,-322.36957,-313.18478,-308.9382,6.931472,6.931472,6.931472,29.188652,39.143948,7.9335732,5.277752,5.277753,10.90981,12.356081,5,5,5,15,17,6.916,5.222,5.41,9.33,10.3
9,0.001230716,0.0010109039,0.0010921652,0.0012307172,0.0012307176,0.001463751,0.0013160665,0.001442809,0.0015576622,0.0019069309,-334.57855,-397.77454,-374.41193,-334.57822,-334.5781,-319.71378,-350.3041,-331.8543,-315.7796,-311.7554,6.931472,6.931472,6.931472,32.95837,39.55004,7.465712,5.277752,5.2777524,10.90981,12.356081,5,5,5,15,18,7.81,5.902,6.16,10.178,11.34
10,0.001230716,0.00095685746,0.0010871188,0.0012307172,0.0012307174,0.001463751,0.001242607,0.001323943,0.0015635318,0.0019069398,-334.57855,-413.3129,-375.86276,-334.57822,-334.5782,-322.36905,-355.0973,-334.84973,-315.9853,-313.5433,6.931472,6.931472,6.931472,33.271065,45.747715,6.81386,5.2777514,5.2777524,12.185738,15.733251,5,5,5,16,20,9.028,6.542,6.87,11.908,12.798
