gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.00011495711,9.288901e-5,9.402207e-5,0.00018920502,0.00018970064,0.00013951234,0.000115211005,0.00011564103,0.0001508208,0.00015725465,4161.159,2379.8223,2471.2832,10154.451,10194.458,4182.6206,2414.434,2487.1445,10167.968,10228.613,9,5,5,15,18,6.002,5.65,5.706,6.174,6.26
2,0.00010096927,9.259382e-5,9.281375e-5,0.00012886022,0.00016977718,0.00013817006,0.0001151909,0.00011542639,0.00014923417,0.00015413106,3032.061,2355.9946,2373.7476,5283.419,8586.236,3066.5225,2388.3723,2401.1003,5314.9907,8630.615,9,5,5,15,19,5.644,5.18,5.328,6.106,6.228
3,9.748354e-5,9.2102084e-5,9.2597395e-5,0.00011757828,0.00012673729,0.00013949937,0.000116651456,0.0001191318,0.00014923414,0.00015158615,2750.6934,2316.3018,2356.2832,4372.74,5112.0557,2767.081,2346.4622,2392.2732,4397.665,5127.221,9,5,5,14,18,5.454,4.918,5.09,6.156,6.554
4,9.551855e-5,9.196021e-5,9.243256e-5,0.000114957125,0.00012402488,0.00013766359,0.000116776384,0.000121273195,0.00014923411,0.00015035529,2592.079,2304.8496,2342.9775,4161.161,4893.1094,2610.9504,2330.2473,2373.753,4190.5947,4929.628,9,5,5,15,18,5.466,4.686,4.926,6.466,6.99
5,9.438082e-5,8.300095e-5,9.209166e-5,0.00011495701,0.00012331457,0.0001382,0.00011598473,0.00012126527,0.00014923411,0.00015035529,2500.2412,1581.6582,2315.46,4161.1514,4835.7744,2525.3164,1625.5967,2344.9338,4185.213,4875.83,9,5,6,18,21,5.802,4.622,4.842,7.036,7.262
6,9.351326e-5,7.8497105e-5,8.52755e-5,0.000114892595,0.0001149571,0.00013596364,0.00011548141,0.00011882145,0.00014923705,0.00023760046,2430.212,1218.1074,1765.2598,4155.952,4161.159,2467.1382,1249.3046,1818.8065,4186.191,4214.4404,10,5,6,18,21,6.296,4.856,5.1,7.692,8.054
7,9.3465955e-5,6.927957e-5,8.31114e-5,0.000114620416,0.00011495706,0.00013569643,9.4298106e-5,0.0001159847,0.00014923423,0.00015484818,2426.393,474.06885,1590.5737,4133.9814,4161.1553,2452.316,597.0413,1618.0002,4182.815,4208.2324,11,6,6,19,29,7.062,4.976,5.318,8.7,9.208
8,9.3006965e-5,6.7282024e-5,7.395122e-5,0.00011229344,0.00011495706,0.00013556093,8.05521e-5,0.00010684236,0.00015198548,0.00023715646,2389.3438,312.82617,851.16406,3946.1475,4161.1553,2436.466,351.73373,961.80444,4174.66,4208.2324,12,6,7,22,26,7.934,5.142,5.736,9.972,10.83
9,9.247917e-5,6.5271364e-5,6.840548e-5,0.00011198358,0.000114957016,0.00013385282,7.917717e-5,9.5130425e-5,0.00014939932,0.00018613959,2346.7397,150.52588,403.5122,3921.1357,4161.1523,2392.2732,218.04942,476.19934,3978.2466,4214.5903,13,6,7,23,29,8.942,5.644,6.236,11.772,12.514
10,9.229368e-5,6.521138e-5,6.783804e-5,0.00010987729,0.00011395756,0.00013326533,7.711593e-5,8.5316286e-5,0.00015198548,0.0002005128,2331.767,145.68408,357.708,3751.1162,4080.4756,2375.2908,193.2259,426.7272,3885.205,4182.8145,14,7,7,24,32,10.32,6.364,6.894,13.738,14.5
11,9.0400994e-5,6.380517e-5,6.6368266e-5,0.000104613406,0.000113356735,0.00012905996,7.347263e-5,7.711593e-5,0.00014923465,0.0002037744,2178.9897,32.174805,239.06787,3326.2158,4031.9775,2226.8164,175.7492,304.35815,3361.649,4065.7903,14,6,7,29,33,11.596,7.22,7.764,15.196,15.856
