gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,388255.75,242454.78,244826.39,509241.12,509241.28,390151.72,242045.53,244288.52,515598.4,515600.84,7853.648,7618.224,7623.091,7989.277,7989.2773,7882.8916,7642.165,7652.243,8009.5894,8013.1904,19.4591,6.931472,9.656628,33.271065,41.446533,11.48612,6.1170235,9.120661,14.301971,14.438834,10,5,6,17,18,6.068,5.794,5.88,6.236,6.246
2,249053.06,242454.73,242475.3,500202.5,509241.03,246742.17,242045.53,242058.27,513444.1,515598.4,7631.649,7618.2236,7618.266,7980.3228,7989.277,7666.521,7640.321,7643.657,8008.1016,8024.375,19.4591,6.931472,9.656628,48.354286,49.69813,11.48612,6.845729,8.091667,15.482353,19.713259,10,5,6,20,21,5.776,5.366,5.406,6.13,6.15
3,244880.06,239384.66,240913.61,482910.4,482910.53,244332.3,239455.02,241264.6,510914.8,510927.75,7623.2,7611.8516,7615.035,7962.732,7962.732,7655.199,7639.3667,7640.321,7978.9346,7985.5083,19.4591,6.931472,9.656628,33.271065,48.354286,11.511169,8.291737,8.847734,14.438834,19.101383,10,5,6,16,20,5.73,5.13,5.288,6.248,6.294
4,244880.0,238737.78,240081.38,280708.38,481917.25,244332.22,239471.1,241161.67,282399.62,509667.9,7623.2,7610.499,7613.305,7691.474,7961.702,7654.905,7639.3667,7640.321,7767.3086,7978.9346,19.4591,6.931472,9.656628,33.271065,48.354286,11.800991,7.5995874,9.270962,14.098135,14.242068,10,5,6,16,20,5.758,4.99,5.176,6.578,6.706
5,244542.53,238733.64,240081.22,245138.83,481916.72,244288.52,239471.1,241163.95,246708.94,507719.72,7622.5107,7610.49,7613.3047,7623.7285,7961.7017,7655.199,7639.755,7640.4375,7688.68,7988.551,21.405012,9.656628,9.704061,35.155594,48.354286,11.800991,7.6841774,9.511816,14.470543,15.063643,11,6,7,16,20,5.882,4.956,5.366,7.164,7.198
6,243959.56,238212.47,239224.81,245138.83,470637.12,243886.97,237982.52,239471.1,246708.94,501172.2,7621.3174,7609.3975,7611.518,7623.7285,7949.8594,7652.488,7639.755,7640.825,7688.68,7978.155,22.873857,9.656628,11.266066,35.155594,48.354286,12.295103,9.511816,10.900866,15.063643,22.791801,11,6,7,16,20,6.212,5.006,5.388,7.156,7.548
7,243883.81,236896.83,238690.61,245138.83,379734.6,242870.6,237982.52,239471.1,246708.94,362144.9,7621.1626,7606.6284,7610.4004,7623.7285,7842.5522,7653.5767,7639.755,7643.978,7734.8594,7902.5596,27.03274,11.266066,14.4849415,48.354286,49.69813,12.244123,9.511816,11.1174965,24.851643,27.994072,13,7,9,20,21,6.744,5.51,5.61,7.45,8.074
8,242454.89,235680.03,237183.44,245138.77,245138.83,242694.33,237558.05,237998.9,245356.05,246708.94,7618.224,7604.0537,7607.233,7623.7285,7623.7285,7658.5703,7639.8115,7642.8525,7687.798,7734.231,27.242743,11.266066,14.334076,48.354286,49.69813,12.402006,11.1174965,11.213989,17.352268,28.600492,14,7,8,20,21,7.296,5.802,6.102,8.466,9.572
9,242358.0,232207.86,236336.8,245138.66,245138.77,242634.1,235878.2,237558.05,245355.97,246708.94,7618.0244,7596.6323,7605.4453,7623.728,7623.7285,7661.72,7637.0894,7642.1655,7700.5137,7744.988,29.11218,12.542316,14.334076,55.262043,63.719513,12.656345,10.180881,11.456876,39.067932,41.63961,15,7,8,25,29,8.0,5.902,6.568,9.16,10.632
10,240996.81,232149.88,236336.8,245040.6,245138.77,241792.0,235818.8,236130.94,245265.44,245354.62,7615.208,7596.5073,7605.4453,7623.528,7623.7285,7663.574,7637.0894,7641.958,7700.5137,7741.135,39.143948,14.334076,16.125835,63.719513,64.74317,12.860233,9.192145,11.093337,39.067932,42.314304,17,8,9,27,29,8.848,6.578,7.208,10.824,11.038
