-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
17,647775,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,34.064,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
18,677974,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,35.784,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
19,705439,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,39.026,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
20,735818,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,40.722,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
21,764639,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,41.534,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
22,789308,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,45.008,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
23,822867,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,49.488,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
24,850503,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,52.406,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
25,881423,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,54.262,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
26,923758,3799.8481,3896.4739,0.00067595526,0.040444978,0.9803944,-3.080912,3799.8481,166227.98,55.358,Inf,30,"(-0.16853939 - (abs(pdiv((X2 + pdiv(-184.12515, 65.29107)), pdiv((46.628242 - X1), 2.3958921))) ^ pdiv(((-1.4732765 - pdiv((X2 + -2.884433), pdiv((50.730415 - X1), log(abs(-2.8974753e11))))) + X2), 13.828084))) [likelihood params: Float32[]]"
