gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
147,0.029158095,0.023343736,0.025262179,0.034199726,0.035251163,0.064795494,0.029455725,0.033035785,0.25513816,0.8191725,-246.9794,-322.90244,-297.8517,-181.14655,-167.41702,103.67473,-41.660927,-4.3873596,382.07748,551.4984,245.43233,173.94347,189.43373,278.6031,284.59457,80.3993,24.993895,29.768064,363.84103,498.15128,90,65,71,97,99,75.446,69.734,70.642,79.238,80.008
148,0.029094586,0.023343736,0.025181616,0.03412365,0.035250034,0.06277981,0.029329428,0.033021905,0.3182198,1.2100483,-247.80869,-322.90244,-298.90366,-182.13992,-167.43176,102.70457,-44.570328,-15.209097,374.90912,525.0939,245.43233,171.9005,189.43373,280.48813,288.55502,72.85535,23.575272,29.621765,363.84103,496.91458,89,65,70,99,99,75.268,69.48,70.654,79.326,79.81
149,0.029050503,0.023335844,0.025120763,0.03412365,0.035237163,0.062634155,0.029329428,0.033021905,0.25513816,0.57233244,-248.38434,-323.0055,-299.69827,-182.13992,-167.59985,87.78191,-62.530487,-25.378159,374.90912,520.361,241.10524,171.53873,184.73401,280.36606,288.55502,72.52403,23.575272,27.730236,363.84103,481.35098,89,63,70,98,99,75.092,68.82,70.716,79.184,80.428
150,0.029050332,0.023335358,0.025120763,0.03412365,0.03523697,0.062634155,0.02825483,0.03185395,0.266278,0.8194864,-248.38657,-323.0118,-299.69827,-182.13992,-167.60236,88.12355,-77.19026,-27.496346,368.98987,460.91678,242.79123,158.03755,178.49245,280.48813,288.55502,79.161865,23.575272,27.129871,363.84103,479.4729,89,57,66,98,99,75.068,69.272,70.872,79.62,80.788
151,0.029050332,0.023335358,0.024984287,0.034065142,0.035236575,0.06483751,0.02825483,0.031241428,0.3182198,1.2100483,-248.38657,-323.0118,-301.48035,-182.90393,-167.60751,91.13852,-64.44299,-29.571629,378.4103,520.361,246.23514,147.32709,171.9005,280.36606,288.55502,79.161865,23.575272,32.73197,373.7244,512.5567,89,54,66,98,99,74.982,69.466,70.026,79.544,80.92
152,0.029050332,0.023335358,0.024875287,0.0339112,0.035231598,0.062634155,0.02825483,0.030603176,0.44189453,1.2100483,-248.38657,-323.0118,-302.9037,-184.9141,-167.67252,91.55865,-62.25522,-27.496346,424.5449,566.06726,243.72452,141.33307,173.31522,279.7217,289.03717,79.56113,23.163485,28.436096,443.42535,533.91956,89,54,68,98,99,75.188,69.514,70.454,79.344,80.648
153,0.029023003,0.023335358,0.024875287,0.0339112,0.035231598,0.061070573,0.027900998,0.030191462,0.44189453,1.3245689,-248.74341,-323.0118,-302.9037,-184.9141,-167.67252,110.02222,-46.876633,-27.496346,404.3059,566.06726,245.43233,141.33307,173.94347,274.8217,289.03717,79.56113,24.570463,32.379463,387.48557,534.76117,89,54,70,98,99,75.298,69.338,70.862,79.248,80.422
154,0.029023003,0.023335358,0.024875287,0.0339112,0.035084244,0.06094308,0.02790261,0.029455725,0.4422027,1.1667408,-248.74341,-323.0118,-302.9037,-184.9141,-169.59665,105.359085,-41.660927,-26.41935,404.3059,566.06726,243.72452,162.48302,184.15887,280.36606,292.27414,84.28066,24.66793,32.379463,385.89856,534.76117,89,60,70,98,99,74.922,69.474,70.876,79.706,80.756
155,0.028838698,0.02333435,0.024807649,0.033853177,0.035084244,0.058213055,0.0279049,0.029446231,0.37804395,0.9750422,-251.15005,-323.025,-303.78687,-185.67172,-169.59665,102.899124,-77.19026,-30.89608,374.5687,573.3047,246.00575,131.88425,184.14742,279.7217,290.58603,79.56113,27.129871,31.012241,370.49725,534.76117,90,55,68,98,99,75.398,70.06,70.78,79.892,81.37
156,0.028838698,0.023201719,0.024601763,0.033853177,0.035084244,0.058213055,0.0279049,0.0298451,0.44220066,1.1967815,-251.15005,-324.75687,-306.4753,-185.67172,-169.59665,107.87154,-64.85699,-29.7639,374.5687,575.8887,252.30557,171.45856,184.15887,280.36606,290.58603,80.30781,27.027115,29.371758,385.89856,534.76117,91,65,69,98,99,75.162,69.268,70.762,80.12,80.918
157,0.028665654,0.023201713,0.024166804,0.033853177,0.035063796,0.058623154,0.028328184,0.030729117,0.44220066,1.1664426,-253.4096,-324.75696,-312.15494,-185.67172,-169.86365,83.26345,-40.518143,-22.452744,374.5687,566.7367,248.57198,143.52666,184.15887,280.36606,291.49945,80.30781,27.129871,29.12857,385.89856,534.76117,90,53,69,99,99,75.544,68.754,70.432,80.226,81.586
158,0.028622283,0.023201697,0.024166804,0.033853177,0.035063796,0.055650044,0.028331453,0.030729117,0.35805118,0.7994011,-253.97595,-324.75717,-312.15494,-185.67172,-169.86365,88.6845,-35.049217,-21.241638,404.3059,626.31824,254.35272,143.52666,184.15887,283.32132,292.27414,80.30781,27.129871,29.371758,433.49335,582.4586,92,53,69,99,100,75.876,68.968,70.584,80.206,81.354
159,0.028500004,0.023201542,0.024035195,0.033853177,0.03502001,0.052866578,0.028331663,0.030729117,0.3314953,0.7994011,-255.57266,-324.7592,-313.87347,-185.67172,-170.43542,94.515884,-48.932358,-15.377434,424.13116,626.31824,253.3495,143.52666,184.14742,283.32132,291.49945,80.30781,27.129871,29.371758,435.7827,597.6578,91,53,68,99,99,75.728,69.174,70.262,79.438,81.056
160,0.028436806,0.023201542,0.023958584,0.033853177,0.035018176,0.056266088,0.028331663,0.03046501,0.33965886,1.2100483,-256.3979,-324.7592,-314.87384,-185.67172,-170.45935,92.587875,-48.932358,-15.377434,424.13116,614.1846,252.69536,168.89967,184.15887,284.59457,289.03717,80.30781,27.129871,30.646126,435.7827,588.0411,91,62,68,99,99,75.38,69.572,70.354,79.312,81.258
161,0.028340356,0.023201536,0.023908226,0.033853177,0.035018176,0.054720063,0.028331663,0.029877918,0.33965886,1.0249372,-257.65732,-324.75925,-315.5314,-185.67172,-170.45935,96.76027,-78.610886,-22.452744,424.13116,585.8717,250.71045,155.70438,181.32565,282.66614,292.27414,80.30781,25.391968,28.12151,435.7827,540.4987,90,59,65,98,99,75.52,69.97,71.53,79.504,80.33
162,0.028312536,0.023201536,0.023908226,0.033853177,0.03501797,0.05801401,0.028331663,0.031923525,0.461615,1.0520647,-258.0206,-324.75925,-315.5314,-185.67172,-170.462,88.90233,-78.610886,-22.452744,404.3059,566.7367,250.71045,155.70438,181.32565,282.66614,292.27414,84.21542,25.391968,28.12151,412.6944,531.2526,90,59,64,98,99,75.372,69.53,70.934,79.736,80.654
163,0.028178716,0.023201536,0.023908226,0.03326915,0.03501797,0.05801401,0.028330877,0.030729117,0.41852352,1.0320963,-259.768,-324.75925,-315.5314,-193.29788,-170.462,90.14137,-47.833015,-18.554558,404.3059,585.947,251.84866,168.89967,189.43373,284.59457,292.27414,92.46556,27.129871,29.767916,430.6,542.3913,90,62,68,99,100,75.278,69.348,71.582,79.606,80.33
