-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
26,727328,21,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
27,765220,22,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
28,801588,20,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
29,834785,22,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
30,870155,21,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
31,907948,20,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
32,942746,20,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
33,976807,21,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
34,1012968,23,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
35,1047525,25,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
36,1079842,28,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
37,1115775,26,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
38,1152070,28,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
39,1187713,28,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
40,1221774,29,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
41,1257924,29,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
42,1294962,28,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
