gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.037475985,0.010217783,0.01538207,0.05341109,0.053411096,0.049541004,0.011944443,0.02031894,0.075018294,0.075018294,-44.61779022216797,-174.57485961914062,-133.66757202148438,-9.185989379882812,-9.185958862304688,-16.804006576538086,-119.99220275878906,-90.97413635253906,-1.890615463256836,-1.890615463256836,12.542316,1.3862944,1.3862944,35.155594,41.58883,7.8265553,2.446426,2.446426,16.280949,17.71387,8,2,2,17,19,8.925,8.090909,8.176471,9.666667,9.825
2,0.027446372,0.007364616,0.009895602,0.05341108,0.05341109,0.03291336,0.008300968,0.010919758,0.07501828,0.075018294,-75.7644271850586,-207.31912231445312,-177.77877807617188,-9.185997009277344,-9.185989379882812,-47.533294677734375,-158.27444458007812,-127.74067687988281,-4.660129547119141,-2.9013466835021973,17.917595,2.0794415,6.931472,35.350506,39.509388,10.246029,2.446427,6.0223927,16.909426,21.656485,10,3,5,18,19,10.172414,8.938775,9.132075,11.09375,11.525424
3,0.0211704,0.005451013,0.0061182557,0.03737941,0.05341108,0.02700341,0.005794103,0.0067490316,0.049193095,0.07501828,-101.72742462158203,-237.40765380859375,-225.86009216308594,-44.875823974609375,-9.185997009277344,-63.11049270629883,-186.46180725097656,-167.9132843017578,-18.953447341918945,-4.660098552703857,23.292873,2.0794415,9.656628,45.747715,50.65687,11.153859,5.987604,6.6899533,21.05499,23.802269,12,3,6,21,23,11.478261,9.983334,10.291667,12.506173,13.329114
4,0.01646804,0.0035643694,0.0041073263,0.032547276,0.036915913,0.020462226,0.0038089873,0.0045787543,0.04142805,0.043889668,-126.84567260742188,-279.88909912109375,-265.7106018066406,-58.71845245361328,-46.12354278564453,-86.73680877685547,-204.03231811523438,-190.0450439453125,-36.81290817260742,-25.735347747802734,28.969883,9.704061,14.334076,51.98604,57.56463,13.274719,6.4049816,7.4721594,22.233654,25.59201,15,7,8,25,26,12.741177,10.950617,11.405797,14.094737,14.969388
5,0.01077531,0.0028641392,0.0035698167,0.023877703,0.026821077,0.013803731,0.0030190498,0.0038846768,0.030350773,0.039881933,-169.26205444335938,-301.76104736328125,-279.73638916015625,-89.69331359863281,-78.06901550292969,-112.91390991210938,-234.37277221679688,-211.20523071289062,-49.92066192626953,-38.75739288330078,35.026382,12.875504,16.125835,57.56463,69.07755,15.037319,8.550778,9.589102,24.173306,33.783012,17,8,9,27,30,14.0,11.955556,12.712644,15.565217,16.61017
6,0.0072118235,0.0019823618,0.0028059005,0.020925317,0.023878312,0.009676596,0.0020373547,0.0029963003,0.026432076,0.029730426,-209.41561889648438,-338.55889892578125,-303.81536865234375,-102.891845703125,-89.69076538085938,-138.90353393554688,-256.5409240722656,-235.56785583496094,-59.60481262207031,-49.677730560302734,41.74727,16.125835,19.4591,74.705635,90.086205,17.3121,8.871008,10.268168,29.21054,33.783012,19,9,11,34,39,15.225806,13.40196,13.716981,17.074627,17.722628
7,0.0058294022,0.0019206165,0.0023113722,0.01984438,0.02346647,0.0062214336,0.0018290211,0.0021524807,0.025002792,0.029730426,-230.69638061523438,-341.72320556640625,-323.20367431640625,-108.19573974609375,-91.43055725097656,-167.787841796875,-271.0176086425781,-242.16998291015625,-66.79862976074219,-49.677730560302734,43.944492,17.703817,19.709354,70.31119,90.086205,17.517513,8.905298,10.268168,29.912292,35.191532,21,10,11,32,38,16.442749,14.509615,14.837399,18.492647,19.284721
8,0.00485723,0.0015451094,0.0016278232,0.019101432,0.02346647,0.0049445475,0.0015120935,0.0015926063,0.022297852,0.029730426,-248.94097900390625,-363.47833251953125,-358.263427734375,-112.01148986816406,-91.43055725097656,-179.6510009765625,-279.6988220214844,-271.0176086425781,-73.20709228515625,-55.50686264038086,48.33894,19.4591,23.292873,81.29731,89.80082,19.57805,9.509787,11.041445,32.31018,41.79422,23,10,13,36,40,17.490067,15.621212,16.015625,20.166666,20.854431
9,0.0036828595,0.0014706595,0.0015600394,0.011662874,0.019362658,0.004004336,0.0014979987,0.001585028,0.01451434,0.025002783,-276.618896484375,-368.416748046875,-362.5166931152344,-161.34674072265625,-110.65318298339844,-200.410888671875,-280.2904357910156,-273.91796875,-88.9391860961914,-69.57179260253906,51.98604,25.296831,28.668152,81.52844,94.40599,21.578417,10.324629,11.785762,30.813007,37.37639,24,13,15,36,41,18.828947,16.732395,16.950705,21.881657,23.0
10,0.0030804514,0.001395324,0.0015467129,0.010344357,0.017506743,0.0036042724,0.0014802631,0.0015738507,0.012071182,0.020693172,-294.4801940917969,-373.6752014160156,-363.3746032714844,-173.34368896484375,-120.72919464111328,-215.62246704101562,-282.9017639160156,-276.1222839355469,-95.1299057006836,-75.73106384277344,52.73339,26.876392,29.188652,82.89307,93.517914,22.011063,11.149609,13.229466,30.813007,37.37639,25,14,15,36,41,19.972067,17.763975,18.059172,23.59901,24.76
