dataset,algorithm,time
1028_SWD,SymRegg,469.4
1028_SWD,GPGOMEA,759.267
1028_SWD,GPZGD,231.533
1028_SWD,PySIPS,320.1
1028_SWD,PySR,880.3
1028_SWD,random,237.667
1028_SWD,Operon,91.5
1028_SWD,eggp,447.8
1028_SWD,QLattice,911.6
1028_SWD,slim_gsgp,813.5
1089_USCrime,SymRegg,252.033
1089_USCrime,GPGOMEA,149.433
1089_USCrime,GPZGD,29.9667
1089_USCrime,PySIPS,95.9333
1089_USCrime,PySR,486.867
1089_USCrime,random,158.4
1089_USCrime,Operon,27.1667
1089_USCrime,eggp,194.367
1089_USCrime,QLattice,907.133
1089_USCrime,slim_gsgp,737.267
1193_BNG_lowbwt,SymRegg,525.967
1193_BNG_lowbwt,GPGOMEA,582.3
1193_BNG_lowbwt,GPZGD,328.1
1193_BNG_lowbwt,PySIPS,401.967
1193_BNG_lowbwt,PySR,1156.2
1193_BNG_lowbwt,random,233.067
1193_BNG_lowbwt,Operon,214.167
1193_BNG_lowbwt,eggp,446
1193_BNG_lowbwt,QLattice,939.267
1193_BNG_lowbwt,slim_gsgp,739.833
1199_BNG_echoMonths,SymRegg,467.1
1199_BNG_echoMonths,GPGOMEA,505.333
1199_BNG_echoMonths,GPZGD,241.7
1199_BNG_echoMonths,PySIPS,276.233
1199_BNG_echoMonths,PySR,2375.87
1199_BNG_echoMonths,random,236.733
1199_BNG_echoMonths,Operon,221.633
1199_BNG_echoMonths,eggp,382.667
1199_BNG_echoMonths,QLattice,938.933
1199_BNG_echoMonths,slim_gsgp,774.133
192_vineyard,SymRegg,306.1
192_vineyard,GPGOMEA,174.067
192_vineyard,GPZGD,33.3333
192_vineyard,PySIPS,84.8333
192_vineyard,PySR,301.8
192_vineyard,random,211.667
192_vineyard,Operon,84.8333
192_vineyard,eggp,184.733
192_vineyard,QLattice,913.267
192_vineyard,slim_gsgp,742.1
210_cloud,SymRegg,287.067
210_cloud,GPGOMEA,304.533
210_cloud,GPZGD,43.8333
210_cloud,PySIPS,98.4
210_cloud,PySR,510.167
210_cloud,random,190.533
210_cloud,Operon,62.4
210_cloud,eggp,205.633
210_cloud,QLattice,921.267
210_cloud,slim_gsgp,706.167
522_pm10,SymRegg,387.5
522_pm10,GPGOMEA,528.433
522_pm10,GPZGD,137.967
522_pm10,PySIPS,159.967
522_pm10,PySR,1203.33
522_pm10,random,212.433
522_pm10,Operon,104.633
522_pm10,eggp,297.6
522_pm10,QLattice,935.5
522_pm10,slim_gsgp,721.2
557_analcatdata_apnea1,SymRegg,405.133
557_analcatdata_apnea1,GPGOMEA,273.6
557_analcatdata_apnea1,GPZGD,140.3
557_analcatdata_apnea1,PySIPS,294.533
557_analcatdata_apnea1,PySR,1418.2
557_analcatdata_apnea1,random,233.633
557_analcatdata_apnea1,Operon,82.4
557_analcatdata_apnea1,eggp,313.833
557_analcatdata_apnea1,QLattice,926.9
557_analcatdata_apnea1,slim_gsgp,620.533
579_fri_c0_250_5,SymRegg,385.633
579_fri_c0_250_5,GPGOMEA,593.467
579_fri_c0_250_5,GPZGD,102.5
579_fri_c0_250_5,PySIPS,145.833
579_fri_c0_250_5,PySR,495.833
579_fri_c0_250_5,random,200.667
579_fri_c0_250_5,Operon,33.9333
579_fri_c0_250_5,eggp,238.433
579_fri_c0_250_5,QLattice,890.433
579_fri_c0_250_5,slim_gsgp,696.333
606_fri_c2_1000_10,SymRegg,542.2
606_fri_c2_1000_10,GPGOMEA,539.933
606_fri_c2_1000_10,GPZGD,224.7
606_fri_c2_1000_10,PySIPS,202.433
606_fri_c2_1000_10,PySR,1089.73
606_fri_c2_1000_10,random,223.733
606_fri_c2_1000_10,Operon,90.2333
606_fri_c2_1000_10,eggp,384.233
606_fri_c2_1000_10,QLattice,905.4
606_fri_c2_1000_10,slim_gsgp,709.333
650_fri_c0_500_50,SymRegg,402.667
