gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,-967.5525,-1000.5344,-999.3169,-900.66626,-822.7429,-928.77747,-970.2004,-960.3497,-808.6271,-749.2422,20.794415,6.931472,9.656628,39.509388,43.668274,17.925001,11.907562,13.032525,23.591696,26.58284,11,5,6,19,21,11.253732,10.616667,10.754098,11.746268,11.956522
2,-998.9365,-1002.2793,-1001.8308,-968.4348,-964.12354,-942.90985,-965.7014,-961.30554,-922.0201,-869.9621,29.11218,14.334076,16.125835,43.668274,47.827156,19.806784,13.111993,15.801757,24.823753,36.832043,14,8,9,21,23,13.446602,12.462365,12.639535,14.58,14.75
3,-1000.52563,-1002.8491,-1002.4287,-997.0242,-992.75244,-940.3617,-965.2387,-961.3272,-914.1591,-896.0926,39.143948,14.4849415,19.4591,57.12784,64.462685,20.850555,16.001537,16.685919,30.152159,40.341362,18,9,11,26,29,15.930769,14.634147,14.784483,17.269503,17.425806
4,-1001.6941,-1003.3108,-1002.9966,-999.3181,-999.1782,-930.1059,-964.36426,-956.75366,-813.6421,3.4028235e38,47.827156,23.292873,25.296831,78.287895,81.29731,22.095358,14.151452,16.59622,99.27483,3.4028235e38,23,12,13,35,37,18.130682,16.883562,17.158228,19.419355,19.649214
5,-1002.48096,-1007.36475,-1004.83984,-1000.9761,-999.8406,-923.1384,-958.8061,-955.0114,-815.5667,3.4028235e38,54.485485,23.350922,25.296831,81.09822,85.69176,23.41767,15.2445345,16.59622,97.35048,3.4028235e38,26,13,14,37,39,19.980953,18.85326,19.010363,20.981482,21.19697
6,-1002.8777,-1008.1804,-1007.70996,-1001.71484,-1001.13403,-918.62,-953.584,-949.90326,3.4028235e38,3.4028235e38,56.14492,29.188652,33.08047,82.89307,87.49823,25.065786,15.614974,18.544043,3.4028235e38,3.4028235e38,27,15,16,38,39,21.368181,20.30841,20.436619,22.037344,22.35124
7,-1003.40063,-1010.9248,-1007.87866,-1002.32715,-1001.7727,-911.70325,-951.2249,-946.4416,3.4028235e38,3.4028235e38,66.77497,31.134562,35.350506,83.49454,87.888985,26.561237,18.011757,19.096563,3.4028235e38,3.4028235e38,31,16,18,38,39,22.142857,21.408257,21.531818,22.82061,22.969582
8,-1003.59863,-1011.15894,-1009.35596,-1002.52,-1002.09155,-910.21747,-948.94763,-945.23676,-811.6484,3.4028235e38,68.11396,35.026382,37.429947,85.69176,89.80082,26.45502,17.329727,18.851618,101.27541,3.4028235e38,31,17,18,39,39,22.740875,22.08225,22.18577,23.277193,23.410345
9,-1004.0532,-1012.125,-1010.428,-1002.7417,-1002.52,-911.8504,-947.04285,-941.51294,3.4028235e38,3.4028235e38,66.77497,35.026382,40.864113,85.69176,87.888985,26.355522,17.329727,19.051424,3.4028235e38,3.4028235e38,31,18,20,39,40,23.156462,22.5,22.743084,23.64982,23.82653
10,-1005.5261,-1013.593,-1010.9248,-1003.0525,-1002.7344,-908.08514,-946.1908,-937.3451,3.4028235e38,3.4028235e38,68.10686,37.429947,42.810024,85.19565,89.80082,27.873472,18.895903,20.385033,3.4028235e38,3.4028235e38,31,18,22,39,39,23.42268,22.937037,23.053192,23.910652,24.003534
11,-1006.2339,-1014.1953,-1012.125,-1003.072,-1002.749,-903.791,-945.23676,-934.02985,3.4028235e38,3.4028235e38,70.31119,37.429947,48.33894,87.888985,89.80082,28.519958,18.619047,21.4941,3.4028235e38,3.4028235e38,32,19,23,39,40,23.668896,23.142323,23.31119,24.046667,24.382637
12,-1007.57935,-1015.3867,-1013.593,-1003.28564,-1003.06885,-906.10425,-943.33124,-930.1039,3.4028235e38,3.4028235e38,70.70101,39.509388,48.33894,87.888985,92.1034,28.952065,16.62285,20.695253,3.4028235e38,3.4028235e38,33,19,22,40,40,23.851484,23.36,23.5,24.247492,24.389408
13,-1008.14355,-1015.8157,-1014.1953,-1003.77856,-1003.2385,-903.50323,-939.1701,-933.23047,3.4028235e38,3.4028235e38,72.50841,43.668274,48.33894,87.888985,92.1034,29.4236,19.34093,22.360758,3.4028235e38,3.4028235e38,33,21,24,40,40,24.003258,23.60473,23.68772,24.357376,24.51447
14,-1008.58154,-1019.0652,-1015.3867,-1003.85156,-1003.5823,-904.5557,-935.94556,-932.4869,3.4028235e38,3.4028235e38,72.78046,43.944492,48.647755,87.888985,92.1034,29.627417,19.34093,22.366827,3.4028235e38,3.4028235e38,33,21,25,40,40,24.128527,23.717041,23.792994,24.479233,24.633846
15,-1008.9702,-1023.83325,-1016.36206,-1004.5554,-1003.90137,-900.55676,-935.5187,-932.4869,3.4028235e38,3.4028235e38,74.705635,47.827156,54.06548,88.72212,92.1034,30.728867,21.154854,22.739464,3.4028235e38,3.4028235e38,34,23,25,40,40,24.22257,23.779936,23.847897,24.54088,24.717869
16,-1009.9265,-1029.9907,-1018.20703,-1005.09546,-1004.1614,-900.82806,-935.5187,-932.4869,3.4028235e38,3.4028235e38,78.287895,48.33894,54.930614,87.888985,89.80082,31.481236,21.154854,22.829288,3.4028235e38,3.4028235e38,36,24,26,39,40,24.318644,23.892744,23.958334,24.628399,24.757765
