-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
17,154676,-408.48306,-321.78418,0.0009736569,0.0012084047,0.9717598,0.87807155,-408.48306,-195.70038,25.944,Inf,32,"(abs(-0.9373996) ^ (sqrt(abs(-80.9292)) + ((sqrt(abs(X2)) / ((sqrt(abs(-9.637764)) + ((327.5042 * 471.02988) / (((-254134.88 / X1) + 2458.6501) + 2488.5686))) + 0.9528165)) / (((0.6908379 / X1) + -0.8761213) + 0.88084984)))) [likelihood params: Float32[]]"
18,164085,-408.48306,-321.78418,0.0009736569,0.0012084047,0.9717598,0.87807155,-408.48306,-195.70038,28.5,Inf,32,"(abs(-0.9373996) ^ (sqrt(abs(-80.9292)) + ((sqrt(abs(X2)) / ((sqrt(abs(-9.637764)) + ((327.5042 * 471.02988) / (((-254134.88 / X1) + 2458.6501) + 2488.5686))) + 0.9528165)) / (((0.6908379 / X1) + -0.8761213) + 0.88084984)))) [likelihood params: Float32[]]"
19,172871,-408.48306,-321.78418,0.0009736569,0.0012084047,0.9717598,0.87807155,-408.48306,-195.70038,29.598,Inf,32,"(abs(-0.9373996) ^ (sqrt(abs(-80.9292)) + ((sqrt(abs(X2)) / ((sqrt(abs(-9.637764)) + ((327.5042 * 471.02988) / (((-254134.88 / X1) + 2458.6501) + 2488.5686))) + 0.9528165)) / (((0.6908379 / X1) + -0.8761213) + 0.88084984)))) [likelihood params: Float32[]]"
20,181051,-418.03467,-243.13803,0.00094043394,0.0021530855,0.9727234,0.78275293,-418.03467,-39.828033,31.086,Inf,55,"(abs(-0.9544459) ^ (sqrt(abs(-2.9730592)) + ((sqrt(abs((((79347.13 / X2) - ((sqrt(abs(23.135134)) + ((0.025691366 * 0.042415757) * (((-125149.125 / X1) + -27507.932) + (((-42410.496 / X1) + -26366.402) + X1)))) * sqrt(abs((exp(((-123.83314 / X1) + 11.107228)) + sqrt(abs(349813.1))))))) + -13340.782))) / (-4056.605 / X2)) / (((-0.20804457 / X1) + -0.8803274) + 0.8743016)))) [likelihood params: Float32[]]"
21,189247,-425.39624,-256.89096,0.0009148285,0.0020311582,0.9734661,0.79505545,-425.39624,-59.946075,34.508,Inf,55,"(abs(-0.95383793) ^ (sqrt(abs(0.0008516857)) + ((sqrt(abs((((82649.03 / X2) - ((sqrt(abs(21.676113)) + ((0.025100004 * 0.04143955) * (((-124779.08 / X1) + -27644.7) + (((-42040.246 / X1) + -26503.219) + X1)))) * sqrt(abs((exp(((-148.57396 / X1) + 11.060173)) + sqrt(abs(349784.3))))))) + -12964.915))) / (-3938.1316 / X2)) / (((-0.15381785 / X1) + -0.88029474) + 0.8743343)))) [likelihood params: Float32[]]"
22,196434,-425.52646,-236.74005,0.00091437553,0.0020170666,0.9734792,0.7964773,-425.52646,-62.27118,35.702,Inf,55,"(abs(-0.9538094) ^ (sqrt(abs(1.7827843e-7)) + ((sqrt(abs((((82719.95 / X2) - ((sqrt(abs(21.752752)) + ((0.025077304 * 0.041402075) * (((-124766.28 / X1) + -27636.785) + (((-42027.434 / X1) + -26495.305) + X1)))) * sqrt(abs((exp(((-149.31847 / X1) + 11.058636)) + sqrt(abs(349782.62))))))) + -12956.987))) / (-3935.6277 / X2)) / (((-0.15285882 / X1) + -0.88029397) + 0.87433505)))) [likelihood params: Float32[]]"
23,203084,-435.4828,-280.09293,0.0008797449,0.001836528,0.97448367,0.8146937,-435.4828,-92.06003,40.236,Inf,49,"(abs(-0.95383066) ^ (sqrt(abs(0.00013316478)) + ((sqrt(abs((((76561.76 / X2) - ((sqrt(abs(2436.0234)) + ((0.15090103 * 0.2491342) * (((-123079.125 / X1) + -80148.88) + (sqrt(abs(X1)) + X1)))) * sqrt(abs((-3.3718379 + (sqrt(abs(X1)) - 1.24686)))))) + -13448.042))) / (-3924.0723 / X2)) / (((-0.14647895 / X1) + -0.8802032) + 0.8744258)))) [likelihood params: Float32[]]"
24,209743,-435.52307,-263.2954,0.00087960466,0.0018398664,0.9744877,0.81435686,-435.52307,-91.50922,43.248,Inf,49,"(abs(-0.9538226) ^ (sqrt(abs(1.385489e-7)) + ((sqrt(abs((((76564.17 / X2) - ((sqrt(abs(2433.6787)) + ((0.1509106 * 0.24914996) * (((-123079.055 / X1) + -80154.65) + (sqrt(abs(X1)) + X1)))) * sqrt(abs((-3.3727956 + (sqrt(abs(X1)) - 1.2478175)))))) + -13448.844))) / (-3923.3728 / X2)) / (((-0.14616685 / X1) + -0.8802032) + 0.8744258)))) [likelihood params: Float32[]]"
25,216447,-435.52307,-263.2954,0.00087960466,0.0018398664,0.9744877,0.81435686,-435.52307,-91.50922,46.302,Inf,49,"(abs(-0.9538226) ^ (sqrt(abs(1.385489e-7)) + ((sqrt(abs((((76564.17 / X2) - ((sqrt(abs(2433.6787)) + ((0.1509106 * 0.24914996) * (((-123079.055 / X1) + -80154.65) + (sqrt(abs(X1)) + X1)))) * sqrt(abs((-3.3727956 + (sqrt(abs(X1)) - 1.2478175)))))) + -13448.844))) / (-3923.3728 / X2)) / (((-0.14616685 / X1) + -0.8802032) + 0.8744258)))) [likelihood params: Float32[]]"
26,223333,-435.52307,-263.2954,0.00087960466,0.0018398664,0.9744877,0.81435686,-435.52307,-91.50922,48.426,Inf,49,"(abs(-0.9538226) ^ (sqrt(abs(1.385489e-7)) + ((sqrt(abs((((76564.17 / X2) - ((sqrt(abs(2433.6787)) + ((0.1509106 * 0.24914996) * (((-123079.055 / X1) + -80154.65) + (sqrt(abs(X1)) + X1)))) * sqrt(abs((-3.3727956 + (sqrt(abs(X1)) - 1.2478175)))))) + -13448.844))) / (-3923.3728 / X2)) / (((-0.14616685 / X1) + -0.8802032) + 0.8744258)))) [likelihood params: Float32[]]"
