gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.0012756098,0.0012115508,0.0012198763,0.0031953033,0.0039383713,0.0016009415,0.0014100578,0.001445809,0.008965148,0.055955976,-321.67157,-340.08856,-337.69498,230.24023,443.87244,-282.2118,-316.48953,-310.22098,256.79984,477.38214,10,5,6,16,18
2,0.0012307166,0.0012076084,0.0012129268,0.0017300756,0.002145124,0.0014683184,0.0014121317,0.0014392884,0.008965139,0.010107399,-334.5784,-341.22202,-339.69296,-191.01266,-71.68628,-295.8646,-316.48953,-313.21423,-162.43764,-41.630722,11,5,6,17,21
3,0.0012301059,0.0011548861,0.0012112064,0.0013413589,0.0016889779,0.0014676077,0.001425165,0.0014392884,0.008965139,0.008968038,-334.75397,-356.37967,-340.18756,-302.76874,-202.82825,-298.50507,-316.48965,-314.47736,-241.71918,-162.43764,11,5,6,18,22
4,0.0012241855,0.0011454814,0.0011809769,0.0012307178,0.0013413585,0.0014683353,0.0014136222,0.0014373736,0.008965274,0.020084683,-336.4561,-359.0835,-348.87857,-334.57806,-302.76886,-299.3211,-316.4896,-314.25955,-273.79077,-226.8954,12,6,7,18,21
5,0.001219876,0.0011304632,0.0011509875,0.0012307167,0.0012370012,0.0014683353,0.0013924838,0.0014242886,0.008965274,0.025603063,-337.69504,-363.40125,-357.50052,-334.57837,-332.7716,-298.59857,-316.4896,-314.62994,-268.80005,-251.3925,13,7,8,22,25
6,0.0012146736,0.0009977253,0.0011351564,0.0012307159,0.0012307167,0.0014928455,0.0013617078,0.0014183128,0.012881041,0.07896568,-339.19077,-401.56342,-362.05197,-334.57858,-334.57837,-299.3211,-317.49185,-314.89508,-268.80005,-256.3526,14,7,8,26,30
7,0.0012120944,0.00096637045,0.0010904591,0.0012307154,0.001230716,0.001506962,0.0013076136,0.0014022812,0.014752948,0.037565053,-339.93228,-410.5779,-374.90244,-334.57874,-334.57855,-301.24582,-321.3103,-316.46436,-271.583,-268.25372,15,8,8,24,31
8,0.0012102892,0.0009515735,0.0010704974,0.0012287908,0.0012307158,0.001506962,0.0013174757,0.0013769309,0.012367532,0.017289417,-340.4513,-414.83203,-380.64142,-335.13205,-334.5786,-299.32758,-349.4751,-317.49185,-269.51575,-267.80408,15,8,9,26,33
9,0.0011996204,0.00094897166,0.0010061141,0.00122354,0.0012307152,0.0015066379,0.0011821633,0.0013378827,0.010142914,0.016504744,-343.51852,-415.58008,-399.15164,-336.64166,-334.5788,-298.18893,-360.06235,-321.68277,-271.8406,-267.38617,16,8,10,30,36
10,0.0011678879,0.00089256186,0.0009575903,0.0012198763,0.0012301058,0.0015066379,0.0011438609,0.0013314605,0.011004644,0.0356225,-352.64163,-431.79788,-413.1022,-337.69498,-334.754,-299.54892,-365.52515,-334.705,-271.25214,-263.22192,17,8,10,30,35
11,0.001159712,0.00089256186,0.0009575903,0.0012198756,0.0012250178,0.0015754347,0.0011438789,0.0012426157,0.010142914,0.053654734,-354.99222,-431.79788,-413.1022,-337.69516,-336.2168,-300.73297,-365.52515,-335.32968,-267.38617,-235.98843,18,9,10,30,35
12,0.0011318142,0.00083744136,0.0009141711,0.0012152352,0.0012203462,0.0016313975,0.0011438789,0.0012722863,0.019450774,0.056009896,-363.01285,-447.64502,-425.58524,-339.0293,-337.5599,-296.8962,-366.58014,-343.69318,-261.6816,-233.25327,20,9,12,35,44
13,0.001101843,0.0008316883,0.00090056664,0.0012132344,0.0012203462,0.0016712263,0.0011476788,0.0012764925,0.0329012,0.056009896,-371.62958,-449.299,-429.49652,-339.60452,-337.5599,-297.50232,-368.9392,-353.7294,-255.95972,-237.4734,21,10,13,36,38
14,0.0010905183,0.00079587754,0.00089146936,0.001212898,0.0012198762,0.0017026027,0.0011032565,0.0011961802,0.020538978,0.042516053,-374.8854,-459.5946,-432.11197,-339.70126,-337.695,-296.8962,-369.28287,-361.86194,-250.32698,-235.72562,23,10,13,37,44
15,0.0010831872,0.0007382525,0.00084960664,0.0012106193,0.0012159194,0.0017743042,0.0010946108,0.0011091651,0.021934345,0.042516053,-376.9931,-476.1618,-444.14752,-340.35635,-338.8326,-300.2337,-373.3713,-366.58014,-249.77396,-224.26071,23,11,14,41,48
16,0.001045054,0.00072797353,0.0007672066,0.0012059916,0.001213676,0.0018185867,0.0010946108,0.0011091651,0.034622204,0.06838016,-387.9564,-479.117,-467.83752,-341.6868,-339.47757,-300.50894,-374.92822,-366.58014,-251.3859,-224.26071,24,11,14,43,46
17,0.0009987411,0.00069171126,0.000754286,0.0012046659,0.001213676,0.001664366,0.001023363,0.0011031416,0.039271582,0.076498196,-401.27133,-489.54242,-471.5522,-342.068,-339.47757,-302.72025,-378.74274,-366.58014,-252.30664,-224.26071,26,12,14,44,50
18,0.0009909977,0.00068587123,0.00073748495,0.0011874051,0.001213676,0.0014662136,0.0010066426,0.0010946108,0.035095684,0.09173544,-403.4976,-491.22144,-476.3825,-347.03046,-339.47757,-310.94574,-384.85907,-369.28287,-245.86183,-206.42702,28,13,14,45,51
19,0.0009909977,0.00064424356,0.00072375854,0.001187362,0.0012117835,0.0014677455,0.0009788795,0.0010945541,0.035095684,0.11326181,-403.4976,-503.1894,-480.32886,-347.04285,-340.02164,-310.81985,-383.61032,-368.9392,-245.86183,-209.17719,28,13,14,46,55
20,0.0009883243,0.00056069344,0.00068604253,0.001174591,0.0011924143,0.0016414647,0.001041765,0.0010945795,0.029788118,0.09173544,-404.26617,-527.2101,-491.17218,-350.7145,-345.59027,-310.24225,-385.23233,-372.62985,-224.6987,-201.75688,28,14,15,52,57
21,0.00097517244,0.0005350135,0.0006410248,0.0011674862,0.0011924143,0.0018074239,0.0010572587,0.0010986368,0.031355888,0.09173544,-408.04733,-534.593,-504.1148,-352.75714,-345.59027,-310.81985,-390.1775,-373.3713,-221.67917,-192.3636,28,14,15,57,74
22,0.0009488153,0.00052410376,0.0006060347,0.0011547463,0.0011825202,0.0017595978,0.00097389973,0.0010960174,0.021267919,0.069754675,-415.62503,-537.7296,-514.17444,-356.41986,-348.43488,-310.24225,-392.37244,-383.39642,-201.72818,-92.48759,32,15,16,69,83
23,0.0009484056,0.0004946576,0.00057006854,0.0011530676,0.0011624492,0.0017431317,0.0009474085,0.0010871895,0.021267919,0.06833566,-415.7428,-546.1954,-524.5147,-356.9025,-354.20523,-307.46906,-402.93546,-387.59946,-213.419,-188.14066,33,15,16,69,83
24,0.00091925537,0.0004789913,0.0005350135,0.0011522045,0.0011624484,0.0017431317,0.000912207,0.001041765,0.027664088,0.08880482,-424.1235,-550.6994,-534.593,-357.15063,-354.2055,-305.0651,-407.15643,-391.19684,-199.97714,-141.12883,35,15,16,78,86
25,0.00089468446,0.0004436187,0.00052410376,0.0011509069,0.0011622428,0.0016950468,0.0009124071,0.0010960174,0.035095684,0.06833566,-431.18765,-560.869,-537.7296,-357.52368,-354.2646,-307.46906,-418.0954,-392.37244,-195.58296,-163.24313,36,15,16,78,86
26,0.000875107,0.00044361877,0.00051679224,0.0011483098,0.0011547458,0.0016950468,0.00087370095,0.0010351961,0.035095684,0.0723725,-436.81616,-560.869,-539.83167,-358.27036,-356.42,-307.41486,-418.0954,-392.37244,-186.69302,-161.59358,38,15,17,80,89
27,0.000858495,0.00044218815,0.00051679224,0.0011483098,0.0011539654,0.0019512486,0.00086351315,0.0010351961,0.035095684,0.09173544,-441.5921,-561.28033,-539.83167,-358.27036,-356.64438,-305.078,-418.0954,-394.3065,-186.9686,-97.6349,39,16,18,84,95
28,0.0008548476,0.00043847482,0.0005092485,0.0011483098,0.0011539654,0.001670998,0.00073477556,0.0009684392,0.035095684,0.072443716,-442.64075,-562.3479,-542.0005,-358.27036,-356.64438,-300.4045,-418.0954,-396.76913,-181.36798,-54.218033,40,16,18,85,97
