-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
21,140717,211.48933,260.1822,0.0011605708,0.0012991314,0.9663385,0.8689172,211.48933,121.38562,27.062,Inf,21,"((-0.7613637 - exp(-0.6393609)) - (sin((11.248028 / (X1 - -2.3496423))) ^ ((15.033352 / (X1 * X2)) + (0.91677946 + -0.60393405)))) [likelihood params: Float32[]]"
22,147502,211.48933,260.1822,0.0011605708,0.0012991314,0.9663385,0.8689172,211.48933,121.38562,28.618,Inf,21,"((-0.7613637 - exp(-0.6393609)) - (sin((11.248028 / (X1 - -2.3496423))) ^ ((15.033352 / (X1 * X2)) + (0.91677946 + -0.60393405)))) [likelihood params: Float32[]]"
23,154042,211.48933,260.1822,0.0011605708,0.0012991314,0.9663385,0.8689172,211.48933,121.38562,29.392,Inf,21,"((-0.7613637 - exp(-0.6393609)) - (sin((11.248028 / (X1 - -2.3496423))) ^ ((15.033352 / (X1 * X2)) + (0.91677946 + -0.60393405)))) [likelihood params: Float32[]]"
24,160275,211.48933,260.1822,0.0011605708,0.0012991314,0.9663385,0.8689172,211.48933,121.38562,30.018,Inf,21,"((-0.7613637 - exp(-0.6393609)) - (sin((11.248028 / (X1 - -2.3496423))) ^ ((15.033352 / (X1 * X2)) + (0.91677946 + -0.60393405)))) [likelihood params: Float32[]]"
25,167023,211.46652,289.44992,0.000962294,0.0010883478,0.9720894,0.89018536,211.46652,121.37171,31.05,Inf,33,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.0842139) - -0.3244382) ^ ((-23.134268 / (X1 * X2)) + (0.4944569 + ((1.5001224 / (X2 * 2.6240194)) + (((log(2.366355) / X1) + 0.24157858) + -1.1623368)))))) [likelihood params: Float32[]]"
26,174190,211.45667,289.66705,0.000876477,0.0009514667,0.97457844,0.9039967,211.45667,121.36268,32.206,Inf,33,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.08517169) - -0.30885705) ^ ((-36.968918 / (X1 * X2)) + (0.47859684 + ((1.7882031 / (X2 * 2.1961749)) + (((log(41.092648) / X1) + 0.22571856) + -1.1781968)))))) [likelihood params: Float32[]]"
27,181159,211.44887,290.24432,0.0008087192,0.000859658,0.9765437,0.9132602,211.44887,121.35662,33.032,Inf,33,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.06655924) - -0.42740768) ^ ((-63.57739 / (X1 * X2)) + (0.4437835 + ((2.211579 / (X2 * 1.7678124)) + (((log(1051.3347) / X1) + 0.19090518) + -1.2130101)))))) [likelihood params: Float32[]]"
28,187860,211.4395,296.42572,0.0007272299,0.0009557701,0.9789072,0.9035625,211.4395,121.36296,34.258,Inf,35,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.012291904) - -0.88919824) ^ ((-268.76416 / (X1 * X2)) + (0.88159394 + ((2.9854684 / (X2 * 0.7925866)) + (((log(3109.7368) / X1) + 0.62849027) + (-3.4056334 - -0.61301523))))))) [likelihood params: Float32[]]"
29,194633,211.4395,296.42572,0.0007272299,0.0009557701,0.9789072,0.9035625,211.4395,121.36296,33.884,Inf,35,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.012291904) - -0.88919824) ^ ((-268.76416 / (X1 * X2)) + (0.88159394 + ((2.9854684 / (X2 * 0.7925866)) + (((log(3109.7368) / X1) + 0.62849027) + (-3.4056334 - -0.61301523))))))) [likelihood params: Float32[]]"
30,202099,211.4395,296.42572,0.0007272299,0.0009557701,0.9789072,0.9035625,211.4395,121.36296,34.332,Inf,35,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.012291904) - -0.88919824) ^ ((-268.76416 / (X1 * X2)) + (0.88159394 + ((2.9854684 / (X2 * 0.7925866)) + (((log(3109.7368) / X1) + 0.62849027) + (-3.4056334 - -0.61301523))))))) [likelihood params: Float32[]]"
31,209527,211.4395,296.42572,0.0007272299,0.0009557701,0.9789072,0.9035625,211.4395,121.36296,34.494,Inf,35,"((-0.16382015 - exp(-0.6393609)) - (((X1 * 0.012291904) - -0.88919824) ^ ((-268.76416 / (X1 * X2)) + (0.88159394 + ((2.9854684 / (X2 * 0.7925866)) + (((log(3109.7368) / X1) + 0.62849027) + (-3.4056334 - -0.61301523))))))) [likelihood params: Float32[]]"
32,217709,211.43459,295.36093,0.0006844687,0.00078711257,0.9801475,0.9205801,211.43459,121.35183,34.98,Inf,35,"(sin((76.62257 / (X1 - -48.338608))) ^ (((((((-734.00256 - sin((1053.0924 / X1))) / X1) + (-3.8414943 * X1)) - exp(-15.043538)) + (log(523.03503) - -293.2699)) / (X1 * X2)) + (1.1762253 + 0.08216369))) [likelihood params: Float32[]]"
