gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.031826064,0.017654758,0.021243999,0.035712022,0.039443042,0.029152853,0.01828168,0.020548409,0.036814556,0.039520003,-298.02905,-644.43884,-556.7018,-203.03894,-111.83624,-277.7392,-599.99,-533.79425,-180.41331,-102.20478,9,4,4,16,19,6.02,5.714,5.746,6.274,6.338
2,0.027029831,0.013539709,0.015402176,0.034788206,0.035712022,0.027290516,0.0094235595,0.014165425,0.03306919,0.03542836,-415.27032,-745.0288,-699.50183,-225.62115,-203.03894,-386.85672,-705.44934,-665.2576,-213.86346,-180.41331,9,4,5,17,20,5.782,5.284,5.376,6.232,6.278
3,0.02473334,0.012241429,0.01518092,0.03196026,0.034788217,0.024094347,0.009228796,0.012879528,0.033068884,0.03306919,-471.40674,-776.76465,-704.91034,-294.74872,-225.62085,-441.71133,-723.4816,-675.3094,-270.21887,-213.86359,9,5,6,17,19,5.46,4.912,5.006,5.99,6.186
4,0.021764366,0.008321036,0.012775641,0.03140021,0.031826086,0.021482166,0.008033257,0.00861246,0.028963061,0.03310511,-543.9817,-872.59644,-763.70605,-308.43878,-298.02856,-507.35474,-807.2223,-708.96405,-285.89133,-277.73853,11,6,7,19,23,4.944,4.288,4.394,5.69,6.04
5,0.020732144,0.008099141,0.012411616,0.029460195,0.0310666,0.020548407,0.008033257,0.008337237,0.028486583,0.032596733,-569.21375,-878.0205,-772.6045,-355.8614,-316.59375,-529.0332,-815.4365,-713.68066,-338.75546,-296.51938,12,7,7,19,23,4.232,3.556,3.644,5.218,5.394
6,0.019890372,0.0068535693,0.009119031,0.027122376,0.029460195,0.018694242,0.006682726,0.008198643,0.027433617,0.03448137,-589.79047,-908.46783,-853.08984,-413.00812,-355.8614,-547.252,-852.26276,-794.66144,-388.5899,-330.80737,12,7,8,19,23,3.904,3.03,3.246,5.012,5.538
7,0.01780231,0.0068535693,0.008308421,0.025421552,0.028932327,0.016850797,0.006682726,0.0080808755,0.02705635,0.034109052,-640.832,-908.46783,-872.9048,-454.5838,-368.7649,-595.4359,-852.26276,-817.5626,-431.54672,-334.53302,13,7,8,20,24,3.942,2.866,3.066,5.31,6.074
8,0.015124003,0.0053196927,0.0067461845,0.024275215,0.026756912,0.01458691,0.0049370844,0.00672767,0.026014566,0.028720675,-706.30164,-945.9626,-911.0928,-482.6054,-421.94165,-659.892,-886.894,-852.26276,-451.6162,-404.41956,13,7,8,23,24,4.316,2.89,3.258,6.78,7.142
9,0.013663992,0.005023302,0.0060901926,0.021931535,0.026756912,0.0114507945,0.004799312,0.005908491,0.02441427,0.027056755,-741.99084,-953.2077,-927.1282,-539.8953,-421.94165,-695.69855,-892.70575,-859.95215,-501.65762,-404.41956,15,7,8,24,25,4.896,3.258,3.722,7.734,8.524
10,0.012353015,0.0039823577,0.005023302,0.020967538,0.024275215,0.010735827,0.0036554318,0.0040622456,0.024093956,0.027290614,-774.0369,-978.653,-953.2077,-563.4597,-482.6054,-726.5003,-926.3888,-892.20624,-537.6228,-450.96387,15,7,8,24,25,5.608,3.542,4.216,9.012,10.36
