gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.78247803,0.50418186,0.5693183,0.84169805,0.8416985,0.75052226,0.49265185,0.51451635,0.8459991,0.88424224,863.3317,716.9686,758.5663,888.9586,888.9588,873.6489,741.31494,777.1557,918.0435,921.3241,12.542316,3.295837,3.295837,29.11218,35.96843,5.3268604,3.0486627,4.766913,9.54317,11.177599,7,3,3,14,15,5.954,5.572,5.71,6.176,6.214
2,0.72159183,0.50076205,0.5007621,0.8232569,0.82350475,0.66626775,0.48967603,0.49265185,0.8493635,0.8548855,836.3566,715.77527,715.7753,881.5706,881.671,858.40936,727.8547,737.8768,891.81616,894.2263,11.266066,3.295837,5.5451775,26.366695,28.56392,6.383911,4.5596666,4.5634136,9.890049,12.080133,7,3,4,12,13,5.82,5.192,5.51,6.128,6.15
3,0.62959415,0.4328695,0.50076205,0.7838886,0.81060076,0.63192326,0.48967603,0.49265185,0.8459826,0.8493635,792.1283,666.18585,715.77527,865.22864,876.4038,813.65564,689.6462,727.85474,886.09576,891.81616,13.621371,5.5451775,5.5451775,26.366695,28.56392,6.534236,5.1304016,5.2130775,11.147146,12.194271,7,4,4,12,13,5.988,5.364,5.482,6.608,6.676
4,0.5946832,0.4328695,0.50066,0.7648974,0.78036845,0.60944945,0.4556877,0.49177918,0.80550015,0.84894717,773.1032,666.18585,715.7074,857.0495,863.72766,797.5249,689.6462,727.85474,880.12415,887.1747,15.567281,5.5451775,5.5451775,26.366695,26.366695,6.707916,4.9869976,5.1304016,12.298522,12.369152,8,4,4,12,12,6.47,5.64,5.932,7.322,7.398
5,0.56931823,0.43286934,0.46777752,0.76324964,0.7648974,0.5373465,0.4556877,0.4913429,0.7592941,0.80550015,758.5662,666.1858,693.05115,856.3303,857.0495,777.92664,689.6436,727.4924,879.21423,887.1747,15.567281,5.5451775,5.5451775,26.366695,26.366695,7.504916,4.9869976,5.2130775,12.191747,12.298522,8,4,4,12,12,7.31,5.926,6.466,8.334,8.356
6,0.56168336,0.43286934,0.45667592,0.75243986,0.76324964,0.51506984,0.4556877,0.46056694,0.7335146,0.7592941,752.933,666.1858,685.041,851.57324,856.33026,775.0958,689.6436,715.67444,867.0885,887.1747,16.125835,5.5451775,6.931472,31.134562,33.271065,8.220451,5.0394287,5.2130766,12.298522,15.423939,9,4,5,16,16,8.016,6.414,6.912,9.624,9.666
7,0.55078036,0.42851812,0.45521265,0.75243986,0.76324964,0.5137401,0.4556877,0.45568815,0.69562906,0.7592941,747.5262,662.8215,683.97064,851.57324,856.33026,775.27924,689.6436,702.8581,867.0885,878.5635,16.125835,5.5451775,9.656628,33.271065,43.944492,8.56457,5.0394287,5.2130766,15.390923,16.981203,9,4,6,16,20,9.206,6.882,7.358,11.486,11.62
8,0.50418174,0.3596478,0.42851812,0.7325139,0.73784983,0.50810856,0.38125277,0.43709004,0.6566437,0.7592941,716.9685,605.3849,662.8215,842.6225,845.04297,746.613,650.21356,699.4004,860.83295,867.0885,19.4591,5.5451775,9.656628,41.58883,52.73339,9.54317,5.2130766,6.436445,16.981203,18.127594,10,4,6,20,24,10.352,7.768,8.244,13.068,13.252
9,0.50418174,0.29808784,0.39946303,0.71007645,0.7325139,0.50810856,0.33080098,0.4349314,0.6566437,0.69587356,716.9685,541.9608,640.40106,830.99963,842.6225,746.59863,596.1031,692.45874,855.01807,867.0885,21.405012,5.5451775,9.656628,43.944492,55.262043,9.533053,5.2442636,6.436445,23.808756,25.041925,11,4,6,20,24,11.524,8.744,9.568,14.81,15.042
10,0.5006604,0.29404277,0.39946303,0.59968185,0.71007645,0.5034851,0.3156293,0.40156886,0.657784,0.6956388,715.70764,538.218,640.40106,775.8948,830.99963,743.5982,596.1031,692.45874,845.9005,860.07733,23.350922,9.656628,9.656628,43.944492,55.262043,9.725508,5.340918,6.3612456,25.041925,25.296906,12,6,6,22,24,12.738,9.654,10.45,16.236,17.084
11,0.5006602,0.28808603,0.39946303,0.59968185,0.69150424,0.49966216,0.3156293,0.40156886,0.657784,0.6956388,715.7075,530.8237,640.40106,775.8948,822.1741,753.4016,598.91705,699.4004,860.07733,864.5925,37.352818,9.656628,14.334076,62.122665,64.74317,11.226007,6.3612456,7.073186,17.55714,20.47076,18,6,8,26,27,14.302,11.452,12.002,18.986,19.296
12,0.49683133,0.2861174,0.3509014,0.56835574,0.59967595,0.49966216,0.31374076,0.3789962,0.55364454,0.6390165,713.1472,529.1058,597.1741,758.00195,775.8915,745.8233,597.3948,661.8414,804.6308,854.67377,37.429947,9.656628,14.334076,84.486824,86.97173,14.213026,7.1119933,9.534126,23.967314,26.350697,18,6,8,34,35,15.77,12.482,13.016,20.632,21.534
13,0.45867425,0.27942255,0.31520563,0.5300186,0.55518144,0.45098662,0.3117503,0.31850132,0.55364794,0.6953695,686.4971,521.2095,560.55457,733.61035,750.18054,755.51666,591.2907,615.7967,812.7362,833.4858,48.33894,14.334076,17.917595,91.94154,109.33589,16.317867,9.175941,9.534126,28.911726,32.00378,22,8,10,37,44,17.43,14.028,14.39,21.71,23.708
14,0.44042608,0.27942234,0.31520563,0.51963145,0.52230984,0.42215034,0.27573726,0.3156293,0.54567266,0.55364794,672.95776,521.2092,560.55457,727.0195,729.8257,745.8233,588.81177,615.7967,808.1791,808.6209,46.141716,14.4849415,31.134562,95.91581,109.33589,16.104641,6.4941545,8.884901,28.911726,34.138096,22,9,15,40,44,19.172,15.284,15.976,23.408,25.76
15,0.42982867,0.27942234,0.31520563,0.49547035,0.49612212,0.42369702,0.27573726,0.3156293,0.5456623,0.55364794,663.8384,521.2092,560.55457,711.6023,712.2324,719.58374,588.81177,615.7967,808.6209,817.9469,49.906597,17.917595,26.876392,95.91581,109.33589,16.468666,6.1209006,9.470194,34.909164,44.513588,23,10,15,40,44,20.462,16.76,17.216,25.474,27.468
16,0.41297036,0.19768588,0.28808603,0.491989,0.49547035,0.38951162,0.22421981,0.310061,0.5269786,0.5456623,651.49146,405.1948,530.5958,709.88086,712.2324,719.58374,520.2581,591.2909,776.01324,808.1791,52.73339,23.292873,31.134562,109.33589,113.738106,17.814804,7.1372046,10.111777,32.227715,32.36147,24,13,16,42,44,21.696,18.178,18.51,26.69,27.072
