id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,21.319614642441266,"t[0]",21.319614642441266,1,252.18065566897874,259.8409085670903,249.3360224164447,259.8409085670903,-2.220446049250313e-16,-2.477731391286042e-4,-4.281519386480914e-3,252.18065566897874,259.8409085670903,249.3360224164447
1,0,(21.67961464244126 - x0),"(t[0] - x[:, 0])",21.67961464244126,3,242.52014768514167,250.6600802682042,240.0686685589084,250.6600802682042,3.830788669420304e-2,3.509347898385062e-2,3.304574733791554e-2,245.815984551146,253.95591713420853,243.36450542491272
2,0,Exp((3.348144831441732 - x0)),"np.exp((t[0] - x[:, 0]))",3.348144831441732,4,149.25039501242523,163.59421050363252,149.70748868995437,163.59421050363252,0.4081608098904438,0.37025025944880363,0.39700464157574655,154.79557245690478,169.13938794811207,155.25266613443392
3,0,(29.04619552123862 / (3.8301972353841403 ^ x0)),"(t[0] / t[1] ** x[:, 0])",29.04619552123862;3.8301972353841403,5,146.0282468570202,160.78646002625723,146.82434485705818,160.78646002625723,0.4209379523197764,0.381058588968633,0.4086174363939563,152.95971866261965,167.71793183185667,153.75581666265762
4,0,(Exp((34559.36329797517 ^ x0)) * -0.32082297787388503),"(np.exp(t[0] ** x[:, 0]) * t[1])",34559.36329797517;-0.32082297787388503,6,Infinity,Infinity,Infinity,160.69851048531243,-Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity
5,0,(((x3 + -21.12038548943029) * x0) + (29.068761504813907 - x8)),"(((x[:, 3] + t[0]) * x[:, 0]) + (t[1] - x[:, 8]))",-21.12038548943029;29.068761504813907,9,144.69530624138739,159.50634479289587,145.60139823224804,159.50634479289587,0.4262236099849007,0.3859863442577913,0.41354324969036627,162.2084975828852,177.0195361343937,163.11458957374586
6,0,(((x0 * -20.078747103629535) + 30.102373375259656) - Exp((x8 * Exp(x3)))),"(((x[:, 0] * t[0]) + t[1]) - np.exp((x[:, 8] * np.exp(x[:, 3]))))",-20.078747103629535;30.102373375259656,11,143.0964450024308,158.20542173403211,144.2466192849043,158.20542173403211,0.4325637522718464,0.3909941984860944,0.41900006032881754,165.970301960909,181.07927869251031,167.1204762433825
