gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.10523298,0.086098224,0.09297434,0.110848986,0.111645505,0.14003524,0.11519626,0.12929733,0.16209388,0.17787667,208.42913818359375,137.08457946777344,164.39935302734375,226.9123077392578,229.4576416015625,229.34930419921875,174.9114532470703,193.673095703125,250.13336181640625,259.4344787597656,8.04719,3.295837,3.295837,26.366695,35.96843,8.44038,6.2505126,6.9194307,13.268236,15.816961,5,3,3,12,16,9.0,8.157895,8.428572,9.583333,9.916667
2,0.09959716,0.065258086,0.079938546,0.109001525,0.10974561,0.14091821,0.12067479,0.12929733,0.16407567,0.17743893,188.861328125,38.561737060546875,110.69557189941406,220.9374542236328,223.35597229003906,218.3852996826172,58.02490997314453,140.78604125976562,249.2027587890625,259.89947509765625,14.334076,3.295837,5.5451775,35.155594,39.143948,10.067375,6.6437006,7.320053,18.107811,21.14553,8,3,4,16,17,10.211538,9.313725,9.5,11.285714,11.557377
3,0.097242564,0.061284453,0.065258086,0.10784717,0.109081574,0.14243384,0.1082122,0.12907705,0.16487516,0.17288306,180.35594177246094,16.227874755859375,38.561737060546875,217.15252685546875,221.19845581054688,209.7128448486328,50.75043487548828,97.0870361328125,251.1970672607422,264.8340759277344,20.794415,5.4930615,6.931472,41.58883,48.354286,11.297072,7.3515806,8.011467,23.037966,26.966967,11,4,5,18,21,11.794118,10.3970585,10.642858,13.263158,13.493827
4,0.09136594,0.06117122,0.061397225,0.10398146,0.10704269,0.14325677,0.123896,0.12907705,0.16344996,0.17422433,158.195556640625,15.570404052734375,16.881439208984375,204.1759033203125,214.49075317382812,200.3038330078125,46.60033416748047,75.0804443359375,254.81529235839844,269.8350830078125,25.296831,5.5451775,6.931472,50.536167,57.549488,13.03389,8.066425,8.632294,30.164837,49.22585,12,5,5,22,24,13.144578,11.584415,11.933333,15.2970295,15.589474
5,0.08592239,0.0607151,0.06117124,0.09987306,0.104363315,0.1443787,0.11679699,0.12509052,0.16309892,0.179021,136.35780334472656,12.909698486328125,15.570526123046875,189.8447265625,205.47900390625,181.29164123535156,36.507110595703125,54.174320220947266,259.6185302734375,285.484375,27.242743,6.931472,6.931472,71.81858,84.486824,14.412934,8.103025,9.276177,30.9631,51.280437,13,5,5,27,34,14.623656,12.885417,13.153061,17.212963,17.767443
6,0.08435402,0.058944494,0.061171208,0.09858204,0.10432345,0.14559776,0.10777433,0.11679699,0.16245122,0.1727567,129.80877685546875,2.38824462890625,15.570343017578125,185.21934509277344,205.34317016601562,170.12576293945312,36.507110595703125,47.39319610595703,259.6185302734375,285.5942077636719,34.538776,6.931472,9.656628,79.51343,86.65761,14.411825,8.097713,9.711552,31.602962,45.157402,15,5,6,31,33,16.192,14.273585,14.461538,18.97279,19.935064
7,0.08083763,0.058900937,0.060808312,0.098000035,0.10055811,0.14622207,0.10385943,0.11679699,0.16547503,0.18842447,114.671630859375,2.12548828125,13.455078125,183.11436462402344,192.27487182617188,169.1436309814453,39.14665985107422,47.39319610595703,261.57965087890625,322.5414733886719,36.841362,6.931472,9.656628,79.17172,99.813194,15.295876,9.711552,10.077606,37.64792,61.37976,16,5,6,31,38,17.82353,15.447369,15.760684,20.6875,22.17931
8,0.07769045,0.055328406,0.060364086,0.09546345,0.10055811,0.14628565,0.09238908,0.10663364,0.1614046,0.17108853,100.55465698242188,-20.118377685546875,10.848480224609375,173.7915802001953,192.27487182617188,159.48355102539062,39.90289306640625,54.174320220947266,257.65057373046875,292.27679443359375,42.810024,9.656628,12.542316,96.91136,118.75758,16.47024,9.8087225,10.154179,36.730923,56.783714,19,6,7,37,45,19.322784,16.522058,17.5,22.175,23.679245
9,0.07467391,0.055328406,0.058796868,0.0926032,0.09922211,0.144153,0.09073201,0.10068425,0.1588296,0.16549413,86.476318359375,-20.118377685546875,1.496795654296875,162.97740173339844,187.5200958251953,169.75799560546875,43.05949401855469,64.23696899414062,253.67796325683594,302.21246337890625,52.753696,14.334076,19.709354,118.75758,155.70438,20.30106,10.01368,11.266149,38.19619,78.366875,22,8,11,45,59,21.134079,18.075472,18.621796,23.894737,25.56542
10,0.072103344,0.051510137,0.057960596,0.0925419,0.09680946,0.1435134,0.08606926,0.096483335,0.1588296,0.16452706,74.02297973632812,-45.53936767578125,-3.595794677734375,162.74200439453125,178.76905822753906,168.0380096435547,43.05949401855469,62.101219177246094,253.67796325683594,327.8020324707031,64.607574,17.703817,24.953299,120.55262,130.31168,21.164597,11.266149,13.679764,50.803288,76.72435,26,10,12,46,49,22.646227,19.438202,19.777143,26.43038,27.742857
11,0.071154766,0.051510137,0.057485383,0.09220189,0.09641353,0.13886434,0.08304947,0.096483335,0.15791088,0.16878107,69.31509399414062,-45.53936767578125,-6.522491455078125,161.4333953857422,177.31216430664062,162.57301330566406,39.90289306640625,64.39401245117188,241.3490447998047,326.8031005859375,64.607574,23.350922,28.56392,121.39664,130.31168,21.911692,10.946861,13.679764,42.864876,54.625088,26,12,14,45,50,24.146444,20.51111,21.114584,28.057142,29.719557
12,0.06964591,0.05142055,0.055328406,0.09167946,0.094072744,0.13640168,0.07566345,0.09073201,0.15908308,0.1712239,61.695526123046875,-46.158203125,-20.118377685546875,159.41336059570312,168.57460021972656,165.7001953125,37.944129943847656,50.49137878417969,262.2760314941406,326.8031005859375,67.092476,27.03274,31.191624,124.766495,164.15675,24.352686,12.988634,14.005201,48.191986,86.03193,27,13,15,48,64,25.886877,22.12264,22.761063,29.54035,31.893835
13,0.066631764,0.05142055,0.055328406,0.08877009,0.09320076,0.13812177,0.07624307,0.09073201,0.1581093,0.16452706,45.96728515625,-46.158203125,-20.118377685546875,147.94900512695312,165.26400756835938,170.15692138671875,36.50714111328125,48.699684143066406,317.82318115234375,3.4028234663852886e38,67.092476,17.703817,25.296831,134.18495,164.15675,25.219643,11.752595,14.004061,80.225655,3.4028235e38,27,10,13,50,64,27.446566,23.302631,23.911291,31.361563,33.54489
14,0.066631764,0.05142055,0.053463325,0.08755953,0.09320076,0.13873228,0.08585019,0.096482664,0.15555625,0.16283464,45.96728515625,-46.158203125,-32.30865478515625,143.0676727294922,165.26400756835938,168.0380096435547,36.50714111328125,43.05949401855469,327.8020324707031,3.4028234663852886e38,69.53896,14.4849415,23.350922,138.82745,188.53603,25.50615,10.946861,13.929692,89.813896,3.4028235e38,29,9,12,52,68,28.947792,24.658228,25.366667,33.38095,35.2522
15,0.066119574,0.05142055,0.053150088,0.087503985,0.09320076,0.1378378,0.085042104,0.09702765,0.15555625,0.16283464,43.22406005859375,-46.158203125,-34.39764404296875,142.8420867919922,165.26400756835938,170.28900146484375,37.944129943847656,43.77342987060547,429.8980712890625,3.4028234663852886e38,77.032104,19.709354,30.761145,154.35886,188.53603,25.836136,12.666337,14.004061,193.76833,3.4028235e38,31,11,14,57,68,30.376623,25.704,26.897612,34.541668,36.530025
16,0.06579164,0.05142055,0.0529802,0.08696506,0.09320076,0.13619448,0.080353506,0.09545318,0.15932158,0.16452706,41.45648193359375,-46.158203125,-35.535736083984375,140.64585876464844,165.26400756835938,187.09609985351562,38.084373474121094,43.77342987060547,501.546142578125,3.4028234663852886e38,82.00192,30.761145,35.350506,187.37308,208.51987,27.468857,13.929692,14.974616,219.5791,3.4028235e38,33,14,17,64,76,31.813292,27.011278,28.405798,36.224854,37.523575
17,0.06399559,0.05123327,0.052727595,0.08696506,0.09320076,0.1353165,0.080353506,0.092897445,0.15699954,0.17728823,31.61676025390625,-47.455352783203125,-37.23480224609375,140.64585876464844,165.26400756835938,176.59967041015625,38.438743591308594,45.1791877746582,501.546142578125,3.4028234663852886e38,82.00192,28.56392,35.350506,164.15675,188.53603,27.53315,13.83673,14.974616,219.5791,3.4028235e38,33,13,17,60,68,33.29003,28.280645,29.548388,37.772602,38.93976
18,0.06394708,0.051112995,0.05203816,0.08675538,0.09320076,0.1353165,0.080353506,0.09510613,0.15932158,0.17728823,31.34716796875,-48.290924072265625,-41.913787841796875,139.7876739501953,165.26400756835938,176.59967041015625,38.438743591308594,50.49137878417969,311.4024963378906,405.3442077636719,84.486824,28.56392,37.352818,164.15675,199.43565,26.513197,13.83673,15.059045,78.86534,172.18134,33,13,17,60,69,34.46409,29.933933,31.149172,39.22794,40.094383
19,0.062179495,0.04755069,0.05142055,0.08675538,0.09047838,0.13421701,0.07928408,0.09435321,0.15651391,0.16428886,21.382293701171875,-73.97311401367188,-46.158203125,139.7876739501953,154.7252655029297,178.70700073242188,41.367435455322266,54.663551330566406,342.6347961425781,3.4028234663852886e38,84.486824,35.350506,43.749115,169.9928,205.81181,27.468857,13.448601,14.424378,150.11922,3.4028235e38,34,17,19,64,73,35.859375,30.884146,32.306408,40.969696,41.627155
20,0.0609563,0.0464191,0.051132176,0.08675538,0.08984626,0.13402727,0.07777329,0.0907602,0.1574356,0.16552879,14.31915283203125,-82.53543090820312,-48.157562255859375,139.7876739501953,152.2328338623047,181.61691284179688,37.944129943847656,50.49137878417969,462.178955078125,3.4028234663852886e38,100.03303,31.191624,45.56001,188.53603,215.32422,28.671202,12.619262,13.929692,175.74283,3.4028235e38,40,15,19,69,76,37.0,32.19771,33.276318,41.8326,42.97812
21,0.060388494,0.0459024,0.048900858,0.08655843,0.08954882,0.13619448,0.07374482,0.088376835,0.15648511,0.1603589,10.9921875,-86.5147705078125,-64.01962280273438,138.97970581054688,151.05398559570312,196.72779846191406,45.592437744140625,55.226680755615234,3.4028234663852886e38,3.4028234663852886e38,110.29282,47.213226,52.959457,206.82457,271.69495,32.930515,13.83673,15.33055,3.4028235e38,3.4028235e38,43,19,23,76,92,38.13913,33.83376,34.503742,42.8497,44.349396
