gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,92.93925,58.539093,59.802696,136.07896,197.47562,75.02358,46.599915,47.541733,127.31969,161.45964,92305.79,60198.98,61378.348,132569.53,189873.06,92339.1,60253.258,61402.266,132633.3,189902.62,9,5,5,17,18,6.018,5.682,5.734,6.316,6.354
2,63.34203,57.59995,57.72912,111.22934,111.22939,49.36787,46.182205,46.289085,79.37426,79.37483,64681.727,59322.45,59443.008,109376.54,109376.586,64702.926,59373.742,59477.016,109399.52,109402.33,8,5,5,18,21,5.604,5.14,5.238,6.022,6.13
3,63.258095,57.2032,57.357048,89.45514,108.83434,49.36785,46.08117,46.18233,76.177536,79.37483,64603.387,58952.152,59095.742,89053.96,107141.21,64631.28,58993.156,59170.453,89087.95,107187.65,9,5,5,18,21,5.388,4.686,4.87,5.912,5.972
4,59.54386,51.77585,57.264626,66.00308,77.65589,47.18469,44.471478,46.18208,60.206963,62.574448,61136.766,53886.62,59009.48,67165.37,78041.33,61178.09,53952.258,59080.54,67212.34,78086.47,8,5,5,18,21,5.024,4.078,4.392,5.63,5.818
5,58.897713,51.15655,54.42577,63.342308,77.65403,46.840645,41.718937,46.08117,51.4517,60.20983,60533.695,53308.61,56359.883,64681.98,78039.586,60560.25,53345.254,56410.29,64710.32,78061.5,9,5,5,18,20,4.476,3.446,3.678,5.278,5.494
6,58.53917,49.592236,51.493347,63.342037,65.64571,46.809784,39.659664,43.05138,49.756195,60.20766,60199.055,51848.582,53622.953,64681.73,66831.83,60238.324,51917.355,53688.305,64703.508,66874.05,10,6,6,18,22,3.992,2.86,3.062,5.158,5.534
7,58.018753,48.023407,50.829754,62.040375,63.342037,46.489407,38.614574,41.967037,49.08789,49.756195,59713.332,50384.344,53003.6,63466.848,64681.73,59778.234,50443.977,53058.453,63516.44,64703.508,10,6,6,19,21,3.768,2.51,2.736,5.116,5.548
8,57.63312,41.51333,49.592236,59.80263,63.34203,46.304726,35.506138,41.48882,47.94349,49.487595,59353.41,44308.27,51848.582,61378.285,64681.727,59404.473,44375.863,51917.355,61395.527,64702.914,11,6,6,20,22,3.96,2.594,2.928,5.872,6.254
9,57.3126,37.563625,47.19981,58.897774,63.258064,46.182205,34.167892,37.630264,47.349785,49.487595,59054.258,40621.883,49615.652,60533.754,64603.355,59119.383,40688.258,49658.406,60556.57,64634.305,13,6,7,20,25,4.49,2.798,3.05,6.82,7.358
10,56.901646,34.61856,40.85242,58.53914,59.575417,45.673313,31.130484,34.389435,47.16796,50.70945,58670.7,37873.152,43691.42,60199.023,61166.22,58712.0,37941.855,43788.92,60258.777,61211.29,14,7,9,22,24,5.142,2.85,3.366,8.112,8.946
11,54.8631,33.97804,36.720165,58.291405,58.897793,45.33521,26.46106,34.167892,46.88197,48.01021,56768.055,37275.332,39834.65,59967.81,60533.77,56921.547,37334.75,39949.492,60012.027,60556.31,14,8,9,22,29,6.006,3.182,3.874,9.654,10.282
12,51.156506,29.754864,34.61856,58.018753,58.53914,43.04915,24.90464,31.362791,46.59996,48.81986,53308.57,33333.703,37873.152,59713.332,60199.023,53345.215,33539.42,37941.855,59757.414,60233.94,15,9,9,27,30,6.958,3.688,4.168,11.312,12.202
13,50.82793,19.182337,33.613907,57.5999,58.291397,42.57139,13.2695,29.00101,46.489574,47.540855,53001.9,23466.008,36935.473,59322.402,59967.8,53058.41,23569.875,36970.742,59371.277,60004.117,16,9,9,28,31,8.07,4.088,4.812,13.422,14.222
14,48.542393,18.807707,31.624401,57.26263,57.729073,42.098194,13.185069,25.053347,46.329666,46.599987,50868.73,23116.355,35078.6,59007.617,59442.965,50939.477,23189.213,35132.973,59071.562,59473.113,18,9,11,30,32,9.182,4.7,5.39,15.486,16.65
15,45.91873,16.231998,31.624401,57.252357,57.72896,39.480907,10.86233,24.90464,46.326527,46.599987,48419.98,20712.36,35078.6,58998.03,59442.855,48469.418,20797.059,35132.973,59066.316,59469.457,18,9,11,31,36,10.74,4.806,5.882,17.498,18.532
16,43.858597,10.095653,18.80773,57.215305,57.255623,38.22278,7.669015,14.805035,46.325844,47.485123,46497.188,14985.1045,23116.375,58963.45,59001.074,46582.727,15079.671,23188.152,59015.848,59069.016,20,11,12,36,48,12.224,5.424,6.802,19.626,20.712
