gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.00011495704,9.285479e-5,9.358163e-5,0.00016977724,0.00018704776,0.00014203075,0.00011140362,0.00011521077,0.00015413099,0.00015845436,-3144.5864,-3252.308,-3248.3743,-2947.8674,-2898.9932,-3122.309,-3228.1194,-3226.2097,-2910.6255,-2872.4685,17.703817,6.931472,9.656628,32.23619,36.841362,12.264002,7.754265,9.169168,17.066654,19.366047,10,5,6,15,16,6.006,5.652,5.746,6.238,6.272
2,9.748361e-5,9.192234e-5,9.2813745e-5,0.00012528515,0.00014322676,0.00014206296,0.00010712208,0.00011703754,0.00015004794,0.00015413099,-3227.7654,-3257.4,-3252.531,-3101.1821,-3033.6614,-3201.276,-3231.8735,-3229.5847,-3078.2725,-3004.5022,15.567281,6.931472,6.931472,29.11218,34.538776,12.262373,8.11585,8.921948,17.156662,20.014626,9,5,5,14,16,5.612,5.026,5.256,6.008,6.106
3,9.5518706e-5,8.5706575e-5,9.240135e-5,0.000115086914,0.00013006049,0.00014075164,9.468144e-5,0.000116467476,0.00014830624,0.00014924149,-3238.0378,-3292.7222,-3254.7776,-3144.0166,-3082.3103,-3204.2476,-3265.6465,-3229.5989,-3104.6318,-3045.7134,16.125835,6.931472,6.931472,33.271065,40.76422,12.356769,8.119741,8.843998,17.52192,20.285713,9,5,5,16,18,5.434,4.74,4.976,6.038,6.16
4,9.551863e-5,8.1028345e-5,9.192234e-5,0.000114957125,0.00012538082,0.00014040426,9.239562e-5,0.00010875557,0.00014904153,0.00014924149,-3238.0383,-3321.04,-3257.4,-3144.586,-3100.7969,-3208.526,-3296.3367,-3230.4216,-3112.8928,-3078.2942,16.125835,6.931472,8.317766,35.155594,43.749115,12.356652,8.547123,9.066162,16.790962,19.130386,9,5,6,17,19,5.588,4.76,4.97,6.278,6.508
5,9.402204e-5,8.1028345e-5,9.085648e-5,0.000114439754,0.000114963026,0.00013804244,8.898087e-5,0.00010875557,0.00014757994,0.0001492343,-3246.0054,-3321.04,-3263.2837,-3146.8616,-3144.56,-3210.2368,-3296.3367,-3230.2456,-3114.2664,-3089.8708,17.917595,6.931472,9.656628,40.76422,50.3558,12.749717,8.715053,9.474652,18.558563,22.751165,10,5,6,18,21,5.86,4.912,5.104,6.958,7.276
6,9.3466086e-5,6.938725e-5,8.1028345e-5,0.00011198353,0.000114963026,0.00013578047,8.0552054e-5,8.8913526e-5,0.00014293198,0.00014923296,-3248.9976,-3399.286,-3321.04,-3157.8076,-3144.56,-3215.061,-3356.431,-3296.3367,-3125.6921,-3106.225,19.4591,6.931472,9.704061,43.944492,55.151592,12.7416115,9.233669,9.753805,18.537298,22.751165,10,5,7,18,23,6.27,5.086,5.298,7.906,8.404
7,9.304334e-5,6.840549e-5,7.1545786e-5,0.000111424364,0.00011495706,0.00013434766,8.01332e-5,8.334311e-5,0.00014293198,0.00014923296,-3251.2847,-3406.4749,-3383.8308,-3160.333,-3144.5864,-3216.7168,-3356.9607,-3338.6077,-3125.6921,-3106.225,21.405012,6.931472,9.656628,48.354286,62.122665,12.7416115,9.211208,9.566564,19.212208,23.488615,11,5,6,21,26,6.854,5.308,5.57,8.962,10.024
8,9.24792e-5,6.764092e-5,6.8786394e-5,0.00011137867,0.000114571405,0.00013434766,7.648545e-5,8.0552054e-5,0.0001429338,0.00015165136,-3254.3528,-3412.1458,-3403.6736,-3160.5398,-3146.2817,-3216.7168,-3371.1606,-3356.431,-3125.0093,-3106.225,27.03274,9.656628,11.266066,54.930614,62.345276,13.253266,9.566564,11.019445,22.332884,27.644735,13,6,7,24,28,7.626,5.964,6.07,10.114,11.014
9,9.236333e-5,6.750497e-5,6.8786394e-5,0.000100423575,0.0001143178,0.0001340125,7.125664e-5,7.9543606e-5,0.00014420216,0.0001521018,-3254.9854,-3413.1606,-3403.6736,-3212.7754,-3147.3997,-3216.7168,-3379.3472,-3356.431,-3142.7815,-3102.2976,29.11218,9.656628,12.542316,62.122665,79.51701,14.636546,10.440078,11.150436,26.640652,33.49033,14,6,7,26,33,8.756,6.174,6.69,11.53,13.29
10,9.119833e-5,6.366128e-5,6.764092e-5,9.748355e-5,0.0001143178,0.00013035595,7.0292284e-5,7.62129e-5,0.00014420216,0.00015399799,-3261.3892,-3442.7368,-3412.1458,-3227.7659,-3147.3997,-3219.1042,-3381.5361,-3356.9607,-3141.0884,-3102.2976,32.95837,12.476649,14.334076,61.52229,82.00192,15.370237,11.019445,11.291918,25.739506,36.09863,15,7,8,27,33,9.874,6.726,7.18,13.482,15.968
11,8.5559135e-5,6.156138e-5,6.402578e-5,9.7272525e-5,0.000110863475,0.00011598454,6.948105e-5,7.125664e-5,0.00014384631,0.00015683942,-3293.5908,-3459.6587,-3439.8564,-3228.859,-3162.879,-3230.6262,-3399.7954,-3383.8818,-3151.063,-3106.6887,35.350506,12.542316,14.4849415,72.50841,82.00192,16.621002,11.019445,11.598956,30.14643,34.88477,16,7,9,32,33,11.428,7.508,8.298,15.322,17.34
12,8.106162e-5,6.1004543e-5,6.3415646e-5,9.551869e-5,0.00010990973,0.0001081605,6.746021e-5,6.9844995e-5,0.00014206296,0.0001505965,-3320.8328,-3464.2427,-3444.687,-3238.038,-3167.238,-3252.893,-3402.8455,-3386.605,-3167.959,-3081.1792,41.58883,12.542316,16.125835,82.00192,115.098976,17.17255,11.019445,12.714945,34.717957,52.345238,19,8,9,35,48,12.856,8.298,9.42,18.102,20.202
13,7.760978e-5,6.0424478e-5,6.3415646e-5,9.3581606e-5,0.00010562089,0.0001079083,6.637466e-5,6.984086e-5,0.00014040833,0.00015683942,-3342.7866,-3469.0625,-3444.687,-3248.3745,-3187.3186,-3259.4792,-3403.129,-3389.0366,-3187.8286,-3091.596,41.74727,15.567281,19.709354,83.92634,115.098976,17.307535,12.277457,12.79678,41.810745,72.71551,19,9,10,36,47,14.362,9.246,10.712,20.244,22.44
14,7.323552e-5,5.555667e-5,6.0511466e-5,9.215456e-5,9.5518626e-5,0.0001068469,6.167963e-5,6.8633235e-5,0.00013875111,0.00017449252,-3372.0542,-3511.436,-3468.337,-3256.127,-3238.0383,-3259.4797,-3423.2017,-3403.129,-3175.7441,-3141.0884,48.354286,19.709354,27.03274,92.367004,121.76043,18.647179,12.483291,13.288038,39.90194,65.07415,22,11,13,39,48,16.332,10.55,12.382,22.852,24.71
15,7.029937e-5,5.3047825e-5,5.8777277e-5,9.212522e-5,9.5518626e-5,0.00010653201,6.167963e-5,6.8015856e-5,0.00013698122,0.00017449252,-3392.6973,-3534.749,-3483.0066,-3256.2876,-3238.0383,-3284.9448,-3459.3093,-3408.7622,-3178.1865,-3113.2632,52.959457,24.953299,27.242743,111.03006,123.11757,20.130203,12.6960745,13.288038,46.321117,65.57664,24,12,14,45,49,18.248,11.998,13.654,24.912,29.124
16,6.8904475e-5,4.722191e-5,5.6637477e-5,9.208287e-5,9.5518626e-5,0.000101539656,5.6344732e-5,6.226646e-5,0.00013570371,0.00014206296,-3402.808,-3593.44,-3501.7156,-3256.5195,-3238.0383,-3310.963,-3474.726,-3408.7622,-3174.423,-3110.386,59.867214,27.03274,30.761145,123.11757,135.85684,22.5015,13.224038,15.418779,54.988422,80.443344,25,13,15,48,52,20.432,13.328,15.46,28.438,32.608
