id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,10.661224501473566,"t[0]",10.661224501473566,1,12.731762050992534,17.017552917264624,10.868342817970566,17.017552917264624,2.220446049250313e-16,-5.741117956672537e-2,-0.26906195221667417,12.731762050992534,17.017552917264624,10.868342817970566
1,0,(780.782325577514 / x2),"(t[0] / x[:, 2])",780.782325577514,3,9.720782803086959,13.52273925297697,7.53721602840975,13.52273925297697,0.23649352193719708,0.15974431024351687,0.11990316762214681,13.016619669091288,16.818576118981298,10.83305289441408
2,0,(16.034454484485423 - Sqrt(x0)),"(t[0] - np.sqrt(x[:, 0]))",16.034454484485423,4,8.269364009519283,11.076451585095437,5.5054407858678385,11.076451585095437,0.3504933585469716,0.31174806431028745,0.3571471245851473,13.814541453998846,16.621629029575,11.0506182303474
3,0,(12.932022670512685 + (-6.591771936282126e-2 * x0)),"(t[0] + (t[1] * x[:, 0]))",12.932022670512685;-6.591771936282126e-2,5,8.221312576158798,10.609526544718692,5.59886132793899,10.609526544718692,0.35426749704940597,0.3407611521563735,0.34623870391020095,15.152784381758252,17.540998350318144,12.530333133538443
4,0,(0.899742546422761 + (x2 * (1.3222341459383502e-3 * x0))),"(t[0] + (x[:, 2] * (t[1] * x[:, 0])))",0.899742546422761;1.3222341459383502e-3,7,80.08960063427418,72.3440203093343,40.62102846743299,72.3440203093343,-5.290535458760839,-3.4952042295272845,-3.743188777841257,91.35566602131289,83.610085696373,51.88709385447169
5,0,((12.92077967214601 - (6.489539263578532e-2 * x0)) + Sin(x1)),"((t[0] - (t[1] * x[:, 0])) + np.sin(x[:, 1]))",12.92077967214601;6.489539263578532e-2,8,8.210036261675041,9.80270311758899,7.001006788611633,9.80270311758899,0.3551531807779106,0.3908943361653243,0.1825146214612412,23.777317454117547,25.369984310031498,22.56828798105414
6,0,(12.966632896523583 - ((6.907034079927474e-2 * x0) + Sin((x0 + x0)))),"(t[0] - ((t[1] * x[:, 0]) + np.sin((x[:, 0] + x[:, 0]))))",12.966632896523583;6.907034079927474e-2,10,8.309593236562822,9.26692298882541,5.26712053305142,9.26692298882541,0.3473336052557605,0.42418583822197686,0.38497502533850714,26.22718792884337,27.18451768110596,23.18471522533197
7,0,((-6.809526145897422e-2 * x0) + (Sin(Exp((x1 - x0))) + 12.851184983477895)),"((t[0] * x[:, 0]) + (np.sin(np.exp((x[:, 1] - x[:, 0]))) + t[1]))",-6.809526145897422e-2;12.851184983477895,11,8.983103201779967,8.963015917586812,5.755813813874028,8.963015917586812,0.2944336246780809,0.44306956000262465,0.32791185946463974,31.85696016025816,31.836872876065005,28.62967077235222
8,0,(((12.955389898143283 - Sin((x0 + x0))) - (6.804801407339166e-2 * x0)) + Sin(x1)),"(((t[0] - np.sin((x[:, 0] + x[:, 0]))) - (t[1] * x[:, 0])) + np.sin(x[:, 1]))",12.955389898143283;6.804801407339166e-2,13,8.30387494285522,8.290794929613702,6.598766965283263,8.290794929613702,0.34778274133643017,0.48483901952938313,0.2294828910495308,33.60070688057429,33.58762686733277,31.895598903002337
9,0,((((-6.717714588066478e-2 * x0) + Sin(Sin(x1))) + Sin(Exp((x1 - x0)))) + 12.837974830400949),"((((t[0] * x[:, 0]) + np.sin(np.sin(x[:, 1]))) + np.sin(np.exp((x[:, 1] - x[:, 0])))) + t[1])",-6.717714588066478e-2;12.837974830400949,15,8.964485091223148,8.218797202038775,6.861852928102062,8.218797202038775,0.29589596040837884,0.4893127063403635,0.19876317681457145,40.156108216420684,39.41042032723631,38.0534760532996
10,0,(Sin(x0) + (((13.045442348630765 - Sin((x0 + x0))) - (7.155544273805688e-2 * x0)) + Sin(x1))),"(np.sin(x[:, 0]) + (((t[0] - np.sin((x[:, 0] + x[:, 0]))) - (t[1] * x[:, 0])) + np.sin(x[:, 1])))",13.045442348630765;7.155544273805688e-2,16,7.530200817115755,8.01733623376451,6.456030527594838,8.01733623376451,0.4085499880569383,0.5018307858277747,0.24614977258788373,38.66476320200077,39.151898618649525,37.59059291247985
11,0,(((12.915703072559609 - Sin((x0 + x0))) - (6.782904437793144e-2 * x0)) + Sin(((x1 / x2) * x0))),"(((t[0] - np.sin((x[:, 0] + x[:, 0]))) - (t[1] * x[:, 0])) + np.sin(((x[:, 1] / x[:, 2]) * x[:, 0])))",12.915703072559609;6.782904437793144e-2,17,9.136857979679718,7.722663695340525,6.19085620698372,7.722663695340525,0.28235715189419275,0.5201407060587095,0.2771133377448498,46.48967579439545,45.075481510056264,43.54367402169945
12,0,(Sin((x1 + x0)) + (((13.02010877564291 - Sin((x0 + x0))) - (6.451039862578095e-2 * x0)) + Sin(x1))),"(np.sin((x[:, 1] + x[:, 0])) + (((t[0] - np.sin((x[:, 0] + x[:, 0]))) - (t[1] * x[:, 0])) + np.sin(x[:, 1])))",13.02010877564291;6.451039862578095e-2,18,9.468462750535982,7.366945820951741,6.789231087207201,7.366945820951741,0.2563116784139202,0.5422437698175895,0.20724299905823618,44.49484543353162,42.39332850394738,41.81561377020284
