-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
1,39201,2905.1738,2937.4514,5944.8237,4353.444,0.95843136,0.9430939,2905.1738,743.6506,7.296,10,"(abs((X2 + (exp((X5 + -1.854569)) - 1.3728981))) ^ 3.8444653) [likelihood params: Float32[78.079575]]"
2,65040,2824.0347,2860.5742,4309.6416,5187.0,0.96986526,0.93219805,2824.0347,753.06445,7.29,10,"(abs((X2 + (exp((X5 + -2.2689822)) - 0.96038085))) ^ 4.5222974) [likelihood params: Float32[65.64781]]"
3,91969,2824.0347,2860.5742,4309.6416,5187.0,0.96986526,0.93219805,2824.0347,753.06445,8.178,10,"(abs((X2 + (exp((X5 + -2.2689822)) - 0.96038085))) ^ 4.5222974) [likelihood params: Float32[65.64781]]"
4,122808,2824.0347,2860.5742,4309.6416,5187.0,0.96986526,0.93219805,2824.0347,753.06445,10.284,10,"(abs((X2 + (exp((X5 + -2.2689822)) - 0.96038085))) ^ 4.5222974) [likelihood params: Float32[65.64781]]"
5,154934,2813.5845,2861.2095,4134.581,24949.81,0.97108936,0.6738683,2813.5845,1069.1716,12.568,14,"((exp(X4) * ((-45473.164 + (31183.125 * X4)) - (2.5564084 * X1))) - -50967.29) [likelihood params: Float32[-64.29988]]"
6,194096,2803.4138,2929.3745,3971.0278,18644.691,0.97223294,0.7562857,2803.4138,978.10913,15.79,19,"((exp(X4) * ((-5806.3267 + pdiv(79565.6, ((X5 - X2) * log(abs(9.206609e17)))) - (2.0951533 * X1))) - -8600.058) [likelihood params: Float32[-63.016117]]"
7,234289,2803.4138,2929.3745,3971.0278,18644.691,0.97223294,0.7562857,2803.4138,978.10913,17.516,19,"((exp(X4) * ((-5806.3267 + pdiv(79565.6, ((X5 - X2) * log(abs(9.206609e17)))) - (2.0951533 * X1))) - -8600.058) [likelihood params: Float32[-63.016117]]"
8,277617,2760.2004,2869.0884,3344.3633,6103.4683,0.97661483,0.92021847,2760.2004,778.62964,18.78,35,"(((pdiv((-3.1909745 * (((((99.57195 * X5) * X5) * X4) - (313.66565 * X5)) - -15792.12)), X5) + 13919.006) - -4424.1978) - (3398.9788 - (((11.9312935 * X1) - pdiv(-424.2763, X2)) * (X2 + -2.1101074)))) [likelihood params: Float32[-57.167664]]"
9,320741,2539.7646,2668.2375,1394.867,1970.5148,0.99024653,0.9742424,2539.7646,692.4139,18.1,24,"((log(abs(-7.943049e7) * ((-615.02124 - ((X2 + X5) * ((60.216995 - -61.130154) - (X5 * 48.530857)))) - ((X5 - 3.5790806) * X1))) - -7056.0244) [likelihood params: Float32[-37.348003]]"
10,367893,2539.7644,2659.8784,1394.8654,1970.4951,0.99024653,0.9742426,2539.7644,692.41296,18.642,24,"((log(abs(-7.943049e7) * ((-615.02124 - ((X2 + X5) * ((60.216995 - -61.130154) - (X5 * 48.530857)))) - ((X5 - 3.5790803) * X1))) - -7056.0244) [likelihood params: Float32[-37.348003]]"
