id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,8.844091269841248e-2,"t[0]",8.844091269841248e-2,1,2.020662582939656e-4,1.853589928980815e-4,1.4158846318701685e-4,1.853589928980815e-4,1.2212453270876722e-15,-7.175632735459958e-3,-6.822877020273843e-4,2.020662582939656e-4,1.853589928980815e-4,1.4158846318701685e-4
1,0,((-1.597805082099131e-2 * x1) + 0.10404496934166371),"((t[0] * x[:, 1]) + t[1])",-1.597805082099131e-2;0.10404496934166371,5,1.1936042743080646e-4,1.1077273438802008e-4,1.5139628462044452e-4,1.1077273438802008e-4,0.4093005510244022,0.39809988658906925,-6.999946911963972e-2,6.931591166026884,6.931582578333841,6.931623201884073
2,0,(-1.318591002458656e-2 * (Log(x0) + -6.5611039090868)),"(t[0] * (np.log(x[:, 0]) + t[1]))",-1.318591002458656e-2;-6.5611039090868,6,1.0172266128152415e-4,9.337869534917833e-5,1.1667463514897892e-4,9.337869534917833e-5,0.4965875938894355,0.49261298250561525,0.17539721676712483,9.656729197265882,9.65672085329995,9.656744149239751
