-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
18,200218,21200.666,21411.748,1912.3168,1559.3579,0.7657722,0.7742638,21200.666,11579.898,23.838,Inf,59,"(((X6 * ((-115.08898 + X6) * sqrt(abs((-0.00035838483 * (-0.0014980582 * (X10 + ((X9 * 1566.6558) - ((sqrt(abs(-1.0381984e7)) - ((((sqrt(abs(((((-4671.0396 - X23) * -0.20170172) * (113.80768 * X3)) + (-3.8094465e6 + log(abs(1.1603325e9)))))) / (X6 / 7420.511)) + -181812.28) + -195486.17) + X13)) + log(abs(-8.371913e7))))))))))) + log(sqrt(abs(1.0313308e8)))) + (sqrt(abs(-372578.88)) + (766357.56 / -2.4276852e6))) [likelihood params: Float32[]]"
19,215273,21200.572,21410.053,1912.2975,1559.5568,0.7657746,0.774235,21200.572,11580.471,27.418,Inf,59,"(((X6 * ((-115.08725 + X6) * sqrt(abs((-0.0003583706 * (-0.0014979987 * (X10 + ((X9 * 1566.6417) - ((sqrt(abs(-1.0381984e7)) - ((((sqrt(abs(((((-4671.027 - X23) * -0.20170105) * (113.8073 * X3)) + (-3.8094505e6 + log(abs(1.1603325e9)))))) / (X6 / 7420.491)) + -181813.3) + -195487.19) + X13)) + log(abs(-8.371913e7))))))))))) + log(sqrt(abs(1.0313308e8)))) + (sqrt(abs(-372571.3)) + (766357.56 / -2.4276852e6))) [likelihood params: Float32[]]"
20,230831,20392.344,20622.443,1745.291,1414.8513,0.7862302,0.7951829,20392.344,11164.442,30.782,Inf,59,"(((X6 * ((-101.26162 + X6) * sqrt(abs((-1.5930443e-9 * (X11 * (X10 + ((X9 * 1514.7009) - ((sqrt(abs(-2.3741554e7)) - ((((sqrt(abs(((((-3919.3015 - X23) * -0.20407988) * (115.97711 * X3)) + (-2.7976392e6 + log(abs(1.1603325e9)))))) / (X6 / 7337.0117)) + -183016.94) + -195264.45) + X13)) + log(abs(-8.372244e7))))))))))) + log(sqrt(abs(1.031319e8)))) + (sqrt(abs(-187665.92)) + (865936.75 / -2.4014578e6))) [likelihood params: Float32[]]"
21,245148,20377.645,20602.496,1742.2535,1409.715,0.78660226,0.79592645,20377.645,11149.676,34.88,Inf,59,"(((X6 * ((-101.28957 + X6) * sqrt(abs((-1.5896386e-9 * (X11 * (X10 + ((X9 * 1513.9167) - ((sqrt(abs(-2.374154e7)) - ((((sqrt(abs(((((-3919.921 - X23) * -0.20411596) * (115.9976 * X3)) + (-2.8054932e6 + log(abs(1.1603325e9)))))) / (X6 / 7341.7886)) + -182964.34) + -195211.86) + X13)) + log(abs(-8.372244e7))))))))))) + log(sqrt(abs(1.031319e8)))) + (sqrt(abs(-188008.3)) + (865935.2 / -2.4014585e6))) [likelihood params: Float32[]]"
22,259382,20189.262,20450.678,1703.3278,1397.0731,0.79137003,0.7977565,20189.262,11113.33,39.332,Inf,63,"(((X6 * ((-102.49783 + X6) * sqrt(abs((-1.3339085e-9 * (X11 * (X10 + ((X9 * 1471.206) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8179 - X23) * -0.20443818) * (116.19256 * X3)) + (-3.0385355e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.349)) + -182217.3) + -194464.81) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.5453 / (3432.9338 / X7)) + X6)) + (sqrt(abs(-159513.22)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
23,273784,20189.18,20453.72,1703.3105,1396.9712,0.7913721,0.7977713,20189.18,11113.037,41.826,Inf,63,"(((X6 * ((-102.49806 + X6) * sqrt(abs((-1.3339614e-9 * (X11 * (X10 + ((X9 * 1471.2059) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8274 - X23) * -0.20443864) * (116.192825 * X3)) + (-3.0385042e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.358)) + -182217.17) + -194464.69) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.6097 / (3432.8174 / X7)) + X6)) + (sqrt(abs(-159511.8)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
24,288439,20189.176,20462.207,1703.3099,1396.9935,0.7913722,0.797768,20189.176,11113.102,45.766,Inf,63,"(((X6 * ((-102.49808 + X6) * sqrt(abs((-1.333965e-9 * (X11 * (X10 + ((X9 * 1471.2065) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8289 - X23) * -0.20443872) * (116.19287 * X3)) + (-3.038501e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.36)) + -182217.11) + -194464.62) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.6135 / (3432.8105 / X7)) + X6)) + (sqrt(abs(-159511.7)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
25,303657,20189.176,20462.207,1703.3099,1396.9935,0.7913722,0.797768,20189.176,11113.102,47.3,Inf,63,"(((X6 * ((-102.49808 + X6) * sqrt(abs((-1.333965e-9 * (X11 * (X10 + ((X9 * 1471.2065) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8289 - X23) * -0.20443872) * (116.19287 * X3)) + (-3.038501e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.36)) + -182217.11) + -194464.62) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.6135 / (3432.8105 / X7)) + X6)) + (sqrt(abs(-159511.7)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
26,317808,20189.176,20462.207,1703.3099,1396.9935,0.7913722,0.797768,20189.176,11113.102,49.662,Inf,63,"(((X6 * ((-102.49808 + X6) * sqrt(abs((-1.333965e-9 * (X11 * (X10 + ((X9 * 1471.2065) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8289 - X23) * -0.20443872) * (116.19287 * X3)) + (-3.038501e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.36)) + -182217.11) + -194464.62) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.6135 / (3432.8105 / X7)) + X6)) + (sqrt(abs(-159511.7)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
27,332620,20189.176,20462.207,1703.3099,1396.9935,0.7913722,0.797768,20189.176,11113.102,52.998,Inf,63,"(((X6 * ((-102.49808 + X6) * sqrt(abs((-1.333965e-9 * (X11 * (X10 + ((X9 * 1471.2065) - ((sqrt(abs(-2.3741318e7)) - ((((sqrt(abs(((((-4003.8289 - X23) * -0.20443872) * (116.19287 * X3)) + (-3.038501e6 + log(abs(1.1603325e9)))))) / (X6 / 7481.36)) + -182217.11) + -194464.62) + X13)) + log(abs(-8.372244e7))))))))))) + ((-1900.6135 / (3432.8105 / X7)) + X6)) + (sqrt(abs(-159511.7)) + (866072.5 / -2.4014092e6))) [likelihood params: Float32[]]"
