gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
11,0.010115343,0.003071603,0.0035275628,0.018093988,0.024500584,0.008330516,0.0033422988,0.0039163646,0.017902983,0.020418113,-828.7356,-1000.9159,-989.7702,-633.702,-477.09637,-780.73773,-934.53937,-917.5184,-554.70306,-427.7939,20,9,12,29,34,11.398,8.524,9.098,14.89,15.956
12,0.0084851235,0.0028483272,0.003400968,0.016744424,0.024365136,0.0076585137,0.003329369,0.0036233328,0.015645158,0.019106282,-868.5854,-1006.3737,-992.86475,-666.6914,-480.40735,-791.93176,-934.53937,-907.7555,-593.46436,-445.14365,21,10,14,33,38,12.708,9.244,10.018,17.018,18.31
13,0.0064523136,0.0025178457,0.0031238338,0.015875183,0.020765431,0.006175969,0.00291125,0.003329369,0.014763142,0.01872718,-918.2763,-1014.45215,-999.63916,-687.93945,-568.40015,-813.2194,-934.8341,-922.2645,-616.06476,-503.3614,21,10,13,40,42,13.914,10.032,10.856,19.002,20.124
14,0.0057018055,0.0019700988,0.0025977432,0.014835368,0.020334583,0.0058687166,0.002831219,0.0030683803,0.015377465,0.018779147,-936.6221,-1027.8416,-1012.49915,-713.3572,-578.93195,-841.2527,-942.48737,-932.5457,-641.3252,-503.3614,23,12,14,41,46,15.336,11.068,11.788,20.988,22.626
15,0.005386918,0.0018185264,0.0023219294,0.013066206,0.016276648,0.004862501,0.002475002,0.002852112,0.014721193,0.018779147,-944.31934,-1031.5466,-1019.2412,-756.6034,-678.1259,-852.8314,-943.3342,-934.27185,-649.4646,-612.9762,26,13,15,41,46,17.146,11.768,12.976,23.706,24.41
16,0.004692054,0.001779382,0.001967536,0.012080905,0.016276648,0.0047411826,0.0027093405,0.003097183,0.011553397,0.018779147,-961.3049,-1032.5035,-1027.9042,-780.6885,-678.1259,-854.26917,-942.01605,-936.78723,-676.97864,-612.9762,27,13,15,47,57,18.966,12.876,14.56,26.372,27.738
17,0.0037870638,0.0017114821,0.001967536,0.011287708,0.016276648,0.0044895117,0.002766818,0.0029825438,0.010280295,0.016297067,-983.4269,-1034.1633,-1027.9042,-800.07776,-678.1259,-863.63666,-944.61835,-937.4842,-705.2783,-630.40857,29,15,16,49,62,21.036,14.688,16.12,29.366,30.096
18,0.0036297669,0.00168279,0.0018158288,0.009344069,0.013813237,0.0044895117,0.0026368313,0.002810534,0.008676753,0.016297067,-987.27185,-1034.8646,-1031.6125,-847.5889,-738.34265,-867.8088,-944.61835,-937.4842,-734.12445,-628.93744,33,15,17,51,68,22.814,16.39,17.8,32.544,33.432
19,0.0033263504,0.0016012733,0.0017762926,0.0072352164,0.01032992,0.0040210523,0.0025034964,0.0027132104,0.007982311,0.014490466,-994.6887,-1036.8573,-1032.579,-899.1387,-823.49036,-865.4375,-948.2385,-936.5491,-704.25336,-636.17615,34,18,21,66,73,25.316,18.644,19.566,35.116,36.914
20,0.0030942995,0.0015657215,0.0016844074,0.0062630633,0.008484786,0.0037980806,0.0025395034,0.0027966872,0.0076096538,0.011966677,-1000.3611,-1037.7263,-1034.8251,-922.9024,-868.5936,-856.6979,-946.8058,-934.5837,-708.56384,-619.87646,38,19,21,68,78,27.822,20.41,20.932,38.724,41.77
21,0.0029128012,0.0014324823,0.001576114,0.00570139,0.0071910913,0.0038271868,0.0025395034,0.002717196,0.0071544386,0.009819211,-1004.7977,-1040.9833,-1037.4723,-936.6322,-900.2173,-856.6979,-944.8458,-934.5837,-708.4683,-518.79004,42,19,23,71,87,31.082,21.934,23.202,42.064,45.014
