Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.08261739,1,0.00022729848206621295,0.00015258381915549625,0.00022729848206621295,0.00015258381915549625,-1.7225193715830756e-08,-0.0029596978899766313
1,powabs(x0, -0.20795006) * 0.07932543,5,0.00010895723500618192,0.00014752145528829316,0.00010895723500618192,0.00014752145528829316,0.5206424790322546,0.030316090872951507
2,(4.4167175 - log(x0)) * 0.018063087,6,0.0001079666496625098,0.00015121457568859824,0.0001079666496625098,0.00015121457568859824,0.5250005607569119,0.006040575019029215
3,((x5 - x0) + 5.681834) * 0.017542345,7,0.00010039860743068539,0.00012213441810161616,0.00010039860743068539,0.00012213441810161616,0.5582961740552921,0.19718945456247217
4,(x5 - log(x0 * 0.019748738)) * 0.019748738,8,9.187575155358213e-05,0.00014359345012493908,9.187575155358213e-05,0.00014359345012493908,0.5957924914368942,0.05613554469022086
5,((x5 - 1.396994) + (5.8017507 - log(x0))) * 0.01783182,10,8.992688240392259e-05,0.00012863232552407934,8.992688240392259e-05,0.00012863232552407934,0.6043665442220838,0.15447759100170255
6,(powabs(0.37580648, x0 + -1.2316755) + (x5 + 3.4303725)) * 0.016842349,11,8.923680231813035e-05,0.00013475099352887082,8.923680231813035e-05,0.00013475099352887082,0.6074025526080877,0.11425853338773095
7,(powabs(sin(powabs(0.9526504, powabs(x1, 0.8496392))), x0) + 1.7631723) * 0.037796766,12,8.919347407230509e-05,9.523737565430533e-05,8.919347407230509e-05,9.523737565430533e-05,0.6075931752914323,0.37398834265162917
8,(powabs(powabs(0.85459185, x1), 0.15786639) + (powabs(0.09320686, x0) + 1.8880486)) * 0.03315551,13,8.474356624040659e-05,8.547364266451744e-05,8.474356624040659e-05,8.547364266451744e-05,0.6271705515594037,0.4381670396059669
9,0.017542345 * ((x5 + 4.0308194) + (powabs(0.2435033, 0.017542345 * x1) - log(x0))),14,7.082741260607191e-05,0.00010236535427366582,7.082741260607191e-05,0.00010236535427366582,0.6883946906189391,0.32713491269943695
10,(powabs(0.08111036, x0) + (powabs(powabs(0.9468753, x1) + x5, 0.34548065) + 1.6081872)) * 0.035515442,15,6.0674822613925154e-05,5.74312389229017e-05,6.0674822613925154e-05,5.74312389229017e-05,0.733061025716019,0.6224945845610281
11,(powabs(powabs(0.7638866, x1), 0.07162027) + ((powabs(0.22692713, exp(x5)) / x0) + (x5 + 1.6667378))) * 0.032209612,18,5.741102035291032e-05,5.8951846039719577e-05,5.741102035291032e-05,5.8951846039719577e-05,0.7474201287226274,0.6124993723364686
12,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(-2.6028495, x5 - x3)), x0) + x5)) * 0.032215185,21,5.3895802559177107e-05,5.072532713042994e-05,5.3895802559177107e-05,5.072532713042994e-05,0.7628853347474503,0.6665736966364716
13,((powabs(powabs(0.7638866, x1 + -0.2742306), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(-2.6028495, x5 - x3)), x0) + x5)) * 0.032215185,23,5.38137997184273e-05,5.067826189164339e-05,5.38137997184273e-05,5.067826189164339e-05,0.7632461063699306,0.6668830645493717
14,((powabs(powabs(0.7638866, x1 + -2.6028495), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(-2.6028495, x5 - x3)), x0) + sin(x5))) * 0.032215185,24,5.24632972584751e-05,5.0616747649431336e-05,5.24632972584751e-05,5.0616747649431336e-05,0.7691876439945482,0.6672874082479789
15,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(-2.6028495, (x5 - x3) + (x13 - x7))), x0) + x5)) * 0.032215185,25,4.807209668032232e-05,4.085935222156333e-05,4.807209668032232e-05,4.085935222156333e-05,0.7885067376104611,0.7314244473173344
16,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(-2.6028495, (x5 - x3) + (x13 - x7))), x0) + sin(x5))) * 0.032215185,26,4.716185010822977e-05,4.0910354280047586e-05,4.716185010822977e-05,4.0910354280047586e-05,0.7925113687874812,0.7310892020111659
17,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(0.7638866 + 1.6667378, (x5 - x3) + (x13 - x7))), x0) + sin(x5))) * 0.032215185,28,4.693776893182655e-05,4.111129708433864e-05,4.693776893182655e-05,4.111129708433864e-05,0.7934972142635535,0.7297683703830131
18,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(x5 - -2.6028495, (x5 - powabs(x3, 0.2435033)) + (x13 - x4))), x0) + x5)) * 0.032215185,29,4.560739585627476e-05,3.870251943679258e-05,4.560739585627476e-05,3.870251943679258e-05,0.7993501926309152,0.7456016803305437
19,((powabs(powabs(0.7638866, x1), 0.07162027) + 1.6667378) + (powabs(powabs(0.2435033, powabs(1.6667378 - ((0.2435033 - x0) - x5), (x5 - powabs(x3, 0.2435033)) + (x13 - x4))), x0) + x5)) * 0.032215185,33,4.450071366029801e-05,3.800127779330416e-05,4.450071366029801e-05,3.800127779330416e-05,0.8042190426336935,0.7502110623134673
20,((powabs(powabs(0.80716985, x1 + x13), 0.084956944) + 1.4307501) + powabs(x5 + powabs(0.19163269, powabs((x0 + (x0 + 0.8064591)) - 5.0204784e-5, (x5 - x3) + sin(x13 - x4))), x0)) * 0.0354958,34,4.355630862926589e-05,3.755019522568422e-05,4.355630862926589e-05,3.755019522568422e-05,0.8083739540027213,0.7531761056466826
21,((powabs(powabs(0.80716985, x1 + sin(5.0204784e-5)), 0.084956944) + 1.4307501) + powabs(x5 + powabs(0.19163269, powabs((x0 + (x0 + 0.8064591)) - 5.0204784e-5, (x5 - x3) + sin(x13 - x4))), x0)) * 0.0354958,35,4.349934217405142e-05,3.7587306008380674e-05,4.349934217405142e-05,3.7587306008380674e-05,0.8086245780089967,0.7529321700864922
22,((powabs(powabs(0.8065094, 0.08571173 + (x1 + x5)), 0.08571173) + 1.4304739) + powabs(x5 + powabs(0.19105707, powabs(((x0 + x0) + 0.8065094) - 0.08571173, (x5 - x3) + sin(x13 - x4))), x0)) * 0.035631042,36,4.333560977422214e-05,3.772562811251757e-05,4.333560977422214e-05,3.772562811251757e-05,0.8093449189508333,0.7520229550953844
23,((powabs(powabs(0.80716985, x1 + ((x5 + 0.0354958) - 0.80716985)), 0.084956944) + 1.4307501) + powabs(x5 + powabs(0.19163269, powabs((x0 + (x0 + 0.8064591)) - 5.0204784e-5, (x5 - x3) + sin(x13 - x4))), x0)) * 0.0354958,38,4.282811507211546e-05,3.7115695078144204e-05,4.282811507211546e-05,3.7115695078144204e-05,0.8115776426638782,0.7560321498794318
