Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.08261559,1,0.00022729847818288694,0.00015258623807153595,0.00022729847818288694,0.00015258623807153595,-1.4049494900802983e-10,-0.0029755978413201767
1,0.30261496 / (x0 + 2.7289383),5,0.00010882088172829628,0.00016084027063089648,0.00010882088172829628,0.00016084027063089648,0.5212423654854981,-0.057230774097419834
2,0.11230991 / sqrtabs(x0 + 0.9453149),6,0.0001078004747447412,0.00015741753656250892,0.0001078004747447412,0.00015741753656250892,0.5257316475601339,-0.034732554127651305
3,0.119754344 / powabs(x0 * x1, 0.11489022),7,8.881880538464847e-05,8.944421562090306e-05,8.881880538464847e-05,8.944421562090306e-05,0.6092415307520781,0.41206778036060565
4,0.121086806 / powabs((x0 - x5) * x1, 0.121086806),9,7.450257507632827e-05,7.377060290544648e-05,7.450257507632827e-05,7.377060290544648e-05,0.6722258077467202,0.5150931336447488
5,0.11889921 / powabs((x0 * powabs(0.1494191, x5)) * x1, 0.11799961),11,6.274832867275052e-05,5.926153172936004e-05,6.274832867275052e-05,5.926153172936004e-05,0.7239386326595714,0.6104637550118942
6,0.12628205 / powabs(((x0 * powabs(0.11614031, x5)) * x1) + 1.5056396, 0.1327347),13,6.13186893299838e-05,5.830928367757889e-05,6.13186893299838e-05,5.830928367757889e-05,0.7302283331203782,0.6167230453063484
7,0.12025661 / powabs(powabs(0.3803469, x3) * (x0 * (x1 * powabs(0.12679091, x5))), 0.123503126),15,5.730918935969571e-05,5.200382166092967e-05,5.730918935969571e-05,5.200382166092967e-05,0.7478681343320048,0.6581699321012737
8,sin(0.12025661 / powabs(powabs(0.3803469, x3) * (x0 * (x1 * powabs(0.12679091, x5))), 0.123503126)),16,5.715561110692389e-05,5.1912242019836464e-05,5.715561110692389e-05,5.1912242019836464e-05,0.7485438020884332,0.658771900839978
9,0.12812105 / powabs((powabs(0.3564989, x3) * ((x0 * powabs(0.10869563, x5)) * x1)) + 1.829868, 0.13922855),17,5.473779068777233e-05,5.021282247039243e-05,5.473779068777233e-05,5.021282247039243e-05,0.7591810066963138,0.6699424779518389
10,0.12025661 / sqrtabs(sqrtabs(sqrtabs((powabs(0.33940268, x3) * powabs(0.33940268, x4)) * (x0 * (x1 * powabs(0.13922855, x5)))))),20,5.2443793766312396e-05,4.502519225208014e-05,5.2443793766312396e-05,4.502519225208014e-05,0.7692734496379531,0.7040416639947648
11,0.12025661 / sqrtabs(sqrtabs(sqrtabs(((powabs(0.33940268, x3) * powabs(0.3803469, x4)) * (x0 * (x1 * powabs(0.10077769, x5)))) + 0.89225715))),22,4.9565141503172146e-05,4.235721746290433e-05,4.9565141503172146e-05,4.235721746290433e-05,0.7819380846436854,0.7215787213534018
12,0.12079113 / sqrtabs(sqrtabs(sqrtabs(((powabs(0.33940268, x3) * powabs(0.33940268, x4)) * (x0 * (powabs(0.10077769, x5) * x1))) + powabs(x4, x10)))),24,4.8549379378624434e-05,4.141251014347358e-05,4.8549379378624434e-05,4.141251014347358e-05,0.7864069316540606,0.7277884451166085
13,0.12015931 / sqrtabs(sqrtabs(sqrtabs(powabs(powabs(0.32165408, x3) * powabs(0.32165408, x4), x0) * (((x0 * powabs(0.09306954, x5)) * x1) + (x5 - x10))))),26,4.815783144640515e-05,3.91528731428006e-05,4.815783144640515e-05,3.91528731428006e-05,0.7881295473768076,0.7426414279301163
14,0.12015931 / sqrtabs(sqrtabs(sqrtabs((powabs(powabs(0.30261496, x3) * powabs(0.32165408, x4), 0.88927037) * ((x0 * powabs(0.09306954, x5)) * x1)) + (powabs(0.09306954, x10) - x10)))),28,4.750198115289598e-05,4.0752696461020995e-05,4.750198115289598e-05,4.0752696461020995e-05,0.7910149617396508,0.7321255139832745
15,0.12812105 / powabs(((powabs(powabs(0.33940268, x3) * powabs(0.33940268, x4), powabs(x0, 0.33940268)) * (x0 * (powabs(0.10077769, x5) * x1))) + x0) + powabs(x3, x10), 0.13922855),29,4.749303691486971e-05,4.264775800190272e-05,4.749303691486971e-05,4.264775800190272e-05,0.791054311928438,0.719668948398239
16,0.12812105 / powabs(((powabs(powabs(0.33940268, x3) * powabs(0.33940268, x4), sqrtabs(x0)) * (x0 * (powabs(0.10077769, x5) * x1))) + powabs(x4, x10)) + powabs(x3, x10), 0.13922855),30,4.622978213882351e-05,3.906453420885102e-05,4.622978213882351e-05,3.906453420885102e-05,0.7966120032351403,0.7432220949431481
17,0.14146149 / sqrtabs(sqrtabs(sqrtabs(x0 * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(x5 - x7) / sqrtabs(x0)) * ((powabs(x3, x5) * powabs(0.22629698, x4)) * powabs(0.14146149, x3))))),34,4.491667465087502e-05,3.80645339348495e-05,4.491667465087502e-05,3.80645339348495e-05,0.8023890216236066,0.7497952688108198
18,0.14146149 / sqrtabs(sqrtabs(sqrtabs(x0 * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(0.026488975 - x7) / powabs(x0, 0.44332173)) * ((powabs(x3, x5) * powabs(0.22629698, x4)) * powabs(0.14146149, x3))))),35,4.4736116769527864e-05,3.988186658234691e-05,4.4736116769527864e-05,3.988186658234691e-05,0.8031833862969471,0.7378496286165468
19,0.14146149 / sqrtabs(sqrtabs(sqrtabs((x0 * 0.8575559) * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(x5 - x7) / sqrtabs(x0)) * ((powabs(x4, x5) * powabs(0.2904628, x4)) * powabs(0.22629698, x3))))),36,4.365243141594372e-05,3.5829476109886615e-05,4.365243141594372e-05,3.5829476109886615e-05,0.8079510616566759,0.7644866884731298
20,0.14146149 / sqrtabs(sqrtabs(sqrtabs((x0 * powabs(0.5606934, x5)) * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(x5 - x7) / sqrtabs(x0)) * ((powabs(x4, x5) * powabs(0.2904628, x4)) * powabs(0.22629698, x3))))),38,4.1660116158158834e-05,3.34727539720632e-05,4.1660116158158834e-05,3.34727539720632e-05,0.8167162556605783,0.7799778285982382
21,0.14146149 / sqrtabs(sqrtabs(sqrtabs((x0 * powabs(0.5606934, x5)) * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(0.014508939 - x7) / powabs(x0, 0.44332173)) * ((powabs(x4, x5) * powabs(0.22629698, x4)) * powabs(0.14146149, x3))))),39,4.125722981497029e-05,3.422975275658181e-05,4.125722981497029e-05,3.422975275658181e-05,0.8184887547396129,0.7750019453333807
22,0.14146149 / sqrtabs(sqrtabs(sqrtabs((x0 * powabs(powabs(0.5606934, x0), x5)) * x1) + (powabs(x0 * powabs(x1, 0.5606934), exp(x5 - x7) / sqrtabs(x0)) * ((powabs(x4, x5) * powabs(0.12130964, x3)) * powabs(0.2904628, x4))))),40,4.018063479845187e-05,3.098932155078536e-05,4.018063479845187e-05,3.098932155078536e-05,0.8232252361506475,0.7963018572191018
