Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.08261554,1,0.00022729847816751675,0.00015258630535614818,0.00022729847816751675,0.00015258630535614818,-7.287392911337065e-11,-0.0029760401146539106
1,powabs(((0.07949472; powabs(x0; 0.08530939)),5,0.00010846155560931212,0.0001490866283136901,0.00010846155560931212,0.0001490866283136901,0.5228232212919568,0.02002793926299684
2,powabs(((0.08677221; powabs(x0 / 0.6616727; 0.085323036)),7,0.00010846154694647268,0.00014910833218575884,0.00010846154694647268,0.00014910833218575884,0.5228232594041321,0.019885275977377326
3,powabs(((0.085323036; powabs(x0 / (x5 + 0.6616727); 0.0842928)),9,9.074962282046126e-05,0.00012706457032694371,9.074962282046126e-05,0.00012706457032694371,0.6007468965093865,0.16478271567080127
4,powabs(((((0.11022183; powabs(powabs(x1 + (-0.4854021 / 0.035102032); 0.045171127); powabs(-0.4854021; x5))),13,8.638261273167253e-05,0.00015577769126470299,8.638261273167253e-05,0.00015577769126470299,0.6199595640305853,-0.0239535688225474
5,sin(powabs(((((0.11022183; powabs(powabs(x1 + (-0.4854021 / 0.035102032); 0.045171127); powabs(-0.4854021; x5)))),14,8.620777861389261e-05,0.00015381480106773404,8.620777861389261e-05,0.00015381480106773404,0.6207287469974145,-0.011051153810003544
6,powabs(((((0.11022183; powabs(powabs(x1 + (-0.4854021 / (x2 + 0.035102032)); 0.045171127); powabs(-0.4854021; x5))),15,8.082467485646986e-05,0.00015475075274956022,8.082467485646986e-05,0.00015475075274956022,0.6444117201577,-0.017203325260682467
7,sin(powabs(((((0.11022183; powabs(powabs(x1 + (-0.4854021 / (x2 + 0.035102032)); 0.045171127); powabs(-0.4854021; x5)))),16,8.078821797817784e-05,0.00015284665347998762,8.078821797817784e-05,0.00015284665347998762,0.6445721122491412,-0.004687353129870342
8,powabs(((((0.11022183; powabs(powabs(x1 + (0.046044905 + (-0.4854021 / (x2 + 0.035102032))); 0.045171127); powabs(-0.4854021; x5))),17,8.00757437379443e-05,0.00015169596521634216,8.00757437379443e-05,0.00015169596521634216,0.647706643751637,0.00287631882210293
9,sin(powabs(((((0.11022183; powabs(powabs(x1 + (0.045171127 + (-0.4854021 / (x2 + 0.035102032))); 0.045171127); powabs(0.43408406; x5)))),18,7.975357484457733e-05,0.00014885749261429624,7.975357484457733e-05,0.00014885749261429624,0.6491240262875334,0.021534087641716382
