gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,87.33851,57.660656,58.89771,111.22955,197.50691,71.80836,46.304752,47.036858,137.43176,161.49988,87078.44,59379.105,60533.69,109376.74,189902.28,87113.19,59405.87,60550.945,109424.875,189913.55,9,5,5,15,16,6.006,5.68,5.76,6.254,6.286
2,63.342037,57.4049,57.729057,110.650795,111.22936,49.36804,46.18234,46.311146,79.37378,79.37445,64681.73,59140.402,59442.95,108836.57,109376.56,64718.586,59188.67,59478.965,108869.086,109404.49,9,5,5,14,16,5.726,5.378,5.406,6.088,6.23
3,60.99285,57.357002,57.660576,92.883026,108.65792,48.39144,46.180225,46.18234,73.70071,77.80324,62489.156,59095.7,59379.035,92253.32,106976.555,62523.63,59124.65,59407.695,92289.42,107036.484,10,5,5,16,19,5.774,5.216,5.244,6.306,6.422
4,59.39056,56.49561,57.357002,65.64495,80.5918,47.221046,45.671806,46.182087,51.45171,62.57449,60993.688,58291.73,59095.7,66831.11,80781.51,61031.543,58336.895,59132.547,66855.086,80897.125,11,5,6,18,21,5.84,5.226,5.29,6.55,6.902
5,58.897675,51.541733,56.901672,63.342022,63.342045,46.840492,44.81926,46.131836,49.367878,51.45168,60533.66,53668.113,58670.727,64681.72,64681.74,60556.3,53812.246,58713.617,64710.57,64737.062,11,5,6,18,23,5.966,5.106,5.264,6.916,7.144
6,57.94016,49.56844,51.541733,62.69089,63.34201,46.576897,41.909103,44.6514,49.36785,49.36798,59639.98,51826.375,53668.113,64073.996,64681.703,59729.332,51901.984,53812.246,64117.883,64709.707,12,7,7,21,24,6.274,5.27,5.34,7.468,7.754
7,57.729122,46.78671,49.56844,59.543926,63.341995,46.38107,37.814682,41.90876,48.62595,49.368134,59443.01,49230.09,51826.375,61136.824,64681.69,59483.785,49271.38,51901.984,61171.742,64702.89,12,7,8,19,24,6.502,5.326,5.586,8.148,8.606
8,57.42957,44.014164,47.534447,58.89769,59.06401,46.297848,36.982044,40.85834,48.485413,50.668667,59163.426,46642.383,49927.98,60533.67,60688.906,59210.043,46681.043,49976.223,60551.29,60735.812,12,7,8,23,27,7.158,5.44,5.998,9.074,9.356
9,57.28557,40.95563,43.583664,58.75429,58.897705,46.17874,35.648678,37.814465,48.485413,50.668667,59029.027,43787.754,46240.582,60399.836,60533.688,59120.098,43870.402,46294.742,60524.07,62033.82,14,7,9,24,28,7.898,5.778,6.18,10.212,10.552
10,56.07749,39.80804,42.12757,58.420044,58.886677,45.673264,30.598574,35.84296,47.297607,49.380356,57901.49,42716.668,44881.562,60087.87,60523.395,58124.52,42815.19,44970.766,60176.125,60658.848,15,8,9,27,35,8.86,6.116,6.564,11.692,12.472
11,52.21016,31.507753,39.135124,57.729034,58.47168,43.143127,26.983505,33.230583,46.82421,48.767338,54291.98,34969.73,42088.61,59442.926,60136.066,54449.65,35074.742,42180.22,59485.473,60459.9,17,9,10,28,35,9.94,6.494,6.968,13.504,14.22
12,50.068287,30.419695,35.89293,57.619534,58.012608,42.610165,28.322918,32.758213,46.536808,47.511185,52292.9,33954.21,39062.562,59340.73,59707.598,52527.465,34083.15,39143.16,59475.445,60126.684,18,9,11,33,37,10.998,7.056,7.474,15.498,16.244
13,47.534416,26.805033,31.507753,57.279724,57.729015,40.495457,21.455095,28.304592,46.429413,48.125587,49927.95,30580.527,34969.73,59023.574,59442.91,50332.906,30647.264,35074.742,59132.547,59485.473,19,9,11,33,36,12.502,7.932,8.59,17.624,18.002
14,45.22874,24.487652,28.798548,57.264626,57.404316,40.085434,18.32339,22.097084,46.330097,48.09183,47775.99,28417.637,32441.14,59009.48,59139.855,48042.027,28686.035,32567.668,59081.18,59454.027,21,12,13,35,46,13.762,8.786,9.81,19.874,20.49
15,43.19966,22.633675,25.697748,57.20317,57.404316,38.936806,18.32339,21.817724,46.068222,46.282295,45882.18,26687.258,29547.059,58952.12,59139.855,46326.734,26756.428,29615.568,59081.18,59494.617,23,12,13,39,48,15.792,9.608,11.208,21.392,22.836
16,42.697334,19.4118,25.641222,56.90799,57.25341,37.41236,18.11617,18.912987,45.690025,46.23385,45413.34,23680.176,29494.3,58676.62,58999.01,45541.324,23908.023,29569.047,59039.496,59150.492,26,12,13,46,54,17.366,10.534,11.994,24.454,25.758
17,39.880676,9.674312,20.768888,54.298756,57.20317,35.95337,13.701867,17.48782,43.085205,46.07265,42784.46,14591.853,24946.79,56241.336,58952.12,43338.28,14733.48,25233.81,58761.73,59122.0,27,12,14,52,57,19.258,12.19,13.718,27.324,28.034
18,35.153625,9.674312,17.830978,51.15411,57.19689,32.13303,9.733701,13.510484,43.07875,46.18233,38372.547,14591.853,22204.742,53306.332,58946.26,40429.508,14733.48,22440.158,58713.715,59081.18,29,12,18,57,68,21.66,13.22,15.64,29.956,30.88
19,33.506966,9.674312,14.864438,50.150196,57.117558,31.277803,8.79629,12.378872,43.05214,46.18233,36835.66,14591.853,19435.97,52369.348,58872.215,36975.67,14733.48,19629.701,53407.13,59081.18,31,13,18,56,65,24.636,14.986,17.22,33.062,36.578
20,32.10279,7.315367,10.177753,46.190536,57.117542,30.42046,6.7637587,11.587207,43.05214,46.183613,35525.098,12390.172,15061.732,48673.664,58872.2,36185.875,12570.313,15215.609,58713.715,59494.617,32,14,20,59,76,27.09,16.186,19.16,35.516,41.682
21,29.62043,5.5282598,8.928609,44.50224,56.901596,29.040503,5.584495,7.2614665,43.050873,46.282295,33208.23,10722.204,13895.863,47097.918,58670.652,35074.742,11021.019,14010.038,47996.895,59039.496,35,16,20,61,76,30.114,18.628,21.926,38.898,45.276
22,25.150919,5.292619,7.6938434,43.048622,54.69285,22.816708,5.3727446,6.166371,38.748287,44.98077,29036.688,10502.273,12743.416,45741.21,56609.156,30711.033,10947.831,13075.394,46515.977,58653.273,36,16,20,75,90,33.09,20.792,23.242,43.454,48.204
23,23.210814,5.0165825,6.2360864,41.01804,50.138493,20.669136,4.741692,5.474738,37.492527,43.050873,27225.922,10244.639,11382.842,43846.0,52358.42,27483.701,10696.298,11701.137,44005.7,52444.465,41,20,22,84,92,35.92,22.882,26.388,46.6,52.416
24,18.385708,4.3678493,5.5905004,40.52403,45.38959,17.548367,3.9828782,5.030668,36.381958,42.383247,22722.488,9639.154,10780.295,43384.92,47926.113,24080.154,9809.813,11021.019,44369.945,52444.465,43,20,23,89,94,38.994,25.238,29.09,49.708,53.636
25,16.21636,4.3028526,4.8175898,39.936817,45.38959,15.587228,4.0387506,4.5604362,36.46743,42.383247,20697.766,9578.49,10058.912,42836.855,47926.113,21627.76,9766.15,10948.78,43612.055,53347.45,47,20,23,93,95,42.332,27.358,31.37,53.758,57.618
26,14.589165,3.9958673,4.81728,38.35719,43.20096,14.361901,3.996861,4.3747826,35.803448,43.05139,19179.049,9291.971,10058.623,41362.54,45883.39,19511.914,9736.485,10422.074,41577.883,47559.562,52,23,28,91,94,45.14,30.452,34.656,55.838,59.556
27,13.707731,3.9952888,4.35887,37.83624,40.190548,13.11799,3.7393289,4.3748517,35.27487,37.242638,18356.379,9291.432,9630.773,40876.32,43073.67,18574.225,9558.218,9964.393,41490.074,46120.305,54,23,28,92,96,49.074,33.33,38.608,60.132,61.522
28,11.528611,3.493538,4.2193274,37.314434,39.22832,10.665638,3.4429677,3.9266434,34.502285,35.95515,16322.532,8823.131,9500.534,40389.3,42175.598,17229.217,9350.291,9809.813,41516.883,46654.703,62,27,28,92,97,51.368,35.816,41.424,60.994,63.346
29,10.577897,2.752903,4.0330515,35.19987,37.85031,9.531289,3.0034492,3.8028467,32.598614,35.22575,15435.199,8131.871,9326.677,38415.707,40889.453,16230.034,9123.069,9627.199,41512.25,3.4028235e38,64,23,28,93,96,54.612,39.85,44.56,63.468,65.712
30,9.651478,2.752903,3.5460608,35.13998,37.70245,8.859598,2.7384605,3.408591,32.598614,35.201744,14570.541,8131.871,8872.152,38359.812,40751.45,15021.862,8584.615,9337.413,41023.523,3.4028235e38,63,24,29,92,98,56.762,43.672,47.992,64.14,66.91
31,8.266366,2.641994,3.4805853,34.436863,37.542896,8.189177,2.8637598,3.475819,32.598614,35.1781,13277.7705,8028.3564,8811.041,37703.566,40602.535,14020.837,8325.331,9229.083,40845.277,3.4028235e38,63,24,30,92,96,58.68,46.25,49.838,66.042,68.914
32,7.6257324,2.5983438,2.9040408,34.436863,37.257664,7.2507954,2.717739,3.0034492,32.598614,35.15473,12679.846,7987.616,8272.934,37703.566,40336.316,13357.376,8237.684,8570.756,40520.586,3.4028235e38,64,24,30,94,98,60.272,48.818,52.318,67.814,69.282
33,7.184828,2.4164953,2.7250156,34.022903,37.05707,7.7053566,2.3643603,3.0034847,31.868725,34.996296,12268.334,7817.8906,8105.843,37317.203,40149.098,12657.018,8121.7085,8325.331,40520.586,3.4028235e38,63,24,35,94,98,62.168,50.892,53.73,68.734,69.626
