gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.00017554093,9.767043e-5,0.000113913986,0.00019336425,0.00019337336,0.0001378074,0.000115209084,0.000115210896,0.00014859563,0.00014953113,-2931.024658203125,-3226.799560546875,-3149.184814453125,-2882.237548828125,-2882.2138671875,-2882.1005859375,-3200.5849609375,-3122.850341796875,-2849.4619140625,-2839.942626953125,16.125835,3.295837,6.931472,35.155594,40.76422,13.096917,6.3775625,7.8800154,18.748602,21.74156,9,3,5,16,17,8.948718,7.9117646,8.090909,9.738095,10.0
2,0.00012505562,9.256539e-5,9.346609e-5,0.00018941847,0.00018970056,0.0001371892,0.000115209456,0.00011521098,0.00014923618,0.00015821967,-3102.107421875,-3253.883056640625,-3248.997314453125,-2892.63916015625,-2891.88818359375,-3077.595947265625,-3221.86767578125,-3211.908203125,-2856.788818359375,-2843.036376953125,19.4591,6.931472,9.656628,38.366325,47.957905,14.460541,8.479712,9.260239,23.183552,36.14534,10,5,6,17,20,10.290909,8.978261,9.166667,11.269841,11.634921
3,0.00011404046,8.751448e-5,9.242986e-5,0.00018307347,0.00018920503,0.00013658752,9.3841365e-5,0.000114681374,0.00014923437,0.00015822837,-3148.625,-3282.19091796875,-3254.6220703125,-2909.82763671875,-2893.207763671875,-3121.05322265625,-3230.640869140625,-3220.588134765625,-2866.6298828125,-2837.02685546875,22.873857,9.656628,9.656628,50.65687,59.867214,15.248535,9.013057,9.403525,23.238972,29.039803,11,6,6,22,24,11.64,10.179105,10.393442,13.011495,13.244445
4,9.748367e-5,7.366549e-5,9.044972e-5,0.00016976835,0.00018628952,0.00013326161,8.188797e-5,0.000111537935,0.00014908159,0.00014996392,-3227.76513671875,-3369.10107421875,-3265.54736328125,-2947.893798828125,-2901.042236328125,-3165.48828125,-3283.552490234375,-3223.884033203125,-2877.644287109375,-2861.450439453125,26.366695,9.656628,12.542316,61.558784,67.092476,15.742507,8.552336,9.403525,24.878464,28.938526,12,6,7,25,27,13.0625,11.202532,11.418919,14.560748,15.656863
5,9.512545e-5,7.0084905e-5,7.495552e-5,0.00016697709,0.00017342028,0.00013170631,8.163759e-5,0.000104217,0.00014882586,0.0001599398,-3240.11962890625,-3394.238525390625,-3360.342529296875,-2956.257568359375,-2937.15625,-3177.763671875,-3332.11474609375,-3280.90234375,-2881.849365234375,-2864.22802734375,39.509388,11.266066,14.334076,67.14107,74.5472,17.935083,9.343843,10.985102,29.319057,32.534203,18,7,8,28,30,14.616072,12.595745,12.827586,16.564102,17.664122
6,9.277586e-5,6.6222565e-5,6.8523645e-5,0.00015589598,0.00016894308,0.00013035056,7.5625394e-5,7.889622e-5,0.00014892237,0.00020726232,-3252.73681640625,-3422.8369140625,-3405.6044921875,-2990.900146484375,-2950.35205078125,-3189.70849609375,-3355.953857421875,-3329.360107421875,-2871.563720703125,-2798.15673828125,43.162113,14.334076,17.513191,74.5472,110.84041,19.377739,9.937587,12.590708,37.258015,94.880516,19,8,9,30,42,16.2,13.725491,13.9,18.431654,19.866198
7,9.1304675e-5,6.135264e-5,6.524612e-5,0.00013018744,0.00016416512,0.00011543327,7.00628e-5,7.4200034e-5,0.00014729606,0.00016671867,-3260.80126953125,-3461.3720703125,-3430.3310546875,-3081.818115234375,-2964.82568359375,-3204.922607421875,-3376.801025390625,-3346.591552734375,-2889.967041015625,-2826.0419921875,50.536167,15.567281,21.405012,98.313705,115.42272,20.02634,9.650858,12.439297,51.64363,94.880516,22,8,11,39,44,17.76033,15.417323,15.666667,20.680723,22.28221
8,8.628671e-5,6.0702965e-5,6.1118415e-5,0.00012130181,0.00016305847,0.000114426875,6.784587e-5,7.043792e-5,0.0001470738,0.00024022475,-3289.318603515625,-3466.74267578125,-3463.3017578125,-3117.48291015625,-2968.238037109375,-3216.099365234375,-3418.129638671875,-3382.574462890625,-2903.941162109375,-2789.49609375,52.73339,21.405012,22.873857,102.59798,131.95287,22.13967,11.90169,13.219997,51.64363,94.880516,22,11,12,42,50,19.672956,16.869566,17.097744,22.8,24.208555
9,8.2303544e-5,5.872296e-5,6.0701626e-5,0.00011431786,0.00014392387,0.000111409354,6.0887116e-5,6.7815745e-5,0.00014999458,0.00024518007,-3313.162109375,-3483.472900390625,-3466.75390625,-3147.3994140625,-3031.212158203125,-3234.70458984375,-3422.5849609375,-3399.173583984375,-3054.3779296875,-2824.909423828125,57.549488,21.405012,27.03274,110.29282,131.95287,22.416348,12.039321,13.3964,54.113018,67.594666,24,11,13,43,54,21.380682,18.474684,18.80625,24.62381,26.405798
10,7.395133e-5,4.910904e-5,5.844938e-5,0.00011100872,0.00014361681,0.000106156236,5.206037e-5,6.6984685e-5,0.00023176604,0.00024461033,-3367.1474609375,-3573.671142578125,-3485.82861328125,-3162.21826171875,-3032.28955078125,-3232.123291015625,-3461.376708984375,-3401.813232421875,-2881.78271484375,3.4028234663852886e38,69.577385,22.873857,32.95837,131.95287,178.73131,25.067352,12.439297,13.509643,77.34209,3.4028235e38,28,11,15,52,66,23.114428,19.91716,20.188889,26.640167,28.84188
11,6.9127134e-5,4.6939746e-5,5.7127265e-5,0.00011023628,0.00014237732,0.00010387505,5.3846394e-5,6.170716e-5,0.00021836006,0.0002421008,-3401.180419921875,-3596.4638671875,-3497.37158203125,-3165.741455078125,-3036.66259765625,-3230.627197265625,-3451.73828125,-3400.6025390625,-2903.941162109375,3.4028234663852886e38,74.334755,32.95837,39.55004,145.14815,197.9293,27.533365,13.43924,14.393169,74.709625,3.4028235e38,31,15,18,55,75,25.079498,21.175259,21.538836,28.68302,31.42647
