-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
19,1356916,-3455.647,-3341.2585,6.205286e-5,7.442742e-5,0.6791038,0.47398084,-3455.647,-3348.3892,33.684,38,"(0.09944551 + (-0.00427083 * ((((-2.5511818 * -1.4434898) - X6) * (X1 + exp(-0.43148556))) + (((1.1653068 - (X2 + -1.14115)) * (62.69243 * pdiv((241423.39 - 0.08786983), (-349801.16 - (X13 * X11))))) * ((X8 + -6.309532) * -0.009194514))))) [likelihood params: Float32[-0.007877357]]"
20,1415768,-3455.7764,-3341.5403,6.2036954e-5,7.443e-5,0.67918605,0.47396266,-3455.7764,-3348.3433,35.554,38,"(0.0966718 + (-0.004253385 * ((((-2.5538297 * -1.448168) - X6) * (X1 + exp(-0.41739097))) + (((1.3048557 - (X2 + -1.2806989)) * (62.69243 * pdiv((241423.39 - X2), (-349801.16 - (X13 * X11))))) * ((X8 + -6.2676187) * -0.009275037))))) [likelihood params: Float32[-0.0078763645]]"
21,1469680,-3455.7764,-3341.5403,6.2036954e-5,7.443e-5,0.67918605,0.47396266,-3455.7764,-3348.3433,36.506,38,"(0.0966718 + (-0.004253385 * ((((-2.5538297 * -1.448168) - X6) * (X1 + exp(-0.41739097))) + (((1.3048557 - (X2 + -1.2806989)) * (62.69243 * pdiv((241423.39 - X2), (-349801.16 - (X13 * X11))))) * ((X8 + -6.2676187) * -0.009275037))))) [likelihood params: Float32[-0.0078763645]]"
22,1533141,-3455.7764,-3341.5403,6.2036954e-5,7.443e-5,0.67918605,0.47396266,-3455.7764,-3348.3433,35.268,38,"(0.0966718 + (-0.004253385 * ((((-2.5538297 * -1.448168) - X6) * (X1 + exp(-0.41739097))) + (((1.3048557 - (X2 + -1.2806989)) * (62.69243 * pdiv((241423.39 - X2), (-349801.16 - (X13 * X11))))) * ((X8 + -6.2676187) * -0.009275037))))) [likelihood params: Float32[-0.0078763645]]"
23,1587301,-3604.0103,-3453.937,4.6242647e-5,5.6650726e-5,0.7608637,0.59961843,-3604.0103,-3483.856,35.648,47,"(-0.01317233 + (-0.0051341746 * ((((-2.4532125 * -1.2849748) - (1.2420983 * (((0.14294699 - (0.28080335 * X8)) - X4) + X7))) * (X1 + exp(-0.25605097))) + (((12.010359 - (X2 + -1.145601)) * (62.690247 * pdiv((241423.39 - 0.08787035), (-349801.16 - (X13 * X11))))) * (log(abs(0.6410811) * -0.10692189))))) [likelihood params: Float32[-0.006809668]]"
24,1646254,-3619.8645,-3472.1086,4.480572e-5,5.5649856e-5,0.7682946,0.6066922,-3619.8645,-3492.892,34.494,47,"(0.038782462 + (-0.0031913265 * ((((-2.708519 * -1.7659086) - (0.7421567 * (((-0.09441907 - (0.203514 * X8)) - X4) + X7))) * (X1 + exp(1.4117862))) + (((12.010849 - (X2 + -1.1460974)) * (62.690132 * pdiv((241423.39 - 0.08787036), (-349801.16 - (X13 * X11))))) * (log(abs(0.66420823) * -0.1867837))))) [likelihood params: Float32[-0.0067510842]]"
25,1717825,-3621.7754,-3481.918,4.4642802e-5,5.5450084e-5,0.769137,0.60810405,-3621.7754,-3492.68,33.778,45,"(0.11311823 + (-0.002864268 * ((((-2.7944248 * -1.8980172) - (0.42419192 * (((-0.1304909 - (0.22287463 * X8)) - X4) + X7))) * (X1 + exp(2.2013798))) + (((12.012284 - (X2 + -1.147536)) * (62.69023 * pdiv((241423.39 - 0.08787036), (-349801.16 - -6170.7617)))) * (log(abs(0.6491251) * -0.194621))))) [likelihood params: Float32[-0.0066807712]]"
26,1778279,-3622.1963,-3477.5864,4.460515e-5,5.5572185e-5,0.76933175,0.6072411,-3622.1963,-3490.6833,33.668,45,"(0.16842778 + (-0.0028408533 * ((((-2.8105187 * -1.9218812) - (0.3168936 * (((-0.13399006 - (0.2589846 * X8)) - X4) + X7))) * (X1 + exp(2.5238004))) + (((12.012825 - (X2 + -1.1480793)) * (62.69024 * pdiv((241423.39 - 0.08787036), (-349801.16 - -6170.7617)))) * (log(abs(0.64820474) * -0.19412737))))) [likelihood params: Float32[-0.006664247]]"
27,1854348,-3688.9294,-3558.3103,3.9078903e-5,4.5436464e-5,0.79790986,0.6788758,-3688.9294,-3599.737,35.102,46,"(0.08636424 + (-0.0002552377 * ((((-2.5748384 * -1.485618) - -56.042007) * (X1 + exp(-0.4181745))) + ((((1.6065751 + exp(X5)) - (X2 + -6.25529)) * (62.670177 * ((((2.3281386 * (exp(0.5980325) * X7)) - (X2 + -6.605937)) * 0.040407125) * (X2 + -9.041269)))) * (-1.4809575 * -0.07253738))))) [likelihood params: Float32[-0.006252515]]"
28,1937561,-3688.9338,-3562.6877,3.9078575e-5,4.5397046e-5,0.7979115,0.67915434,-3688.9338,-3600.213,35.928,46,"(0.086331755 + (-0.00025483727 * ((((-2.5748384 * -1.4856179) - -56.042007) * (X1 + exp(-0.4181742))) + ((((1.6065688 + exp(X5)) - (X2 + -6.2552834)) * (62.670177 * ((((2.3281424 * (exp(0.5980417) * X7)) - (X2 + -6.6059465)) * 0.04046537) * (X2 + -9.041278)))) * (-1.480959 * -0.07256982))))) [likelihood params: Float32[-0.0062512965]]"
