Complexity,Loss,Equation
1,0.00022729844,"0.082615"
5,0.000113348004,"0.10449734 - (x0 / 45.66792)"
6,0.000107818945,"(2.7056932 - sin(x0)) / 23.737972"
7,9.720925e-5,"(4.7289176 - (x0 - x5)) / 45.8113"
8,9.546157e-5,"(4.7289176 - (x0 - sin(x5))) / 45.8113"
9,9.5233896e-5,"(4.7289176 - (x0 - sin(sin(x5)))) / 45.8113"
10,8.620492e-5,"(3.6238406 - (sin(x0) - powabs(0.9718043, x1))) / 39.50794"
12,6.605562e-5,"(3.6238406 - (sin(x0 - x5) - powabs(0.9718043, x1))) / 39.50794"
14,6.553498e-5,"(3.6238406 - (sin(x0 - (x5 * x0)) - powabs(0.9718043, x1))) / 39.50794"
15,6.514968e-5,"(3.6238406 - (sin(x0 - (x5 * sin(x0))) - powabs(0.9718043, x1))) / 39.50794"
16,6.4820706e-5,"(2.2062194 - (sin(sin(sin(x0 - (x5 * x0)))) - powabs(0.9718043, x1))) / 25.211575"
17,5.9845024e-5,"(2.2062194 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - powabs(0.9718043, x1))) / 25.211575"
18,5.8531954e-5,"(2.2062194 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.9718043, x1)))) / 25.211575"
22,5.779038e-5,"(2.2062194 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.9784308, (x1 - 1.2755446) * 1.2755446)))) / 25.211575"
24,5.7779114e-5,"(2.2062194 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.9784308, ((x1 - x0) * 1.2755446) - x5)))) / 25.211575"
25,5.7765632e-5,"(2.2062194 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.9784308, ((x1 - 1.2755446) * 1.2755446) - sin(x5))))) / 25.211575"
26,5.702885e-5,"(2.079511 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(-0.9142489, (x11 - ((0.21644351 - x1) * 0.24724455)) - -0.9142489)))) / 23.827929"
28,5.673028e-5,"(2.079511 - (sin(sin(sin(sin(x0 - (x0 * x5))))) - sin(powabs(-0.9142489, ((2.079511 * x11) - ((x5 - x1) * 0.24724455)) - -0.9142489)))) / 23.827929"
29,5.624343e-5,"(2.0314293 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.89948064, ((x1 - x0) * 0.21644351) - (0.24756995 - sin(x1 * 0.2514989)))))) / 23.840864"
31,5.585358e-5,"(2.0314293 - (sin(sin(sin(sin(x0 - (x5 * x0))))) - sin(powabs(0.89948064, ((x1 - -0.5277742) * 0.21644351) - ((x0 - 0.2514989) - sin(x1 * 0.2514989)))))) / 23.827957"
33,5.5670553e-5,"(2.0792851 - (sin(sin(sin(sin(x0 - (x0 * x5))))) - sin(powabs(-0.9129724, ((x5 * x0) - (-0.9129724 - (x1 * 0.24756995))) - sin((-0.9129724 - x1) * 0.24756995))))) / 23.827957"
35,5.450055e-5,"((2.0987866 - ((x0 * -0.34588522) * sin(powabs(0.45546392, x11)))) - sin((x0 - (sin(sin(x0)) * x5)) - (powabs(-0.46395797, x0 - ((x0 * x0) - (x1 * 0.032687906))) / 1.0526481))) / 23.80626"
37,5.421693e-5,"((2.0987866 - ((x0 * -0.34588522) * sin(powabs(2.7056932, x11)))) - sin((x0 - (sin(sin(x0)) * (x5 * 0.89373434))) - (powabs(-0.46395797, x0 - ((x0 * x0) - (x1 * 0.032687906))) / 1.0526481))) / 23.80626"
39,5.420988e-5,"((2.0987866 - ((x0 * -0.34588522) * sin(powabs(2.7056932, x11)))) - sin((x0 - (sin(sin(x0 * 1.0341074)) * (x5 * 0.89373434))) - (powabs(-0.46395797, x0 - ((x0 * x0) - (x1 * 0.032687906))) / 1.0526481))) / 23.80626"
41,5.413743e-5,"((2.0987866 - ((x0 * -0.34588522) * sin(powabs(2.7056932, x11)))) - sin((x0 - (sin(sin(x5 * x0)) * (1.0526481 / powabs(x1, 0.032687906)))) - (powabs(-0.46395797, x0 - ((x0 * x0) - (x1 * 0.032687906))) / 1.0526481))) / 23.80626"
50,5.411366e-5,"((2.0987866 - (((x0 - sin((x11 * 0.032687906) * (x1 * 0.032687906))) * -0.34588522) * sin(powabs(2.7056932, x11)))) - sin((x0 - (sin(sin(x5 * x0)) * (1.0526481 / powabs(x1, 0.032687906)))) - (powabs(-0.46395797, x0 - ((x0 * x0) - (x1 * 0.032687906))) / 1.0526481))) / 23.80626"
