Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,1.80595,1,0.05341109749999999,0.0750182975617284,0.05341109749999999,0.0750182975617284,0.0,-0.0042128095701505774
1,sqrtabs(sin(x0)) - -0.95989865,5,0.03254728589584094,0.041824303571801814,0.03254728589584094,0.041824303571801814,0.39062690303562964,0.44012990479297265
2,powabs(sin(x0), 0.32731125) + 0.91616756,6,0.030501266493598828,0.0413725220887557,0.030501266493598828,0.0413725220887557,0.4289339122155498,0.44617755939388115
3,powabs(-0.0006381798, powabs(-0.0006381798, x0)) + 0.8605449,7,0.020506248098818958,0.022616289706426842,0.020506248098818958,0.022616289706426842,0.6160676515059635,0.6972529560610825
4,(sqrtabs(x0) / powabs(x0, x0)) + sqrtabs(x0),9,0.007408919418962014,0.007612443452405296,0.007408919418962014,0.007612443452405296,0.8612850181750709,0.8980980177436901
5,((x0 + -0.53478557) / powabs(powabs(x0, x0), 2.339303)) + 1.6920646,11,0.0034227198074415926,0.004635126941994375,0.0034227198074415926,0.004635126941994375,0.9359174409879596,0.9379530861080336
6,(((x0 / 0.47562847) + -1.110619) / powabs(exp(x0), x0)) + 1.7150437,12,0.002211167608223793,0.002278234922610453,0.002211167608223793,0.002278234922610453,0.9586009703653104,0.9695030043755266
7,(((x0 + -0.54638225) / powabs(1.3995017, powabs(-4.177836, x0))) / 0.2921502) + 1.7337137,13,0.0018950876441936116,0.001810796533722357,0.0018950876441936116,0.001810796533722357,0.9645188409731964,0.9757602460493997
8,(sin(x0 + (x0 + -1.0855196)) / powabs(x0 + x0, x0)) + 1.7241535,14,0.0017854302302627758,0.00193945496700054,0.0017854302302627758,0.00193945496700054,0.9665719239290529,0.9740379935995774
9,((x0 + -0.5470424) / ((powabs(powabs(-4.561311, x0), x0) + 1.8768436) / 5.895751)) + 1.7298062,15,0.0013406832159130056,0.0013600458887645327,0.0013406832159130056,0.0013600458887645327,0.9748987892279689,0.9817941016059882
10,(((x0 + -0.54582286) / (powabs(0.08452085, x0) + powabs(-1.627289, powabs(-3.609051, x0)))) / 0.19243023) + 1.7327985,17,0.0013098730896405177,0.001317312810745512,0.0013098730896405177,0.001317312810745512,0.9754756380049948,0.9823661367725255
11,(((x0 + -0.5453725) / (powabs(-0.13417886, x0) + (powabs(-1.5576853, powabs(-3.773448, x0)) + -0.16887069))) / 0.21201807) + 1.732546,19,0.0013029346580508117,0.0013440937464594255,0.0013029346580508117,0.0013440937464594255,0.975605544183944,0.9820076407846092
12,(((x0 + -0.54638225) / ((powabs(-1.4136528, powabs(-4.177836, x0)) + -1.0991976) + (powabs(0.2656592, x0) + 0.41189933))) / 0.2921502) + 1.732969,21,0.0013020596929103287,0.0013370841715738273,0.0013020596929103287,0.0013370841715738273,0.9756219258945141,0.9821014726245543
13,(((x0 + -0.54481274) / sqrtabs(powabs(x0, 3.1099436) + 0.25789508)) / powabs(powabs(1.3886982, powabs(x0, 2.7527475) + -0.973677), x0)) + 1.7332228,22,0.0012979568522450114,0.0013378152045263956,0.0012979568522450114,0.0013378152045263956,0.9756987421528829,0.9820916868432309
14,(((x0 + -0.54983) / (((powabs(-1.4850183, powabs(-4.094471, x0)) + -0.9066556) + powabs(x0 + -0.70152146, 1.3144362)) + 1.3462406)) / 0.19552155) + 1.7337137,23,0.0012959918619190511,0.0013441271592014017,0.0012959918619190511,0.0013441271592014017,0.9757355320789083,0.9820071935136823
15,(((x0 + -0.5477794) / ((powabs(-1.4008985, powabs(-4.3062916, x0)) + ((-1.6230218 + sqrtabs(x0 + -0.70152146)) + -0.70152146)) + 2.001779)) / 0.2548749) + 1.7327985,24,0.0012911922122917593,0.001409295957553568,0.0012911922122917593,0.001409295957553568,0.9758253944830143,0.9811348284478703
16,(((x0 + -0.5505065) / (((powabs(-1.4008985, powabs(-4.3062916, x0)) + -2.559825) + powabs(sqrtabs(x0 + -0.70152146) + 0.2548749, 1.3438565)) + 2.001779)) / 0.2548749) + 1.7339045,26,0.0012853240158444243,0.0014277933203409282,0.0012853240158444243,0.0014277933203409282,0.975935262969565,0.9808872183412952
17,(((x0 + -0.5505065) / ((((powabs(-1.4008985, powabs(-4.3062916, x0)) + -2.559825) + sqrtabs(x0 + -0.70152146)) + powabs(-0.25843, powabs(1.3160881, x0))) + 2.001779)) / 0.2548749) + 1.7327985,28,0.0012826793382224577,0.0013933702925772668,0.0012826793382224577,0.0013933702925772668,0.9759847784774979,0.9813480131946577
18,((((x0 + (x0 + (x0 + -0.9159377))) + -0.72067314) / ((powabs(powabs(x0 + (x0 + -0.61979645), x0), 0.23809382) + 0.23809382) + powabs(powabs(x0 + 2.5254657, x0), x0))) / 0.68031883) + 1.7320877,33,0.0012819114829294414,0.001377234992500857,0.0012819114829294414,0.001377234992500857,0.975999154802437,0.9815640041668556
19,(((x0 + -0.5453412) / sqrtabs(sqrtabs(x0) + powabs((1.7150437 / (x0 + -0.6319169)) + -1.286458, -1.0028728))) / powabs(powabs(x0, sqrtabs(powabs(x0, x0)) + powabs(0.82948554, x0 + 1.6254212)), x0)) + 1.7320489,34,0.0012753865253225776,0.0013058641828096356,0.0012753865253225776,0.0013058641828096356,0.9761213196317006,0.9825193908345194
