Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,1.80595,1,0.05341109749999999,0.0750182975617284,0.05341109749999999,0.0750182975617284,0.0,-0.0042128095701505774
1,1.8472905 - powabs(-0.022808688, x0),5,0.027242919343766703,0.032907781993736805,0.027242919343766703,0.032907781993736805,0.48993897113298024,0.5594885876280998
2,powabs(powabs(-5.49482, x0), powabs(-0.42178628, x0)),7,0.01920637773277231,0.021721215507962403,0.01920637773277231,0.021721215507962403,0.6404047354995408,0.7092346325963853
3,powabs(x0 + x0, powabs(-0.23135021, x0)) * 1.6934152,9,0.00989747382521465,0.011393517325391699,0.00989747382521465,0.011393517325391699,0.8146925585040702,0.8474836617719403
4,powabs(x0 + x0, powabs(0.3053423, powabs(x0, x0))) * 1.7090652,11,0.004691700441595321,0.005006469576446812,0.004691700441595321,0.005006469576446812,0.9121586962036247,0.9329822051046381
5,(powabs(x0, powabs(0.23714921, x0)) * 1.6558955) + powabs(-0.44975543, powabs(x0, x0)),13,0.0038028326542812953,0.0039166260392982455,0.0038028326542812953,0.0039166260392982455,0.9288007018713424,0.9475711104251205
6,powabs(-0.71140194, exp(x0)) + (powabs(x0, powabs(powabs(-0.23135021, x0), x0)) * 1.7000555),14,0.0024879129913653116,0.0024266819457432784,0.0024879129913653116,0.0024266819457432784,0.9534195493480486,0.9675158571458806
7,(powabs(x0, powabs(0.24326386, powabs(x0, 2.0070863))) * 1.7252222) + powabs(-0.76110953, powabs(-3.5559866, x0)),15,0.0017917236173412088,0.002113496211642951,0.0017917236173412088,0.002113496211642951,0.9664540947255164,0.971708236021173
8,powabs(-0.67037606, powabs(x0 + 1.300149, x0)) + (powabs(x0, powabs(powabs(0.2435158, x0), x0)) * 1.7299073),17,0.0013385392281103983,0.0013705897860116635,0.0013385392281103983,0.0013705897860116635,0.9749389304702005,0.9816529584846099
9,(powabs(x0, powabs(powabs(-0.29768375, x0), x0)) * 1.7315089) + powabs(-0.6362428, powabs(sqrtabs(x0) + x0, x0)),18,0.0013029703113180977,0.0013348861849097138,0.0013029703113180977,0.0013348861849097138,0.9756048766584866,0.9821308953978657
10,(powabs(x0, powabs(powabs(-0.5455936, x0 + x0), x0)) * 1.7315111) + powabs(0.6362425, powabs(x0 + sqrtabs(x0), x0)),20,0.0013029703597452378,0.0013348994396451034,0.0013029703597452378,0.0013348994396451034,0.9756048757517998,0.9821307179668188
11,(powabs(x0, powabs(0.24326386, powabs(x0, 1.936182))) * 1.7341791) + powabs(-0.63214576, powabs(x0, 0.57350457) + powabs(powabs(x0, 1.7664758), x0)),21,0.0012959669424473298,0.0013165880149746784,0.0012959669424473298,0.0013165880149746784,0.9757359986387224,0.9823758390614477
12,(powabs(powabs(x0, 0.9722882), powabs(powabs(-0.27793097, x0), x0)) * 1.7330887) + powabs(-0.59204936, sqrtabs(powabs(powabs(-3.2848744, x0), x0) + -0.28922454)),22,0.0012949543359892552,0.0013275241445268654,0.0012949543359892552,0.0013275241445268654,0.9757549573665051,0.9822294454249567
13,(powabs(x0, powabs(powabs(powabs(0.6906239, x0), sqrtabs(powabs(x0 * 1.4997798, 1.7197471))), 2.3771493)) * 1.7308117) + powabs(0.6500757, powabs(2.6525834, powabs(x0 * 0.8604947, 1.8438429))),26,0.0012942982148558208,0.001330049030815151,0.0012942982148558208,0.001330049030815151,0.9757672417262008,0.9821956466953692
14,(powabs(powabs(x0, powabs(((x0 * 0.06426922) + -0.6359776) + (x0 * x0), 0.042826194)), powabs(powabs(-0.32133773, x0), x0)) * 1.7290761) + powabs(-0.6314268, powabs(sqrtabs(x0) + x0, x0)),30,0.0012913875790421393,0.0013902283672835522,0.0012913875790421393,0.0013902283672835522,0.975821736689793,0.981390071755425
15,(powabs(powabs(x0, powabs(((x0 * 0.06426922) + -0.6359776) + (x0 * x0), x0 * 0.042826194)), powabs(powabs(-0.32133773, x0), x0)) * 1.7290761) + powabs(-0.6314268, powabs(sqrtabs(x0) + x0, x0)),32,0.0012799955258959875,0.001321936020163472,0.0012799955258959875,0.001321936020163472,0.9760350266927956,0.9823042493894505
16,(powabs(powabs(x0, powabs(((x0 * 0.06426922) + -0.6359776) + (x0 * x0), 0.042826194)), powabs(powabs(-0.32058427, x0), x0)) * 1.7290761) + powabs(-0.6314268, powabs(sqrtabs(powabs(x0, sqrtabs(x0))) + x0, x0)),33,0.0012761022275068867,0.0013038439049520294,0.0012761022275068867,0.0013038439049520294,0.9761079197538136,0.9825464347553954
17,(powabs(powabs(x0, powabs(((x0 * 0.06426922) + -0.6359776) + (x0 * x0), 0.042826194)), powabs(powabs(-0.32058427, x0), x0)) * 1.7290761) + powabs(-0.6314268, sqrtabs(powabs(x0 * (((x0 + x0) * (x0 * -0.35929683)) + -3.2961314), x0))),38,0.001269233771937415,0.001319773847538988,0.001269233771937415,0.001319773847538988,0.97623651579267,0.9823331927474922
18,(powabs(powabs(x0, powabs(((0.06426922 * x0) + -0.6359776) + (x0 * x0), 0.042826194)), powabs(powabs(-0.32133773, x0), x0)) * 1.7290761) + powabs(-0.6314268, sqrtabs(powabs(powabs(x0 * (((x0 + x0) * (x0 * -0.32133773)) + -3.2961707), x0), powabs(x0, 0.06426922)))),42,0.0012625777821360152,0.0013172341267087852,0.0012625777821360152,0.0013172341267087852,0.9763611338985121,0.9823671900557931
19,(powabs(powabs(x0, powabs(((0.06426922 * x0) + -0.6359776) + (x0 * x0), 0.042826194)), powabs(powabs(-0.32133773, x0), x0)) * 1.7290761) + powabs(-0.6314268, sqrtabs(powabs(powabs(x0 * (((x0 + x0) * (x0 * -0.32133773)) + -3.2961707), x0), powabs(((1.80595 * x0) - powabs(-0.32133773, x0)) * -0.6314268, 0.06426922)))),50,0.001261437626976033,0.001317137620226429,0.001261437626976033,0.001317137620226429,0.976382480682483,0.9823684819145655
